net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,54.789,31,73 59 73 59 58 59 58 73,S77 S64 C71,seam,77,44.079,0.109629,17.48,168.716
VBUS,1,54.789,31,73 59 73 59 58 59 58 73,S77 S64 C71,seam,64,3.968,0.009868,3.394,159.921
VBUS,1,54.789,31,73 59 73 59 58 59 58 73,S77 S64 C71,crease,71,41.943,0.104317,1.63,159.029
V5,1,97.607,58,73 67 73 67 73,S84 S84,seam,84,43.658,0.108582,27.471,123.309
V5,1,97.607,58,73 67 73 67 73,S84 S84,seam,84,43.658,0.108582,28.958,123.887
USB_DM,1,44.78,20,73 67 73 67 73,S84 S84,seam,84,43.658,0.108582,43.836,129.667
USB_DM,1,44.78,20,73 67 73 67 73,S84 S84,seam,84,43.658,0.108582,33.421,125.621
USB_DP,1,22.417,4,73,,,,,,,
DRV1,1,88.203,53,73 55 73 55,C68,crease,68,17.6,0.043773,-45.705,144.996
LEDA1,1,14.879,8,55,,,,,,,
GND,1,231.933,133,73 67 73 67 49 67 49 50 68 69 70 71 72 55 72 55 67 66 67 66 73 60 73 60 73 60 59 60 59 73,S84 C62 C47 C63 C64 C65 C66 C67 S57 S71 S83 S78 S78 C54 S77,seam,84,43.658,0.108582,34.909,126.199
GND,1,231.933,133,73 67 73 67 49 67 49 50 68 69 70 71 72 55 72 55 67 66 67 66 73 60 73 60 73 60 59 60 59 73,S84 C62 C47 C63 C64 C65 C66 C67 S57 S71 S83 S78 S78 C54 S77,crease,62,37.912,0.094291,34.16,113.674
GND,1,231.933,133,73 67 73 67 49 67 49 50 68 69 70 71 72 55 72 55 67 66 67 66 73 60 73 60 73 60 59 60 59 73,S84 C62 C47 C63 C64 C65 C66 C67 S57 S71 S83 S78 S78 C54 S77,crease,47,2.312,0.005749,33.778,112.681
GND,1,231.933,133,73 67 73 67 49 67 49 50 68 69 70 71 72 55 72 55 67 66 67 66 73 60 73 60 73 60 59 60 59 73,S84 C62 C47 C63 C64 C65 C66 C67 S57 S71 S83 S78 S78 C54 S77,crease,63,37.612,0.093546,28.476,111.499
GND,1,231.933,133,73 67 73 67 49 67 49 50 68 69 70 71 72 55 72 55 67 66 67 66 73 60 73 60 73 60 59 60 59 73,S84 C62 C47 C63 C64 C65 C66 C67 S57 S71 S83 S78 S78 C54 S77,crease,64,3.968,0.009868,8.012,109.745
GND,1,231.933,133,73 67 73 67 49 67 49 50 68 69 70 71 72 55 72 55 67 66 67 66 73 60 73 60 73 60 59 60 59 73,S84 C62 C47 C63 C64 C65 C66 C67 S57 S71 S83 S78 S78 C54 S77,crease,65,7.743,0.019257,-8.105,110.451
GND,1,231.933,133,73 67 73 67 49 67 49 50 68 69 70 71 72 55 72 55 67 66 67 66 73 60 73 60 73 60 59 60 59 73,S84 C62 C47 C63 C64 C65 C66 C67 S57 S71 S83 S78 S78 C54 S77,crease,66,11.658,0.028996,-27.292,105.973
GND,1,231.933,133,73 67 73 67 49 67 49 50 68 69 70 71 72 55 72 55 67 66 67 66 73 60 73 60 73 60 59 60 59 73,S84 C62 C47 C63 C64 C65 C66 C67 S57 S71 S83 S78 S78 C54 S77,crease,67,9.842,0.024478,-42.55,105.884
GND,1,231.933,133,73 67 73 67 49 67 49 50 68 69 70 71 72 55 72 55 67 66 67 66 73 60 73 60 73 60 59 60 59 73,S84 C62 C47 C63 C64 C65 C66 C67 S57 S71 S83 S78 S78 C54 S77,seam,57,28.488,0.070851,-78.799,135.674
GND,1,231.933,133,73 67 73 67 49 67 49 50 68 69 70 71 72 55 72 55 67 66 67 66 73 60 73 60 73 60 59 60 59 73,S84 C62 C47 C63 C64 C65 C66 C67 S57 S71 S83 S78 S78 C54 S77,seam,71,1.587,0.003947,46.903,130.572
GND,1,231.933,133,73 67 73 67 49 67 49 50 68 69 70 71 72 55 72 55 67 66 67 66 73 60 73 60 73 60 59 60 59 73,S84 C62 C47 C63 C64 C65 C66 C67 S57 S71 S83 S78 S78 C54 S77,seam,83,42.396,0.105443,48.377,131.674
GND,1,231.933,133,73 67 73 67 49 67 49 50 68 69 70 71 72 55 72 55 67 66 67 66 73 60 73 60 73 60 59 60 59 73,S84 C62 C47 C63 C64 C65 C66 C67 S57 S71 S83 S78 S78 C54 S77,seam,78,43.658,0.108582,39.39,166.398
GND,1,231.933,133,73 67 73 67 49 67 49 50 68 69 70 71 72 55 72 55 67 66 67 66 73 60 73 60 73 60 59 60 59 73,S84 C62 C47 C63 C64 C65 C66 C67 S57 S71 S83 S78 S78 C54 S77,seam,78,43.658,0.108582,36.218,166.756
GND,1,231.933,133,73 67 73 67 49 67 49 50 68 69 70 71 72 55 72 55 67 66 67 66 73 60 73 60 73 60 59 60 59 73,S84 C62 C47 C63 C64 C65 C66 C67 S57 S71 S83 S78 S78 C54 S77,crease,54,1.671,0.004155,23.606,170.64
GND,1,231.933,133,73 67 73 67 49 67 49 50 68 69 70 71 72 55 72 55 67 66 67 66 73 60 73 60 73 60 59 60 59 73,S84 C62 C47 C63 C64 C65 C66 C67 S57 S71 S83 S78 S78 C54 S77,seam,77,44.079,0.109629,21.986,168.341
