net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,66.976,39,73 67 73 67 73,S84 S84,seam,84,43.658,0.108582,28.958,123.887
VBUS,1,66.976,39,73 67 73 67 73,S84 S84,seam,84,43.658,0.108582,27.471,123.309
V5,1,56.521,33,73 58 73 58 59 73,C71 S64 S77,crease,71,41.943,0.104317,3.12,159.225
V5,1,56.521,33,73 58 73 58 59 73,C71 S64 S77,seam,64,3.968,0.009868,3.394,159.921
V5,1,56.521,33,73 58 73 58 59 73,C71 S64 S77,seam,77,44.079,0.109629,17.48,168.716
USB_DM,1,35.136,16,73,,,,,,,
USB_DP,1,22.417,4,73,,,,,,,
DRV1,1,84.776,52,73 55 73 55,C68,crease,68,17.6,0.043773,-45.705,144.996
LEDA1,1,14.879,8,55,,,,,,,
GND,1,209.826,119,73 67 73 67 73 67 68 73 55 73 55 73 60 73 60 59 60 59 73,S84 S84 S72 S85 C68 S78 C54 S77,seam,84,43.658,0.108582,34.909,126.199
GND,1,209.826,119,73 67 73 67 73 67 68 73 55 73 55 73 60 73 60 59 60 59 73,S84 S84 S72 S85 C68 S78 C54 S77,seam,84,43.658,0.108582,43.836,129.667
GND,1,209.826,119,73 67 73 67 73 67 68 73 55 73 55 73 60 73 60 59 60 59 73,S84 S84 S72 S85 C68 S78 C54 S77,seam,72,1.671,0.004155,29.13,119.584
GND,1,209.826,119,73 67 73 67 73 67 68 73 55 73 55 73 60 73 60 59 60 59 73,S84 S84 S72 S85 C68 S78 C54 S77,seam,85,44.079,0.109629,13.125,117.753
GND,1,209.826,119,73 67 73 67 73 67 68 73 55 73 55 73 60 73 60 59 60 59 73,S84 S84 S72 S85 C68 S78 C54 S77,crease,68,17.6,0.043773,-52.74,138.609
GND,1,209.826,119,73 67 73 67 73 67 68 73 55 73 55 73 60 73 60 59 60 59 73,S84 S84 S72 S85 C68 S78 C54 S77,seam,78,43.658,0.108582,33.046,167.114
GND,1,209.826,119,73 67 73 67 73 67 68 73 55 73 55 73 60 73 60 59 60 59 73,S84 S84 S72 S85 C68 S78 C54 S77,crease,54,1.671,0.004155,23.606,170.64
GND,1,209.826,119,73 67 73 67 73 67 68 73 55 73 55 73 60 73 60 59 60 59 73,S84 S84 S72 S85 C68 S78 C54 S77,seam,77,44.079,0.109629,21.986,168.341
