net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,66.976,39,73 67 73 67 73,S84 S84,seam,84,43.658,0.108582,28.958,123.887
VBUS,1,66.976,39,73 67 73 67 73,S84 S84,seam,84,43.658,0.108582,27.471,123.309
V5,1,121.477,66,73 68 73 68 67 68 67 73,S85 S72 S84,seam,85,44.079,0.109629,13.125,117.753
V5,1,121.477,66,73 68 73 68 67 68 67 73,S85 S72 S84,seam,72,1.671,0.004155,29.13,119.584
V5,1,121.477,66,73 68 73 68 67 68 67 73,S85 S72 S84,seam,84,43.658,0.108582,33.421,125.621
USB_DM,1,12.361,3,73,,,,,,,
USB_DP,1,21.174,4,73,,,,,,,
DRV1,1,85.434,52,73 55 73 55,C68,crease,68,17.6,0.043773,-45.705,144.996
LEDA1,1,14.879,8,55,,,,,,,
GND,1,171.857,98,73 59 73 59 58 59 58 57 58 57 56 57 56 55 56 55,S77 S64 S62 S60 S58,seam,77,44.079,0.109629,17.48,168.716
GND,1,171.857,98,73 59 73 59 58 59 58 57 58 57 56 57 56 55 56 55,S77 S64 S62 S60 S58,seam,64,3.968,0.009868,3.394,159.921
GND,1,171.857,98,73 59 73 59 58 59 58 57 58 57 56 57 56 55 56 55,S77 S64 S62 S60 S58,seam,62,7.743,0.019257,-14.718,157.278
GND,1,171.857,98,73 59 73 59 58 59 58 57 58 57 56 57 56 55 56 55,S77 S64 S62 S60 S58,seam,60,11.658,0.028996,-49.006,155.267
GND,1,171.857,98,73 59 73 59 58 59 58 57 58 57 56 57 56 55 56 55,S77 S64 S62 S60 S58,seam,58,9.842,0.024478,-74.993,145.835
