net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,37.321,21,0,,,,,,,
V5,1,128.595,79,0 14 32 50 49 50 49 67 73,S17 C30 S52 C47 C62 S84,seam,17,44.079,0.109629,40.491,46.593
V5,1,128.595,79,0 14 32 50 49 50 49 67 73,S17 C30 S52 C47 C62 S84,crease,30,37.612,0.093546,34.524,67.844
V5,1,128.595,79,0 14 32 50 49 50 49 67 73,S17 C30 S52 C47 C62 S84,seam,52,16.617,0.041328,34.416,90.004
V5,1,128.595,79,0 14 32 50 49 50 49 67 73,S17 C30 S52 C47 C62 S84,crease,47,2.312,0.005749,33.778,112.681
V5,1,128.595,79,0 14 32 50 49 50 49 67 73,S17 C30 S52 C47 C62 S84,crease,62,37.912,0.094291,34.16,113.674
V5,1,128.595,79,0 14 32 50 49 50 49 67 73,S17 C30 S52 C47 C62 S84,seam,84,43.658,0.108582,28.958,123.887
USB_DM,1,111.01,67,0 14 32 31 32 31 49 67 73,S17 C30 C31 S51 C62 S84,seam,17,44.079,0.109629,49.492,52.099
USB_DM,1,111.01,67,0 14 32 31 32 31 49 67 73,S17 C30 C31 S51 C62 S84,crease,30,37.612,0.093546,44.348,71.989
USB_DM,1,111.01,67,0 14 32 31 32 31 49 67 73,S17 C30 C31 S51 C62 S84,crease,31,2.312,0.005749,44.211,88.158
USB_DM,1,111.01,67,0 14 32 31 32 31 49 67 73,S17 C30 C31 S51 C62 S84,seam,51,16.859,0.041931,43.049,93.641
USB_DM,1,111.01,67,0 14 32 31 32 31 49 67 73,S17 C30 C31 S51 C62 S84,crease,62,37.912,0.094291,42.599,116.953
USB_DM,1,111.01,67,0 14 32 31 32 31 49 67 73,S17 C30 C31 S51 C62 S84,seam,84,43.658,0.108582,37.885,127.355
USB_DP,1,115.603,57,0 4 22 23 41 59 60 73,C3 S27 C17 S44 S63 C54 S78,crease,3,41.943,0.104317,54.773,21.426
USB_DP,1,115.603,57,0 4 22 23 41 59 60 73,C3 S27 C17 S44 S63 C54 S78,seam,27,39.113,0.097279,56.952,8.606
USB_DP,1,115.603,57,0 4 22 23 41 59 60 73,C3 S27 C17 S44 S63 C54 S78,crease,17,4.89,0.012162,242.24,-13.379
USB_DP,1,115.603,57,0 4 22 23 41 59 60 73,C3 S27 C17 S44 S63 C54 S78,seam,44,16.617,0.041328,256.68,1.229
USB_DP,1,115.603,57,0 4 22 23 41 59 60 73,C3 S27 C17 S44 S63 C54 S78,seam,63,37.612,0.093546,120.424,293.492
USB_DP,1,115.603,57,0 4 22 23 41 59 60 73,C3 S27 C17 S44 S63 C54 S78,crease,54,1.671,0.004155,23.606,170.64
USB_DP,1,115.603,57,0 4 22 23 41 59 60 73,C3 S27 C17 S44 S63 C54 S78,seam,78,43.658,0.108582,26.702,167.831
DRV1,1,54.718,31,73 58 73 58 59 60 73,C71 S64 C54 S78,crease,71,41.943,0.104317,3.12,159.225
DRV1,1,54.718,31,73 58 73 58 59 60 73,C71 S64 C54 S78,seam,64,3.968,0.009868,3.394,159.921
DRV1,1,54.718,31,73 58 73 58 59 60 73,C71 S64 C54 S78,crease,54,1.671,0.004155,24.763,173.788
DRV1,1,54.718,31,73 58 73 58 59 60 73,C71 S64 C54 S78,seam,78,43.658,0.108582,29.874,167.473
LEDA1,1,36.836,20,73 67 73 67 73,S84 S84,seam,84,43.658,0.108582,40.86,128.511
LEDA1,1,36.836,20,73 67 73 67 73,S84 S84,seam,84,43.658,0.108582,33.421,125.621
DRV2,1,86.682,52,73 55 73 55,C68,crease,68,17.6,0.043773,-45.705,144.996
LEDA2,1,14.879,8,55,,,,,,,
IO1,1,122.347,66,73 69 73 69 68 69 68 50 68 50 32 50 32 14 32 14 15 0 15 0,S86 C64 C63 S52 C30 C10 S19,seam,86,41.943,0.104317,6.016,115.291
IO1,1,122.347,66,73 69 73 69 68 69 68 50 68 50 32 50 32 14 32 14 15 0 15 0,S86 C64 C63 S52 C30 C10 S19,crease,64,3.968,0.009868,8.366,111.226
IO1,1,122.347,66,73 69 73 69 68 69 68 50 68 50 32 50 32 14 32 14 15 0 15 0,S86 C64 C63 S52 C30 C10 S19,crease,63,37.612,0.093546,9.977,104.438
IO1,1,122.347,66,73 69 73 69 68 69 68 50 68 50 32 50 32 14 32 14 15 0 15 0,S86 C64 C63 S52 C30 C10 S19,seam,52,16.617,0.041328,14.217,81.48
IO1,1,122.347,66,73 69 73 69 68 69 68 50 68 50 32 50 32 14 32 14 15 0 15 0,S86 C64 C63 S52 C30 C10 S19,crease,30,37.612,0.093546,23.298,63.106
IO1,1,122.347,66,73 69 73 69 68 69 68 50 68 50 32 50 32 14 32 14 15 0 15 0,S86 C64 C63 S52 C30 C10 S19,crease,10,3.968,0.009868,24.516,61.573
IO1,1,122.347,66,73 69 73 69 68 69 68 50 68 50 32 50 32 14 32 14 15 0 15 0,S86 C64 C63 S52 C30 C10 S19,seam,19,41.943,0.104317,31.977,40.406
GND,1,328.614,169,0 5 23 22 23 22 40 39 40 39 38 39 38 56 55 56 55 23 22 23 22 4 22 4 0 4 0 23 41 59 60 73,S5 S28 C17 S43 C36 S42 C53 S58 C17 S27 C3 S44 S63 C54 S78,seam,5,44.079,0.109629,67.656,31.842
GND,1,328.614,169,0 5 23 22 23 22 40 39 40 39 38 39 38 56 55 56 55 23 22 23 22 4 22 4 0 4 0 23 41 59 60 73,S5 S28 C17 S43 C36 S42 C53 S58 C17 S27 C3 S44 S63 C54 S78,seam,28,37.612,0.093546,74.038,9.406
GND,1,328.614,169,0 5 23 22 23 22 40 39 40 39 38 39 38 56 55 56 55 23 22 23 22 4 22 4 0 4 0 23 41 59 60 73,S5 S28 C17 S43 C36 S42 C53 S58 C17 S27 C3 S44 S63 C54 S78,crease,17,4.89,0.012162,252.636,-9.433
GND,1,328.614,169,0 5 23 22 23 22 40 39 40 39 38 39 38 56 55 56 55 23 22 23 22 4 22 4 0 4 0 23 41 59 60 73,S5 S28 C17 S43 C36 S42 C53 S58 C17 S27 C3 S44 S63 C54 S78,seam,43,17.887,0.044485,272.855,-29.118
GND,1,328.614,169,0 5 23 22 23 22 40 39 40 39 38 39 38 56 55 56 55 23 22 23 22 4 22 4 0 4 0 23 41 59 60 73,S5 S28 C17 S43 C36 S42 C53 S58 C17 S27 C3 S44 S63 C54 S78,crease,36,7.526,0.018717,124.124,347.818
GND,1,328.614,169,0 5 23 22 23 22 40 39 40 39 38 39 38 56 55 56 55 23 22 23 22 4 22 4 0 4 0 23 41 59 60 73,S5 S28 C17 S43 C36 S42 C53 S58 C17 S27 C3 S44 S63 C54 S78,seam,42,12.65,0.031461,-64.757,159.93
GND,1,328.614,169,0 5 23 22 23 22 40 39 40 39 38 39 38 56 55 56 55 23 22 23 22 4 22 4 0 4 0 23 41 59 60 73,S5 S28 C17 S43 C36 S42 C53 S58 C17 S27 C3 S44 S63 C54 S78,crease,53,47.933,0.119213,-70.602,153.057
GND,1,328.614,169,0 5 23 22 23 22 40 39 40 39 38 39 38 56 55 56 55 23 22 23 22 4 22 4 0 4 0 23 41 59 60 73,S5 S28 C17 S43 C36 S42 C53 S58 C17 S27 C3 S44 S63 C54 S78,seam,58,9.842,0.024478,-76.525,145.851
GND,1,328.614,169,0 5 23 22 23 22 40 39 40 39 38 39 38 56 55 56 55 23 22 23 22 4 22 4 0 4 0 23 41 59 60 73,S5 S28 C17 S43 C36 S42 C53 S58 C17 S27 C3 S44 S63 C54 S78,crease,17,4.89,0.012162,249.666,-10.56
GND,1,328.614,169,0 5 23 22 23 22 40 39 40 39 38 39 38 56 55 56 55 23 22 23 22 4 22 4 0 4 0 23 41 59 60 73,S5 S28 C17 S43 C36 S42 C53 S58 C17 S27 C3 S44 S63 C54 S78,seam,27,39.113,0.097279,54.454,6.875
GND,1,328.614,169,0 5 23 22 23 22 40 39 40 39 38 39 38 56 55 56 55 23 22 23 22 4 22 4 0 4 0 23 41 59 60 73,S5 S28 C17 S43 C36 S42 C53 S58 C17 S27 C3 S44 S63 C54 S78,crease,3,41.943,0.104317,49.829,18.0
GND,1,328.614,169,0 5 23 22 23 22 40 39 40 39 38 39 38 56 55 56 55 23 22 23 22 4 22 4 0 4 0 23 41 59 60 73,S5 S28 C17 S43 C36 S42 C53 S58 C17 S27 C3 S44 S63 C54 S78,seam,44,16.617,0.041328,254.43,5.354
GND,1,328.614,169,0 5 23 22 23 22 40 39 40 39 38 39 38 56 55 56 55 23 22 23 22 4 22 4 0 4 0 23 41 59 60 73,S5 S28 C17 S43 C36 S42 C53 S58 C17 S27 C3 S44 S63 C54 S78,seam,63,37.612,0.093546,122.218,286.091
GND,1,328.614,169,0 5 23 22 23 22 40 39 40 39 38 39 38 56 55 56 55 23 22 23 22 4 22 4 0 4 0 23 41 59 60 73,S5 S28 C17 S43 C36 S42 C53 S58 C17 S27 C3 S44 S63 C54 S78,crease,54,1.671,0.004155,25.921,176.936
GND,1,328.614,169,0 5 23 22 23 22 40 39 40 39 38 39 38 56 55 56 55 23 22 23 22 4 22 4 0 4 0 23 41 59 60 73,S5 S28 C17 S43 C36 S42 C53 S58 C17 S27 C3 S44 S63 C54 S78,seam,78,43.658,0.108582,33.046,167.114
