net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,122.886,66,54 72 73 57 73 57 73 59 73 59,S56 S76 C70 C70 S77,seam,56,48.373,0.120308,-77.012,75.983
VBUS,1,122.886,66,54 72 73 57 73 57 73 59 73 59,S56 S76 C70 C70 S77,seam,76,17.6,0.043773,-47.493,108.643
VBUS,1,122.886,66,54 72 73 57 73 57 73 59 73 59,S56 S76 C70 C70 S77,crease,70,35.692,0.08877,-23.566,154.438
VBUS,1,122.886,66,54 72 73 57 73 57 73 59 73 59,S56 S76 C70 C70 S77,crease,70,35.692,0.08877,-20.629,155.215
VBUS,1,122.886,66,54 72 73 57 73 57 73 59 73 59,S56 S76 C70 C70 S77,seam,77,44.079,0.109629,5.463,169.717
V5,1,51.229,27,59 73 68 73 68,S77 S85,seam,77,44.079,0.109629,8.468,169.467
V5,1,51.229,27,59 73 68 73 68,S77 S85,seam,85,44.079,0.109629,10.309,116.678
USB_DM,1,145.157,76,54 53 54 53 52 53 52 70 69 70 69 73,C51 C50 S74 C65 S86,crease,51,16.455,0.040926,-77.23,54.096
USB_DM,1,145.157,76,54 53 54 53 52 53 52 70 69 70 69 73,C51 C50 S74 C65 S86,crease,50,12.65,0.031461,-50.41,66.248
USB_DM,1,145.157,76,54 53 54 53 52 53 52 70 69 70 69 73,C51 C50 S74 C65 S86,seam,74,43.171,0.107371,-25.764,91.394
USB_DM,1,145.157,76,54 53 54 53 52 53 52 70 69 70 69 73,C51 C50 S74 C65 S86,crease,65,7.743,0.019257,-14.865,102.176
USB_DM,1,145.157,76,54 53 54 53 52 53 52 70 69 70 69 73,C51 C50 S74 C65 S86,seam,86,41.943,0.104317,3.145,114.397
USB_DP,1,175.561,98,54 37 54 37 55 73 57 73 57 58 59 73,S40 C52 C68 C70 S62 S64 S77,seam,40,96.014,0.238796,-105.825,137.028
USB_DP,1,175.561,98,54 37 54 37 55 73 57 73 57 58 59 73,S40 C52 C68 C70 S62 S64 S77,crease,52,48.373,0.120308,-86.404,143.213
USB_DP,1,175.561,98,54 37 54 37 55 73 57 73 57 58 59 73,S40 C52 C68 C70 S62 S64 S77,crease,68,17.6,0.043773,-48.05,142.867
USB_DP,1,175.561,98,54 37 54 37 55 73 57 73 57 58 59 73,S40 C52 C68 C70 S62 S64 S77,crease,70,35.692,0.08877,-29.438,152.883
USB_DP,1,175.561,98,54 37 54 37 55 73 57 73 57 58 59 73,S40 C52 C68 C70 S62 S64 S77,seam,62,7.743,0.019257,-23.064,161.051
USB_DP,1,175.561,98,54 37 54 37 55 73 57 73 57 58 59 73,S40 C52 C68 C70 S62 S64 S77,seam,64,3.968,0.009868,-0.378,164.704
USB_DP,1,175.561,98,54 37 54 37 55 73 57 73 57 58 59 73,S40 C52 C68 C70 S62 S64 S77,seam,77,44.079,0.109629,11.472,169.217
DRV1,1,22.673,11,73 57 73 57 58,C70 S62,crease,70,35.692,0.08877,-26.502,153.661
DRV1,1,22.673,11,73 57 73 57 58,C70 S62,seam,62,7.743,0.019257,-25.846,162.309
LEDA1,1,53.04,30,58 40 58 40 22 40 22 4 22 4,S61 S43 S27,seam,61,39.113,0.097279,112.341,325.971
LEDA1,1,53.04,30,58 40 58 40 22 40 22 4 22 4,S61 S43 S27,seam,43,17.887,0.044485,264.821,-13.928
LEDA1,1,53.04,30,58 40 58 40 22 40 22 4 22 4,S61 S43 S27,seam,27,39.113,0.097279,44.463,-0.048
DRV2,1,96.022,55,73 69 73 69 51 69 51 33 51 33 15 33 15,S86 S73 S53 S33,seam,86,41.943,0.104317,-6.904,111.266
DRV2,1,96.022,55,73 69 73 69 51 69 51 33 51 33 15 33 15,S86 S73 S53 S33,seam,73,39.113,0.097279,-1.426,100.2
DRV2,1,96.022,55,73 69 73 69 51 69 51 33 51 33 15 33 15,S86 S73 S53 S33,seam,53,17.887,0.044485,-0.114,75.248
DRV2,1,96.022,55,73 69 73 69 51 69 51 33 51 33 15 33 15,S86 S73 S53 S33,seam,33,39.113,0.097279,5.593,54.346
LEDA2,1,65.214,37,15 33 51 69,S33 S53 S73,seam,33,39.113,0.097279,1.513,52.314
LEDA2,1,65.214,37,15 33 51 69,S33 S53 S73,seam,53,17.887,0.044485,-10.134,70.867
LEDA2,1,65.214,37,15 33 51 69,S33 S53 S73,seam,73,39.113,0.097279,-11.41,96.535
IO1,1,135.607,76,73 70 73 70 52 70 52 34 52 34 16 34 16 15 16 15 14 15 14,S87 S74 S54 S34 C11 C10,seam,87,35.692,0.08877,-24.73,107.531
IO1,1,135.607,76,73 70 73 70 52 70 52 34 52 34 16 34 16 15 16 15 14 15 14,S87 S74 S54 S34 C11 C10,seam,74,43.171,0.107371,-22.86,92.387
IO1,1,135.607,76,73 70 73 70 52 70 52 34 52 34 16 34 16 15 16 15 14 15 14,S87 S74 S54 S34 C11 C10,seam,54,22.273,0.055395,-18.69,67.108
IO1,1,135.607,76,73 70 73 70 52 70 52 34 52 34 16 34 16 15 16 15 14 15 14,S87 S74 S54 S34 C11 C10,seam,34,43.171,0.107371,-3.897,49.535
IO1,1,135.607,76,73 70 73 70 52 70 52 34 52 34 16 34 16 15 16 15 14 15 14,S87 S74 S54 S34 C11 C10,crease,11,7.743,0.019257,14.177,47.811
IO1,1,135.607,76,73 70 73 70 52 70 52 34 52 34 16 34 16 15 16 15 14 15 14,S87 S74 S54 S34 C11 C10,crease,10,3.968,0.009868,25.796,60.749
DRV3,1,149.129,87,73 70 73 70 69 70 69 68 69 50 68 50 68 73 65 73 65,S87 C65 C64 C63 C63 S85 S82,seam,87,35.692,0.08877,-21.755,108.142
DRV3,1,149.129,87,73 70 73 70 69 70 69 68 69 50 68 50 68 73 65 73 65,S87 C65 C64 C63 C63 S85 S82,crease,65,7.743,0.019257,-10.036,108.087
DRV3,1,149.129,87,73 70 73 70 69 70 69 68 69 50 68 50 68 73 65 73 65,S87 C65 C64 C63 C63 S85 S82,crease,64,3.968,0.009868,6.596,103.82
DRV3,1,149.129,87,73 70 73 70 69 70 69 68 69 50 68 50 68 73 65 73 65,S87 C65 C64 C63 C63 S85 S82,crease,63,37.612,0.093546,8.554,103.895
DRV3,1,149.129,87,73 70 73 70 69 70 69 68 69 50 68 50 68 73 65 73 65,S87 C65 C64 C63 C63 S85 S82,crease,63,37.612,0.093546,17.092,107.154
DRV3,1,149.129,87,73 70 73 70 69 70 69 68 69 50 68 50 68 73 65 73 65,S87 C65 C64 C63 C63 S85 S82,seam,85,44.079,0.109629,25.799,122.591
DRV3,1,149.129,87,73 70 73 70 69 70 69 68 69 50 68 50 68 73 65 73 65,S87 C65 C64 C63 C63 S85 S82,seam,82,38.476,0.095695,67.677,140.098
LEDA3,1,65.334,37,65 47 65 47 29 47 29 11 29 11,C60 C44 C24,crease,60,41.434,0.103051,97.548,138.461
LEDA3,1,65.334,37,65 47 65 47 29 47 29 11 29 11,C60 C44 C24,crease,44,20.178,0.050185,112.904,122.471
LEDA3,1,65.334,37,65 47 65 47 29 47 29 11 29 11,C60 C44 C24,crease,24,41.434,0.103051,114.311,100.877
IO2,1,139.729,70,73 71 73 71 53 71 53 35 53 35 36 19 36 19 37,S88 S75 S55 C35 S24 S36,seam,88,25.676,0.06386,-30.752,107.254
IO2,1,139.729,70,73 71 73 71 53 71 53 35 53 35 36 19 36 19 37,S88 S75 S55 C35 S24 S36,seam,75,47.933,0.119213,-48.997,83.488
IO2,1,139.729,70,73 71 73 71 53 71 53 35 53 35 36 19 36 19 37,S88 S75 S55 C35 S24 S36,seam,55,32.782,0.081532,-62.225,46.036
IO2,1,139.729,70,73 71 73 71 53 71 53 35 53 35 36 19 36 19 37,S88 S75 S55 C35 S24 S36,crease,35,16.455,0.040926,-69.111,38.693
IO2,1,139.729,70,73 71 73 71 53 71 53 35 53 35 36 19 36 19 37,S88 S75 S55 C35 S24 S36,seam,24,96.014,0.238796,-42.549,-39.726
IO2,1,139.729,70,73 71 73 71 53 71 53 35 53 35 36 19 36 19 37,S88 S75 S55 C35 S24 S36,seam,36,48.054,0.119515,-34.201,-48.201
IO3,1,131.719,65,73 71 73 71 53 71 53 35 53 35 36 54 37 54 37,S88 S75 S55 C35 S39 S40,seam,88,25.676,0.06386,-36.784,107.111
IO3,1,131.719,65,73 71 73 71 53 71 53 35 53 35 36 54 37 54 37,S88 S75 S55 C35 S39 S40,seam,75,47.933,0.119213,-51.896,82.654
IO3,1,131.719,65,73 71 73 71 53 71 53 35 53 35 36 54 37 54 37,S88 S75 S55 C35 S39 S40,seam,55,32.782,0.081532,-66.272,43.91
IO3,1,131.719,65,73 71 73 71 53 71 53 35 53 35 36 54 37 54 37,S88 S75 S55 C35 S39 S40,crease,35,16.455,0.040926,-71.695,40.315
IO3,1,131.719,65,73 71 73 71 53 71 53 35 53 35 36 54 37 54 37,S88 S75 S55 C35 S39 S40,seam,39,48.054,0.119515,-80.779,35.211
IO3,1,131.719,65,73 71 73 71 53 71 53 35 53 35 36 54 37 54 37,S88 S75 S55 C35 S39 S40,seam,40,96.014,0.238796,-112.958,139.357
IO4,1,150.701,76,73 71 73 71 70 71 70 52 70 52 53 35 53 35 36 19 36 19 37 38 37 38 37,S88 C66 S74 C50 S55 C35 S24 S36 S38 S38,seam,88,25.676,0.06386,-27.736,107.325
IO4,1,150.701,76,73 71 73 71 70 71 70 52 70 52 53 35 53 35 36 19 36 19 37 38 37 38 37,S88 C66 S74 C50 S55 C35 S24 S36 S38 S38,crease,66,11.658,0.028996,-32.138,102.223
IO4,1,150.701,76,73 71 73 71 70 71 70 52 70 52 53 35 53 35 36 19 36 19 37 38 37 38 37,S88 C66 S74 C50 S55 C35 S24 S36 S38 S38,seam,74,43.171,0.107371,-41.738,85.931
IO4,1,150.701,76,73 71 73 71 70 71 70 52 70 52 53 35 53 35 36 19 36 19 37 38 37 38 37,S88 C66 S74 C50 S55 C35 S24 S36 S38 S38,crease,50,12.65,0.031461,-49.666,72.317
IO4,1,150.701,76,73 71 73 71 70 71 70 52 70 52 53 35 53 35 36 19 36 19 37 38 37 38 37,S88 C66 S74 C50 S55 C35 S24 S36 S38 S38,seam,55,32.782,0.081532,-56.831,48.872
IO4,1,150.701,76,73 71 73 71 70 71 70 52 70 52 53 35 53 35 36 19 36 19 37 38 37 38 37,S88 C66 S74 C50 S55 C35 S24 S36 S38 S38,crease,35,16.455,0.040926,-63.943,35.45
IO4,1,150.701,76,73 71 73 71 70 71 70 52 70 52 53 35 53 35 36 19 36 19 37 38 37 38 37,S88 C66 S74 C50 S55 C35 S24 S36 S38 S38,seam,24,96.014,0.238796,-40.319,-35.815
IO4,1,150.701,76,73 71 73 71 70 71 70 52 70 52 53 35 53 35 36 19 36 19 37 38 37 38 37,S88 C66 S74 C50 S55 C35 S24 S36 S38 S38,seam,36,48.054,0.119515,-27.999,-48.201
IO4,1,150.701,76,73 71 73 71 70 71 70 52 70 52 53 35 53 35 36 19 36 19 37 38 37 38 37,S88 C66 S74 C50 S55 C35 S24 S36 S38 S38,seam,38,16.455,0.040926,-105.18,155.168
IO4,1,150.701,76,73 71 73 71 70 71 70 52 70 52 53 35 53 35 36 19 36 19 37 38 37 38 37,S88 C66 S74 C50 S55 C35 S24 S36 S38 S38,seam,38,16.455,0.040926,-98.16,152.186
SWSIG,1,65.091,34,73 60 73 60,S78,seam,78,43.658,0.108582,33.046,167.114
SWPU,1,46.679,19,60 73,S78,seam,78,43.658,0.108582,23.53,168.189
GND,1,631.165,348,54 37 54 37 19 37 19 1 19 1 0 1 0 4 0 14 0 10 11 29 47 65 73 68 73 68 73 60 73 60 14 32 33 51 69 73 60 73 60 59 60 59 73,S40 S36 C14 C0 C3 S17 C8 S12 C24 C44 C60 S82 S85 S78 C30 C32 S53 S73 S78 C54 S77,seam,40,96.014,0.238796,-110.105,138.425
GND,1,631.165,348,54 37 54 37 19 37 19 1 19 1 0 1 0 4 0 14 0 10 11 29 47 65 73 68 73 68 73 60 73 60 14 32 33 51 69 73 60 73 60 59 60 59 73,S40 S36 C14 C0 C3 S17 C8 S12 C24 C44 C60 S82 S85 S78 C30 C32 S53 S73 S78 C54 S77,seam,36,48.054,0.119515,-37.302,-48.201
GND,1,631.165,348,54 37 54 37 19 37 19 1 19 1 0 1 0 4 0 14 0 10 11 29 47 65 73 68 73 68 73 60 73 60 14 32 33 51 69 73 60 73 60 59 60 59 73,S40 S36 C14 C0 C3 S17 C8 S12 C24 C44 C60 S82 S85 S78 C30 C32 S53 S73 S78 C54 S77,crease,14,48.373,0.120308,-17.814,-26.037
