net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,118.836,63,54 72 73 57 73 57 58 59,S56 S76 C70 S62 S64,seam,56,48.373,0.120308,-77.012,75.983
VBUS,1,118.836,63,54 72 73 57 73 57 58 59,S56 S76 C70 S62 S64,seam,76,17.6,0.043773,-47.493,108.643
VBUS,1,118.836,63,54 72 73 57 73 57 58 59,S56 S76 C70 S62 S64,crease,70,35.692,0.08877,-23.566,154.438
VBUS,1,118.836,63,54 72 73 57 73 57 58 59,S56 S76 C70 S62 S64,seam,62,7.743,0.019257,-14.718,157.278
VBUS,1,118.836,63,54 72 73 57 73 57 58 59,S56 S76 C70 S62 S64,seam,64,3.968,0.009868,2.451,161.117
V5,1,51.051,27,59 73 68 73 68,S77 S85,seam,77,44.079,0.109629,6.965,169.592
V5,1,51.051,27,59 73 68 73 68,S77 S85,seam,85,44.079,0.109629,10.309,116.678
USB_DM,1,146.062,78,54 53 54 53 71 70 71 70 69 70 69 73,C51 S75 C66 C65 S86,crease,51,16.455,0.040926,-77.23,54.096
USB_DM,1,146.062,78,54 53 54 53 71 70 71 70 69 70 69 73,C51 S75 C66 C65 S86,seam,75,47.933,0.119213,-48.997,83.488
USB_DM,1,146.062,78,54 53 54 53 71 70 71 70 69 70 69 73,C51 S75 C66 C65 S86,crease,66,11.658,0.028996,-46.678,90.974
USB_DM,1,146.062,78,54 53 54 53 71 70 71 70 69 70 69 73,C51 S75 C66 C65 S86,crease,65,7.743,0.019257,-14.865,102.176
USB_DM,1,146.062,78,54 53 54 53 71 70 71 70 69 70 69 73,C51 S75 C66 C65 S86,seam,86,41.943,0.104317,3.145,114.397
USB_DP,1,174.335,96,54 37 54 37 55 56 57 58 59 73,S40 C52 S58 S60 S62 S64 S77,seam,40,96.014,0.238796,-105.825,137.028
USB_DP,1,174.335,96,54 37 54 37 55 56 57 58 59 73,S40 C52 S58 S60 S62 S64 S77,crease,52,48.373,0.120308,-84.017,145.38
