net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,27.026,14,0,,,,,,,
V5,1,82.867,45,0,,,,,,,
USB_DM,1,46.89,22,0,,,,,,,
USB_DP,1,23.312,4,0,,,,,,,
DRV1,1,157.291,81,0 3 5,C0 C3,crease,0,90.0,0.223838,0.0,49.524
DRV1,1,157.291,81,0 3 5,C0 C3,crease,3,90.0,0.223838,-54.71,4.566
LEDA1,1,18.446,10,5,,,,,,,
DRV2,1,119.292,72,0 2 6,S1 S7,seam,1,90.0,0.223838,32.762,88.381
DRV2,1,119.292,72,0 2 6,S1 S7,seam,7,32.501,0.080833,-47.543,121.143
LEDA2,1,18.693,10,6,,,,,,,
IO1,1,174.428,105,0 1 5 7,S0 S5 S10,seam,0,90.0,0.223838,26.667,0.0
IO1,1,174.428,105,0 1 5 7,S0 S5 S10,seam,5,32.501,0.080833,-47.543,-35.81
IO1,1,174.428,105,0 1 5 7,S0 S5 S10,seam,10,57.499,0.143005,-107.85,-11.266
GND,1,362.2,209,0 4 7 6 7 6 7 5 7 5 0,S2 C6 S9 S10,seam,2,90.0,0.223838,85.333,40.381
GND,1,362.2,209,0 4 7 6 7 6 7 5 7 5 0,S2 C6 S9 S10,crease,6,90.0,0.223838,-170.667,40.322
GND,1,362.2,209,0 4 7 6 7 6 7 5 7 5 0,S2 C6 S9 S10,seam,9,57.499,0.143005,-111.125,104.787
GND,1,362.2,209,0 4 7 6 7 6 7 5 7 5 0,S2 C6 S9 S10,seam,10,57.499,0.143005,-104.574,-6.125
