net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,96.697,49,6 7 5 7 5,S9 S10,seam,9,57.499,0.143005,-98.843,85.51
VBUS,1,96.697,49,6 7 5 7 5,S9 S10,seam,10,57.499,0.143005,-118.493,-27.973
V5,1,114.658,67,5 1 5 1 5 7,S5 S10,seam,5,32.501,0.080833,-47.543,-83.048
V5,1,114.658,67,5 1 5 1 5 7,S5 S10,seam,10,57.499,0.143005,-130.775,-47.25
USB_DM,1,124.883,66,6 7 3 7 3 6 7,S9 C5 C4 S9,seam,9,57.499,0.143005,-89.837,71.373
USB_DM,1,124.883,66,6 7 3 7 3 6 7,S9 C5 C4 S9,crease,5,90.0,0.223838,-85.333,63.531
USB_DM,1,124.883,66,6 7 3 7 3 6 7,S9 C5 C4 S9,crease,4,90.0,0.223838,-74.257,71.362
USB_DM,1,124.883,66,6 7 3 7 3 6 7,S9 C5 C4 S9,seam,9,57.499,0.143005,-103.756,93.221
USB_DP,1,144.738,74,6 7 3 7 3 6 7,S9 C5 C4 S9,seam,9,57.499,0.143005,-93.112,76.514
USB_DP,1,144.738,74,6 7 3 7 3 6 7,S9 C5 C4 S9,crease,5,90.0,0.223838,-85.333,60.437
USB_DP,1,144.738,74,6 7 3 7 3 6 7,S9 C5 C4 S9,crease,4,90.0,0.223838,-71.651,73.022
USB_DP,1,144.738,74,6 7 3 7 3 6 7,S9 C5 C4 S9,seam,9,57.499,0.143005,-105.393,95.791
DRV1,1,131.581,71,7 4 7 4 7 6 7 6 3 6 2 3 2,C6 C6 S9 C4 C2,crease,6,90.0,0.223838,-170.667,44.964
DRV1,1,131.581,71,7 4 7 4 7 6 7 6 3 6 2 3 2,C6 C6 S9 C4 C2,crease,6,90.0,0.223838,-170.667,54.248
DRV1,1,131.581,71,7 4 7 4 7 6 7 6 3 6 2 3 2,C6 C6 S9 C4 C2,seam,9,57.499,0.143005,-125.862,127.92
DRV1,1,131.581,71,7 4 7 4 7 6 7 6 3 6 2 3 2,C6 C6 S9 C4 C2,crease,4,90.0,0.223838,-48.194,87.966
DRV1,1,131.581,71,7 4 7 4 7 6 7 6 3 6 2 3 2,C6 C6 S9 C4 C2,crease,2,90.0,0.223838,-46.776,88.381
LEDA1,1,168.093,86,2 3 0 3 0 4,C2 C0 S2,crease,2,90.0,0.223838,-9.969,88.381
LEDA1,1,168.093,86,2 3 0 3 0 4,C2 C0 S2,crease,0,90.0,0.223838,0.0,87.619
LEDA1,1,168.093,86,2 3 0 3 0 4,C2 C0 S2,seam,2,90.0,0.223838,85.333,3.81
