net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,96.697,49,6 7 5 7 5,S9 S10,seam,9,57.499,0.143005,-98.843,85.51
VBUS,1,96.697,49,6 7 5 7 5,S9 S10,seam,10,57.499,0.143005,-118.493,-27.973
V5,1,114.658,67,5 1 5 1 5 7,S5 S10,seam,5,32.501,0.080833,-47.543,-83.048
V5,1,114.658,67,5 1 5 1 5 7,S5 S10,seam,10,57.499,0.143005,-130.775,-47.25
USB_DM,1,124.883,66,6 7 3 7 3 6 7,S9 C5 C4 S9,seam,9,57.499,0.143005,-89.837,71.373
USB_DM,1,124.883,66,6 7 3 7 3 6 7,S9 C5 C4 S9,crease,5,90.0,0.223838,-85.333,63.531
USB_DM,1,124.883,66,6 7 3 7 3 6 7,S9 C5 C4 S9,crease,4,90.0,0.223838,-74.257,71.362
USB_DM,1,124.883,66,6 7 3 7 3 6 7,S9 C5 C4 S9,seam,9,57.499,0.143005,-103.756,93.221
USB_DP,1,144.738,74,6 7 3 7 3 6 7,S9 C5 C4 S9,seam,9,57.499,0.143005,-93.112,76.514
USB_DP,1,144.738,74,6 7 3 7 3 6 7,S9 C5 C4 S9,crease,5,90.0,0.223838,-85.333,60.437
USB_DP,1,144.738,74,6 7 3 7 3 6 7,S9 C5 C4 S9,crease,4,90.0,0.223838,-71.651,73.022
USB_DP,1,144.738,74,6 7 3 7 3 6 7,S9 C5 C4 S9,seam,9,57.499,0.143005,-105.393,95.791
DRV1,1,148.478,86,7 4 7 4 2 4 2,C6 S3,crease,6,90.0,0.223838,-170.667,44.964
DRV1,1,148.478,86,7 4 7 4 2 4 2,C6 S3,seam,3,90.0,0.223838,-46.776,173.714
LEDA1,1,189.332,113,2 4,S3,seam,3,90.0,0.223838,-22.238,173.714
DRV2,1,205.349,113,7 4 7 4 1 4 1 3,C6 S4 C1,crease,6,90.0,0.223838,-170.667,38.775
DRV2,1,205.349,113,7 4 7 4 1 4 1 3,C6 S4 C1,seam,4,90.0,0.223838,-40.642,-85.333
DRV2,1,205.349,113,7 4 7 4 1 4 1 3,C6 S4 C1,crease,1,90.0,0.223838,-46.776,0.0
LEDA2,1,93.271,55,3 0 3 0,C0,crease,0,90.0,0.223838,0.0,5.333
IO1,1,56.105,26,7 4 7 4 5,C6 S6,crease,6,90.0,0.223838,-170.667,32.586
IO1,1,56.105,26,7 4 7 4 5,C6 S6,seam,6,90.0,0.223838,-186.956,13.699
DRV3,1,289.804,159,7 4 7 4 5 3 5 3 6 7,C6 S6 C3 C4 S9,crease,6,90.0,0.223838,-170.667,27.944
