net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,96.697,49,6 7 5 7 5,S9 S10,seam,9,57.499,0.143005,-98.843,85.51
VBUS,1,96.697,49,6 7 5 7 5,S9 S10,seam,10,57.499,0.143005,-118.493,-27.973
V5,1,114.658,67,5 1 5 1 5 7,S5 S10,seam,5,32.501,0.080833,-47.543,-83.048
V5,1,114.658,67,5 1 5 1 5 7,S5 S10,seam,10,57.499,0.143005,-130.775,-47.25
USB_DM,1,73.375,35,6 7,S9,seam,9,57.499,0.143005,-94.749,79.084
USB_DP,1,78.563,35,6 7,S9,seam,9,57.499,0.143005,-93.112,76.514
DRV1,1,148.478,86,7 4 7 4 2 4 2,C6 S3,crease,6,90.0,0.223838,-170.667,44.964
DRV1,1,148.478,86,7 4 7 4 2 4 2,C6 S3,seam,3,90.0,0.223838,-46.776,173.714
LEDA1,1,189.332,113,2 4,S3,seam,3,90.0,0.223838,-22.238,173.714
DRV2,1,205.349,113,7 4 7 4 1 4 1 3,C6 S4 C1,crease,6,90.0,0.223838,-170.667,38.775
DRV2,1,205.349,113,7 4 7 4 1 4 1 3,C6 S4 C1,seam,4,90.0,0.223838,-40.642,-85.333
DRV2,1,205.349,113,7 4 7 4 1 4 1 3,C6 S4 C1,crease,1,90.0,0.223838,-46.776,0.0
LEDA2,1,93.271,55,3 0 3 0,C0,crease,0,90.0,0.223838,0.0,5.333
IO1,1,56.105,26,7 4 7 4 5,C6 S6,crease,6,90.0,0.223838,-170.667,32.586
IO1,1,56.105,26,7 4 7 4 5,C6 S6,seam,6,90.0,0.223838,-186.956,13.699
DRV3,1,29.671,15,7,,,,,,,
LEDA3,1,74.752,35,7 6 7 6,S9,seam,9,57.499,0.143005,-120.131,118.924
IO2,1,75.89,41,7 4 7 4 5 1 5 1,C6 S6 S5,crease,6,90.0,0.223838,-170.667,26.397
IO2,1,75.89,41,7 4 7 4 5 1 5 1,C6 S6 S5,seam,6,90.0,0.223838,-185.653,14.529
IO2,1,75.89,41,7 4 7 4 5 1 5 1,C6 S6 S5,seam,5,32.501,0.080833,-47.543,-67.81
IO3,1,75.32,37,7 4 7 4 1 4 1,C6 S4,crease,6,90.0,0.223838,-170.667,31.039
IO3,1,75.32,37,7 4 7 4 1 4 1,C6 S4,seam,4,90.0,0.223838,-46.776,-85.333
IO4,1,87.712,43,7 4 7 4 1 4 1,C6 S4,crease,6,90.0,0.223838,-170.667,29.492
IO4,1,87.712,43,7 4 7 4 1 4 1,C6 S4,seam,4,90.0,0.223838,-37.574,-85.333
SWSIG,1,435.671,269,7 3 7 3 0 3 0 4 2 4 2,C5 C0 S2 S3,crease,5,90.0,0.223838,-85.333,27.944
SWSIG,1,435.671,269,7 3 7 3 0 3 0 4 2 4 2,C5 C0 S2 S3,crease,0,90.0,0.223838,0.0,29.714
SWSIG,1,435.671,269,7 3 7 3 0 3 0 4 2 4 2,C5 C0 S2 S3,seam,2,90.0,0.223838,85.333,0.762
SWSIG,1,435.671,269,7 3 7 3 0 3 0 4 2 4 2,C5 C0 S2 S3,seam,3,90.0,0.223838,-25.305,173.714
SWPU,1,134.695,66,2 6 3 6 3 7,S7 C4 C5,seam,7,32.501,0.080833,-47.543,96.762
SWPU,1,134.695,66,2 6 3 6 3 7,S7 C4 C5,crease,4,90.0,0.223838,-74.257,71.362
SWPU,1,134.695,66,2 6 3 6 3 7,S7 C4 C5,crease,5,90.0,0.223838,-85.333,61.984
GND,1,462.695,249,6 3 6 3 2 3 2 3 0 3 0 1 4 1 2 6 7 1 5,C4 C2 C0 S0 S4 S7 S9 S5,crease,4,90.0,0.223838,-79.469,68.041
GND,1,462.695,249,6 3 6 3 2 3 2 3 0 3 0 1 4 1 2 6 7 1 5,C4 C2 C0 S0 S4 S7 S9 S5,crease,2,90.0,0.223838,-39.108,88.381
GND,1,462.695,249,6 3 6 3 2 3 2 3 0 3 0 1 4 1 2 6 7 1 5,C4 C2 C0 S0 S4 S7 S9 S5,crease,0,90.0,0.223838,0.0,11.429
GND,1,462.695,249,6 3 6 3 2 3 2 3 0 3 0 1 4 1 2 6 7 1 5,C4 C2 C0 S0 S4 S7 S9 S5,seam,0,90.0,0.223838,14.476,0.0
GND,1,462.695,249,6 3 6 3 2 3 2 3 0 3 0 1 4 1 2 6 7 1 5,C4 C2 C0 S0 S4 S7 S9 S5,seam,4,90.0,0.223838,-5.368,-85.333
GND,1,462.695,249,6 3 6 3 2 3 2 3 0 3 0 1 4 1 2 6 7 1 5,C4 C2 C0 S0 S4 S7 S9 S5,seam,7,32.501,0.080833,-47.543,89.143
GND,1,462.695,249,6 3 6 3 2 3 2 3 0 3 0 1 4 1 2 6 7 1 5,C4 C2 C0 S0 S4 S7 S9 S5,seam,9,57.499,0.143005,-107.85,99.647
GND,1,462.695,249,6 3 6 3 2 3 2 3 0 3 0 1 4 1 2 6 7 1 5,C4 C2 C0 S0 S4 S7 S9 S5,seam,5,32.501,0.080833,-47.543,-80.0
