net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,41.668,24,0,,,,,,,
V5,1,87.196,49,0,,,,,,,
USB_DM,1,50.408,26,0,,,,,,,
USB_DP,1,22.01,5,0,,,,,,,
DRV1,1,188.103,100,0 3 16 29 42 53,C2 C12 C27 C40 C47,crease,2,18.152,0.045146,-17.321,20.447
DRV1,1,188.103,100,0 3 16 29 42 53,C2 C12 C27 C40 C47,crease,12,58.502,0.145501,-35.488,13.149
DRV1,1,188.103,100,0 3 16 29 42 53,C2 C12 C27 C40 C47,crease,27,26.691,0.066383,-50.645,7.526
DRV1,1,188.103,100,0 3 16 29 42 53,C2 C12 C27 C40 C47,crease,40,58.502,0.145501,-64.726,-0.184
DRV1,1,188.103,100,0 3 16 29 42 53,C2 C12 C27 C40 C47,crease,47,18.152,0.045146,-81.193,-10.779
LEDA1,1,15.039,8,53,,,,,,,
DRV2,1,189.349,96,0 7 20 33 46,S10 S20 S32 S47,seam,10,24.407,0.060702,27.254,80.035
DRV2,1,189.349,96,0 7 20 33 46,S10 S20 S32 S47,seam,20,55.867,0.138946,-32.474,119.945
DRV2,1,189.349,96,0 7 20 33 46,S10 S20 S32 S47,seam,32,19.452,0.04838,-94.713,117.29
DRV2,1,189.349,96,0 7 20 33 46,S10 S20 S32 S47,seam,47,55.867,0.138946,-137.666,83.584
LEDA2,1,9.499,5,46,,,,,,,
IO1,1,127.751,63,0 13 26 39 52,S2 S18 S28 S42,seam,2,22.248,0.055332,44.29,0.444
IO1,1,127.751,63,0 13 26 39 52,S2 S18 S28 S42,seam,18,56.987,0.141732,53.446,-35.686
IO1,1,127.751,63,0 13 26 39 52,S2 S18 S28 S42,seam,28,21.531,0.05355,24.294,-86.978
IO1,1,127.751,63,0 13 26 39 52,S2 S18 S28 S42,seam,42,56.987,0.141732,-32.282,-115.57
GND,1,290.566,157,0 7 20 33 46 53 52 53 52 0 53 0,S10 S20 S32 S47 S63 S59,seam,10,24.407,0.060702,24.347,79.087
GND,1,290.566,157,0 7 20 33 46 53 52 53 52 0 53 0,S10 S20 S32 S47 S63 S59,seam,20,55.867,0.138946,-38.355,111.099
GND,1,290.566,157,0 7 20 33 46 53 52 53 52 0 53 0,S10 S20 S32 S47 S63 S59,seam,32,19.452,0.04838,-93.635,112.899
GND,1,290.566,157,0 7 20 33 46 53 52 53 52 0 53 0,S10 S20 S32 S47 S63 S59,seam,47,55.867,0.138946,-135.365,81.605
GND,1,290.566,157,0 7 20 33 46 53 52 53 52 0 53 0,S10 S20 S32 S47 S63 S59,seam,63,24.407,0.060702,-143.714,29.278
GND,1,290.566,157,0 7 20 33 46 53 52 53 52 0 53 0,S10 S20 S32 S47 S63 S59,seam,59,22.248,0.055332,-97.801,-100.016
