net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,25.984,13,0,,,,,,,
V5,1,82.784,46,0,,,,,,,
USB_DM,1,32.711,13,0,,,,,,,
USB_DP,1,22.522,4,0,,,,,,,
DRV1,1,112.887,61,0 5 15 25 35 41,S6 S15 S24 S35 S47,seam,6,34.133,0.084892,-20.25,64.484
DRV1,1,112.887,61,0 5 15 25 35 41,S6 S15 S24 S35 S47,seam,15,49.322,0.122668,-76.242,39.802
DRV1,1,112.887,61,0 5 15 25 35 41,S6 S15 S24 S35 S47,seam,24,13.09,0.032557,-97.108,18.8
DRV1,1,112.887,61,0 5 15 25 35 41,S6 S15 S24 S35 S47,seam,35,49.322,0.122668,-109.175,-24.473
DRV1,1,112.887,61,0 5 15 25 35 41,S6 S15 S24 S35 S47,seam,47,34.133,0.084892,-106.616,-47.055
LEDA1,1,18.826,10,41,,,,,,,
DRV2,1,149.017,86,0 10 20 30 40,S2 S13 S21 S31,seam,2,24.32,0.060485,46.524,33.081
DRV2,1,149.017,86,0 10 20 30 40,S2 S13 S21 S31,seam,13,55.915,0.139067,83.744,-13.807
DRV2,1,149.017,86,0 10 20 30 40,S2 S13 S21 S31,seam,21,19.53,0.048573,94.518,-79.036
DRV2,1,149.017,86,0 10 20 30 40,S2 S13 S21 S31,seam,31,55.915,0.139067,66.188,-122.86
LEDA2,1,18.373,10,40,,,,,,,
IO1,1,192.982,108,0 5 15 25 35 34 35 34 41 39 41 39,S6 S15 S24 S35 C34 S46 C40,seam,6,34.133,0.084892,-22.637,55.624
IO1,1,192.982,108,0 5 15 25 35 34 35 34 41 39 41 39,S6 S15 S24 S35 C34 S46 C40,seam,15,49.322,0.122668,-71.419,30.245
IO1,1,192.982,108,0 5 15 25 35 34 35 34 41 39 41 39,S6 S15 S24 S35 C34 S46 C40,seam,24,13.09,0.032557,-87.363,11.403
IO1,1,192.982,108,0 5 15 25 35 34 35 34 41 39 41 39,S6 S15 S24 S35 C34 S46 C40,seam,35,49.322,0.122668,-95.776,-27.625
IO1,1,192.982,108,0 5 15 25 35 34 35 34 41 39 41 39,S6 S15 S24 S35 C34 S46 C40,crease,34,14.886,0.037024,-96.385,-37.502
IO1,1,192.982,108,0 5 15 25 35 34 35 34 41 39 41 39,S6 S15 S24 S35 C34 S46 C40,seam,46,32.648,0.081198,-94.612,-45.261
IO1,1,192.982,108,0 5 15 25 35 34 35 34 41 39 41 39,S6 S15 S24 S35 C34 S46 C40,crease,40,20.305,0.0505,-72.06,-163.578
GND,1,317.951,169,0 10 20 30 40 41 39 41 39 41 0,S2 S13 S21 S31 S44 C40 C40,seam,2,24.32,0.060485,48.504,40.432
GND,1,317.951,169,0 10 20 30 40 41 39 41 39 41 0,S2 S13 S21 S31 S44 C40 C40,seam,13,55.915,0.139067,90.652,-7.944
GND,1,317.951,169,0 10 20 30 40 41 39 41 39 41 0,S2 S13 S21 S31 S44 C40 C40,seam,21,19.53,0.048573,103.32,-81.232
GND,1,317.951,169,0 10 20 30 40 41 39 41 39 41 0,S2 S13 S21 S31 S44 C40 C40,seam,31,55.915,0.139067,70.326,-127.26
GND,1,317.951,169,0 10 20 30 40 41 39 41 39 41 0,S2 S13 S21 S31 S44 C40 C40,seam,44,24.32,0.060485,-8.036,-160.814
GND,1,317.951,169,0 10 20 30 40 41 39 41 39 41 0,S2 S13 S21 S31 S44 C40 C40,crease,40,20.305,0.0505,-62.181,-167.231
GND,1,317.951,169,0 10 20 30 40 41 39 41 39 41 0,S2 S13 S21 S31 S44 C40 C40,crease,40,20.305,0.0505,-83.35,-159.404
