net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,25.984,13,0,,,,,,,
V5,1,82.784,46,0,,,,,,,
USB_DM,1,32.711,13,0,,,,,,,
USB_DP,1,22.522,4,0,,,,,,,
DRV1,1,112.887,61,0 5 15 25 35 41,S6 S15 S24 S35 S47,seam,6,34.133,0.084892,-20.25,64.484
DRV1,1,112.887,61,0 5 15 25 35 41,S6 S15 S24 S35 S47,seam,15,49.322,0.122668,-76.242,39.802
DRV1,1,112.887,61,0 5 15 25 35 41,S6 S15 S24 S35 S47,seam,24,13.09,0.032557,-97.108,18.8
DRV1,1,112.887,61,0 5 15 25 35 41,S6 S15 S24 S35 S47,seam,35,49.322,0.122668,-109.175,-24.473
DRV1,1,112.887,61,0 5 15 25 35 41,S6 S15 S24 S35 S47,seam,47,34.133,0.084892,-106.616,-47.055
LEDA1,1,18.826,10,41,,,,,,,
DRV2,1,149.017,86,0 10 20 30 40,S2 S13 S21 S31,seam,2,24.32,0.060485,46.524,33.081
DRV2,1,149.017,86,0 10 20 30 40,S2 S13 S21 S31,seam,13,55.915,0.139067,83.744,-13.807
DRV2,1,149.017,86,0 10 20 30 40,S2 S13 S21 S31,seam,21,19.53,0.048573,94.518,-79.036
DRV2,1,149.017,86,0 10 20 30 40,S2 S13 S21 S31,seam,31,55.915,0.139067,66.188,-122.86
LEDA2,1,18.373,10,40,,,,,,,
IO1,1,222.827,130,0 10 20 30 40 39 40 39,S2 S13 S21 S31 S42,seam,2,24.32,0.060485,45.733,30.14
IO1,1,222.827,130,0 10 20 30 40 39 40 39,S2 S13 S21 S31 S42,seam,13,55.915,0.139067,79.139,-17.715
IO1,1,222.827,130,0 10 20 30 40 39 40 39,S2 S13 S21 S31 S42,seam,21,19.53,0.048573,88.65,-77.571
IO1,1,222.827,130,0 10 20 30 40 39 40 39,S2 S13 S21 S31 S42,seam,31,55.915,0.139067,59.98,-116.26
IO1,1,222.827,130,0 10 20 30 40 39 40 39,S2 S13 S21 S31 S42,seam,42,26.9,0.066903,-58.543,-169.296
GND,1,322.281,175,0 10 20 30 40 39 40 39 41 0,S2 S13 S21 S31 S42 C40,seam,2,24.32,0.060485,48.504,40.432
GND,1,322.281,175,0 10 20 30 40 39 40 39 41 0,S2 S13 S21 S31 S42 C40,seam,13,55.915,0.139067,90.652,-7.944
GND,1,322.281,175,0 10 20 30 40 39 40 39 41 0,S2 S13 S21 S31 S42 C40,seam,21,19.53,0.048573,103.32,-81.232
GND,1,322.281,175,0 10 20 30 40 39 40 39 41 0,S2 S13 S21 S31 S42 C40,seam,31,55.915,0.139067,70.326,-127.26
GND,1,322.281,175,0 10 20 30 40 39 40 39 41 0,S2 S13 S21 S31 S42 C40,seam,42,26.9,0.066903,-58.105,-172.34
GND,1,322.281,175,0 10 20 30 40 39 40 39 41 0,S2 S13 S21 S31 S42 C40,crease,40,20.305,0.0505,-83.35,-159.404
