net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,177.898,95,27 17 27 17 16 17 16 15 16 15 14 15 14 13 14 13 12 13 12 2 12 2,S26 C16 C15 C14 C13 C12 C9,seam,26,15.259,0.037951,-143.828,58.064
VBUS,1,177.898,95,27 17 27 17 16 17 16 15 16 15 14 15 14 13 14 13 12 13 12 2 12 2,S26 C16 C15 C14 C13 C12 C9,crease,16,8.895,0.022122,-129.158,56.235
VBUS,1,177.898,95,27 17 27 17 16 17 16 15 16 15 14 15 14 13 14 13 12 13 12 2 12 2,S26 C16 C15 C14 C13 C12 C9,crease,15,26.91,0.066927,-96.079,38.021
VBUS,1,177.898,95,27 17 27 17 16 17 16 15 16 15 14 15 14 13 14 13 12 13 12 2 12 2,S26 C16 C15 C14 C13 C12 C9,crease,14,26.91,0.066927,-71.915,21.585
VBUS,1,177.898,95,27 17 27 17 16 17 16 15 16 15 14 15 14 13 14 13 12 13 12 2 12 2,S26 C16 C15 C14 C13 C12 C9,crease,13,8.895,0.022122,-41.93,1.388
VBUS,1,177.898,95,27 17 27 17 16 17 16 15 16 15 14 15 14 13 14 13 12 13 12 2 12 2,S26 C16 C15 C14 C13 C12 C9,crease,12,43.341,0.107793,-18.409,-13.787
VBUS,1,177.898,95,27 17 27 17 16 17 16 15 16 15 14 15 14 13 14 13 12 13 12 2 12 2,S26 C16 C15 C14 C13 C12 C9,crease,9,57.507,0.143024,-16.034,-14.056
V5,1,159.247,85,2 12 22 32 41,C9 C20 C31 C37,crease,9,57.507,0.143024,-7.796,-17.935
V5,1,159.247,85,2 12 22 32 41,C9 C20 C31 C37,crease,20,22.8,0.056705,-10.509,-37.056
V5,1,159.247,85,2 12 22 32 41,C9 C20 C31 C37,crease,31,57.507,0.143024,-23.521,-51.325
V5,1,159.247,85,2 12 22 32 41,C9 C20 C31 C37,crease,37,21.094,0.052462,-38.641,-65.812
USB_DM,1,71.709,40,27 37 41,S37 C38,seam,37,52.23,0.1299,-170.341,-13.091
USB_DM,1,71.709,40,27 37 41,S37 C38,crease,38,30.141,0.074963,-102.563,-145.925
USB_DP,1,71.79,38,27 37 38 41,S37 S39 C39,seam,37,52.23,0.1299,-179.54,-11.656
USB_DP,1,71.79,38,27 37 38 41,S37 S39 C39,seam,39,20.407,0.050755,-109.478,-153.655
USB_DP,1,71.79,38,27 37 38 41,S37 S39 C39,crease,39,21.094,0.052462,-95.55,-153.845
DRV1,1,72.04,37,41 37 41 37 27 37 27 17 27 17 18,C38 S37 S26 C17,crease,38,30.141,0.074963,-102.749,-130.095
DRV1,1,72.04,37,41 37 41 37 27 37 27 17 27 17 18,C38 S37 S26 C17,seam,37,52.23,0.1299,-167.275,-13.569
DRV1,1,72.04,37,41 37 41 37 27 37 27 17 27 17 18,C38 S37 S26 C17,seam,26,15.259,0.037951,-144.985,59.091
DRV1,1,72.04,37,41 37 41 37 27 37 27 17 27 17 18,C38 S37 S26 C17,crease,17,43.341,0.107793,-156.55,70.365
LEDA1,1,188.914,103,18 17 18 17 7 17 7 6 7 6 5 6 5 15 14 15 14 13 14 13 12 13 12,C17 S17 C5 C4 S15 C14 C13 C12,crease,17,43.341,0.107793,-151.83,74.31
LEDA1,1,188.914,103,18 17 18 17 7 17 7 6 7 6 5 6 5 15 14 15 14 13 14 13 12 13 12,C17 S17 C5 C4 S15 C14 C13 C12,seam,17,52.23,0.1299,-83.998,97.457
LEDA1,1,188.914,103,18 17 18 17 7 17 7 6 7 6 5 6 5 15 14 15 14 13 14 13 12 13 12,C17 S17 C5 C4 S15 C14 C13 C12,crease,5,5.282,0.013138,-81.237,85.582
LEDA1,1,188.914,103,18 17 18 17 7 17 7 6 7 6 5 6 5 15 14 15 14 13 14 13 12 13 12,C17 S17 C5 C4 S15 C14 C13 C12,crease,4,14.886,0.037024,-81.292,51.547
LEDA1,1,188.914,103,18 17 18 17 7 17 7 6 7 6 5 6 5 15 14 15 14 13 14 13 12 13 12,C17 S17 C5 C4 S15 C14 C13 C12,seam,15,49.322,0.122668,-78.31,43.898
LEDA1,1,188.914,103,18 17 18 17 7 17 7 6 7 6 5 6 5 15 14 15 14 13 14 13 12 13 12,C17 S17 C5 C4 S15 C14 C13 C12,crease,14,26.91,0.066927,-73.648,19.09
LEDA1,1,188.914,103,18 17 18 17 7 17 7 6 7 6 5 6 5 15 14 15 14 13 14 13 12 13 12,C17 S17 C5 C4 S15 C14 C13 C12,crease,13,8.895,0.022122,-47.078,-7.961
LEDA1,1,188.914,103,18 17 18 17 7 17 7 6 7 6 5 6 5 15 14 15 14 13 14 13 12 13 12,C17 S17 C5 C4 S15 C14 C13 C12,crease,12,43.341,0.107793,-25.366,-29.209
DRV2,1,133.245,64,41 37 41 37 41 33 41 33 23 33 22 23 22,C38 C38 S45 C32 C23,crease,38,30.141,0.074963,-102.712,-133.261
DRV2,1,133.245,64,41 37 41 37 41 33 41 33 23 33 22 23 22,C38 C38 S45 C32 C23,crease,38,30.141,0.074963,-102.786,-126.929
DRV2,1,133.245,64,41 37 41 37 41 33 41 33 23 33 22 23 22,C38 C38 S45 C32 C23,seam,45,30.141,0.074963,-53.391,-54.964
DRV2,1,133.245,64,41 37 41 37 41 33 41 33 23 33 22 23 22,C38 C38 S45 C32 C23,crease,32,52.23,0.1299,-34.557,-46.242
DRV2,1,133.245,64,41 37 41 37 41 33 41 33 23 33 22 23 22,C38 C38 S45 C32 C23,crease,23,43.341,0.107793,-33.479,-45.786
LEDA2,1,188.772,102,22 32 41 39 41 39 38 39 38 28 38 28,C31 C37 C40 S41 C36,crease,31,57.507,0.143024,-27.64,-49.386
LEDA2,1,188.772,102,22 32 41 39 41 39 38 39 38 28 38 28,C31 C37 C40 S41 C36,crease,37,21.094,0.052462,-33.077,-68.432
LEDA2,1,188.772,102,22 32 41 39 41 39 38 39 38 28 38 28,C31 C37 C40 S41 C36,crease,40,20.305,0.0505,-86.172,-158.36
LEDA2,1,188.772,102,22 32 41 39 41 39 38 39 38 28 38 28,C31 C37 C40 S41 C36,seam,41,8.884,0.022095,-101.858,-169.954
LEDA2,1,188.772,102,22 32 41 39 41 39 38 39 38 28 38 28,C31 C37 C40 S41 C36,crease,36,57.507,0.143024,-106.403,-170.691
IO1,1,19.576,7,41 37 41 37,C38,crease,38,30.141,0.074963,-102.656,-138.01
DRV3,1,64.027,31,41 37 41 37 36 37 36 35 36 35,C38 S38 C35,crease,38,30.141,0.074963,-102.619,-141.176
DRV3,1,64.027,31,41 37 41 37 36 37 36 35 36 35,C38 S38 C35,seam,38,5.282,0.013138,-147.256,-61.817
DRV3,1,64.027,31,41 37 41 37 36 37 36 35 36 35,C38 S38 C35,crease,35,14.886,0.037024,-119.834,-46.036
LEDA3,1,59.43,34,35 25 35 25 15 25 15 5 15 5,S35 S24 S15,seam,35,49.322,0.122668,-113.641,-23.423
LEDA3,1,59.43,34,35 25 35 25 15 25 15 5 15 5,S35 S24 S15,seam,24,13.09,0.032557,-100.763,21.574
LEDA3,1,59.43,34,35 25 35 25 15 25 15 5 15 5,S35 S24 S15,seam,15,49.322,0.122668,-77.621,42.533
IO2,1,22.434,8,41 38 41 38,C39,crease,39,21.094,0.052462,-97.705,-151.652
IO3,1,30.674,13,41 38 41 38,C39,crease,39,21.094,0.052462,-99.86,-149.458
IO4,1,23.358,10,41 38 41 38,C39,crease,39,21.094,0.052462,-96.628,-152.748
SWSIG,1,198.136,110,41 31 41 31 21 31 21 11 21 11 12 2 12 2 3,S43 C29 C19 S12 C9 S4,seam,43,20.305,0.0505,-1.56,-87.148
SWSIG,1,198.136,110,41 31 41 31 21 31 21 11 21 11 12 2 12 2 3,S43 C29 C19 S12 C9 S4,crease,29,57.824,0.143814,-2.526,-63.081
SWSIG,1,198.136,110,41 31 41 31 21 31 21 11 21 11 12 2 12 2 3,S43 C29 C19 S12 C9 S4,crease,19,23.742,0.059049,0.147,-43.22
SWSIG,1,198.136,110,41 31 41 31 21 31 21 11 21 11 12 2 12 2 3,S43 C29 C19 S12 C9 S4,seam,12,24.696,0.06142,-0.424,-22.35
SWSIG,1,198.136,110,41 31 41 31 21 31 21 11 21 11 12 2 12 2 3,S43 C29 C19 S12 C9 S4,crease,9,57.507,0.143024,-3.678,-19.875
SWSIG,1,198.136,110,41 31 41 31 21 31 21 11 21 11 12 2 12 2 3,S43 C29 C19 S12 C9 S4,seam,4,20.407,0.050755,-12.467,1.716
SWPU,1,221.599,114,3 4 0 4 0 9 19 29 39 41,C2 S5 C7 S19 S29 S40 C40,crease,2,5.282,0.013138,-41.001,5.862
SWPU,1,221.599,114,3 4 0 4 0 9 19 29 39 41,C2 S5 C7 S19 S29 S40 C40,seam,5,32.648,0.081198,-19.305,28.281
SWPU,1,221.599,114,3 4 0 4 0 9 19 29 39 41,C2 S5 C7 S19 S29 S40 C40,crease,7,20.305,0.0505,43.92,93.249
SWPU,1,221.599,114,3 4 0 4 0 9 19 29 39 41,C2 S5 C7 S19 S29 S40 C40,seam,19,57.824,0.143814,58.454,108.252
SWPU,1,221.599,114,3 4 0 4 0 9 19 29 39 41,C2 S5 C7 S19 S29 S40 C40,seam,29,23.742,0.059049,182.179,-93.551
SWPU,1,221.599,114,3 4 0 4 0 9 19 29 39 41,C2 S5 C7 S19 S29 S40 C40,seam,40,57.824,0.143814,118.573,-189.988
SWPU,1,221.599,114,3 4 0 4 0 9 19 29 39 41,C2 S5 C7 S19 S29 S40 C40,crease,40,20.305,0.0505,-80.527,-160.447
GND,1,441.101,238,27 37 38 28 38 28 18 28 18 17 18 17 7 17 7 6 7 6 5 6 5 28 37 5 4 5 4 14 13 14 13 12 13 12 13 3 13 3 12 22 23 33 32 33 32 33 41,S37 S39 C36 S27 C17 S17 C5 C4 C3 S14 C13 C12 C11 C20 C23 C32 S33 S45,seam,37,52.23,0.1299,-182.606,-11.178
GND,1,441.101,238,27 37 38 28 38 28 18 28 18 17 18 17 7 17 7 6 7 6 5 6 5 28 37 5 4 5 4 14 13 14 13 12 13 12 13 3 13 3 12 22 23 33 32 33 32 33 41,S37 S39 C36 S27 C17 S17 C5 C4 C3 S14 C13 C12 C11 C20 C23 C32 S33 S45,seam,39,20.407,0.050755,-115.869,-160.06
GND,1,441.101,238,27 37 38 28 38 28 18 28 18 17 18 17 7 17 7 6 7 6 5 6 5 28 37 5 4 5 4 14 13 14 13 12 13 12 13 3 13 3 12 22 23 33 32 33 32 33 41,S37 S39 C36 S27 C17 S17 C5 C4 C3 S14 C13 C12 C11 C20 C23 C32 S33 S45,crease,36,57.507,0.143024,-114.91,-162.031
GND,1,441.101,238,27 37 38 28 38 28 18 28 18 17 18 17 7 17 7 6 7 6 5 6 5 28 37 5 4 5 4 14 13 14 13 12 13 12 13 3 13 3 12 22 23 33 32 33 32 33 41,S37 S39 C36 S27 C17 S17 C5 C4 C3 S14 C13 C12 C11 C20 C23 C32 S33 S45,seam,27,22.8,0.056705,-163.927,77.73
GND,1,441.101,238,27 37 38 28 38 28 18 28 18 17 18 17 7 17 7 6 7 6 5 6 5 28 37 5 4 5 4 14 13 14 13 12 13 12 13 3 13 3 12 22 23 33 32 33 32 33 41,S37 S39 C36 S27 C17 S17 C5 C4 C3 S14 C13 C12 C11 C20 C23 C32 S33 S45,crease,17,43.341,0.107793,-143.568,81.214
GND,1,441.101,238,27 37 38 28 38 28 18 28 18 17 18 17 7 17 7 6 7 6 5 6 5 28 37 5 4 5 4 14 13 14 13 12 13 12 13 3 13 3 12 22 23 33 32 33 32 33 41,S37 S39 C36 S27 C17 S17 C5 C4 C3 S14 C13 C12 C11 C20 C23 C32 S33 S45,seam,17,52.23,0.1299,-83.021,112.943
GND,1,441.101,238,27 37 38 28 38 28 18 28 18 17 18 17 7 17 7 6 7 6 5 6 5 28 37 5 4 5 4 14 13 14 13 12 13 12 13 3 13 3 12 22 23 33 32 33 32 33 41,S37 S39 C36 S27 C17 S17 C5 C4 C3 S14 C13 C12 C11 C20 C23 C32 S33 S45,crease,5,5.282,0.013138,-78.521,84.136
GND,1,441.101,238,27 37 38 28 38 28 18 28 18 17 18 17 7 17 7 6 7 6 5 6 5 28 37 5 4 5 4 14 13 14 13 12 13 12 13 3 13 3 12 22 23 33 32 33 32 33 41,S37 S39 C36 S27 C17 S17 C5 C4 C3 S14 C13 C12 C11 C20 C23 C32 S33 S45,crease,4,14.886,0.037024,-78.064,52.106
GND,1,441.101,238,27 37 38 28 38 28 18 28 18 17 18 17 7 17 7 6 7 6 5 6 5 28 37 5 4 5 4 14 13 14 13 12 13 12 13 3 13 3 12 22 23 33 32 33 32 33 41,S37 S39 C36 S27 C17 S17 C5 C4 C3 S14 C13 C12 C11 C20 C23 C32 S33 S45,crease,3,14.886,0.037024,-62.496,31.697
GND,1,441.101,238,27 37 38 28 38 28 18 28 18 17 18 17 7 17 7 6 7 6 5 6 5 28 37 5 4 5 4 14 13 14 13 12 13 12 13 3 13 3 12 22 23 33 32 33 32 33 41,S37 S39 C36 S27 C17 S17 C5 C4 C3 S14 C13 C12 C11 C20 C23 C32 S33 S45,seam,14,50.431,0.125426,-47.852,7.421
GND,1,441.101,238,27 37 38 28 38 28 18 28 18 17 18 17 7 17 7 6 7 6 5 6 5 28 37 5 4 5 4 14 13 14 13 12 13 12 13 3 13 3 12 22 23 33 32 33 32 33 41,S37 S39 C36 S27 C17 S17 C5 C4 C3 S14 C13 C12 C11 C20 C23 C32 S33 S45,crease,13,8.895,0.022122,-44.137,-2.619
GND,1,441.101,238,27 37 38 28 38 28 18 28 18 17 18 17 7 17 7 6 7 6 5 6 5 28 37 5 4 5 4 14 13 14 13 12 13 12 13 3 13 3 12 22 23 33 32 33 32 33 41,S37 S39 C36 S27 C17 S17 C5 C4 C3 S14 C13 C12 C11 C20 C23 C32 S33 S45,crease,12,43.341,0.107793,-22.204,-22.199
GND,1,441.101,238,27 37 38 28 38 28 18 28 18 17 18 17 7 17 7 6 7 6 5 6 5 28 37 5 4 5 4 14 13 14 13 12 13 12 13 3 13 3 12 22 23 33 32 33 32 33 41,S37 S39 C36 S27 C17 S17 C5 C4 C3 S14 C13 C12 C11 C20 C23 C32 S33 S45,crease,11,52.23,0.1299,-35.695,-1.73
GND,1,441.101,238,27 37 38 28 38 28 18 28 18 17 18 17 7 17 7 6 7 6 5 6 5 28 37 5 4 5 4 14 13 14 13 12 13 12 13 3 13 3 12 22 23 33 32 33 32 33 41,S37 S39 C36 S27 C17 S17 C5 C4 C3 S14 C13 C12 C11 C20 C23 C32 S33 S45,crease,20,22.8,0.056705,-20.625,-32.292
GND,1,441.101,238,27 37 38 28 38 28 18 28 18 17 18 17 7 17 7 6 7 6 5 6 5 28 37 5 4 5 4 14 13 14 13 12 13 12 13 3 13 3 12 22 23 33 32 33 32 33 41,S37 S39 C36 S27 C17 S17 C5 C4 C3 S14 C13 C12 C11 C20 C23 C32 S33 S45,crease,23,43.341,0.107793,-28.055,-34.742
GND,1,441.101,238,27 37 38 28 38 28 18 28 18 17 18 17 7 17 7 6 7 6 5 6 5 28 37 5 4 5 4 14 13 14 13 12 13 12 13 3 13 3 12 22 23 33 32 33 32 33 41,S37 S39 C36 S27 C17 S17 C5 C4 C3 S14 C13 C12 C11 C20 C23 C32 S33 S45,crease,32,52.23,0.1299,-38.994,-44.834
GND,1,441.101,238,27 37 38 28 38 28 18 28 18 17 18 17 7 17 7 6 7 6 5 6 5 28 37 5 4 5 4 14 13 14 13 12 13 12 13 3 13 3 12 22 23 33 32 33 32 33 41,S37 S39 C36 S27 C17 S17 C5 C4 C3 S14 C13 C12 C11 C20 C23 C32 S33 S45,seam,33,20.407,0.050755,-36.427,-51.065
GND,1,441.101,238,27 37 38 28 38 28 18 28 18 17 18 17 7 17 7 6 7 6 5 6 5 28 37 5 4 5 4 14 13 14 13 12 13 12 13 3 13 3 12 22 23 33 32 33 32 33 41,S37 S39 C36 S27 C17 S17 C5 C4 C3 S14 C13 C12 C11 C20 C23 C32 S33 S45,seam,45,30.141,0.074963,-57.918,-53.527
