net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,167.181,79,1 5 0 5 0,C5 C4,crease,5,90.0,0.223838,-47.493,135.812
VBUS,1,167.181,79,1 5 0 5 0,C5 C4,crease,4,90.0,0.223838,15.667,76.364
V5,1,55.756,30,0,,,,,,,
USB_DM,1,160.234,103,1 3 0 3 0,S7 C2,seam,7,90.0,0.223838,-89.019,194.293
USB_DM,1,160.234,103,1 3 0 3 0,S7 C2,crease,2,90.0,0.223838,78.84,41.694
USB_DP,1,180.701,110,1 3 0 3 0,S7 C2,seam,7,90.0,0.223838,-98.075,193.429
USB_DP,1,180.701,110,1 3 0 3 0,S7 C2,crease,2,90.0,0.223838,78.84,32.597
DRV1,1,207.723,130,0 3 1 3 1,C2 S7,crease,2,90.0,0.223838,78.84,35.63
DRV1,1,207.723,130,0 3 1 3 1,C2 S7,seam,7,90.0,0.223838,-95.056,193.717
LEDA1,1,14.19,6,1,,,,,,,
DRV2,1,102.232,59,0 2,C0,crease,0,90.0,0.223838,23.5,0.0
LEDA2,1,17.459,9,2,,,,,,,
IO1,1,77.014,45,0 6,C1,crease,1,90.0,0.223838,0.0,44.727
GND,1,369.852,217,1 6 0 6 0 6 2 6 2 0 2 0,S6 C1 S0 C0,seam,6,90.0,0.223838,-78.509,116.098
GND,1,369.852,217,1 6 0 6 0 6 2 6 2 0 2 0,S6 C1 S0 C0,crease,1,90.0,0.223838,0.0,47.759
GND,1,369.852,217,1 6 0 6 0 6 2 6 2 0 2 0,S6 C1 S0 C0,seam,0,90.0,0.223838,0.0,-50.969
GND,1,369.852,217,1 6 0 6 0 6 2 6 2 0 2 0,S6 C1 S0 C0,crease,0,90.0,0.223838,46.243,0.0
