net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,97.769,62,4 3 4 3,S2,seam,2,42.274,0.105139,79.601,59.13
V5,1,220.753,116,3 2 3 2 6 5 6 5,S1 S0 S4,seam,1,90.0,0.223838,78.84,-8.368
V5,1,220.753,116,3 2 3 2 6 5 6 5,S1 S0 S4,seam,0,90.0,0.223838,0.0,-81.399
V5,1,220.753,116,3 2 3 2 6 5 6 5,S1 S0 S4,seam,4,42.274,0.105139,-42.217,97.51
USB_DM,1,97.678,59,4 5,S3,seam,3,95.453,0.2374,65.876,126.543
USB_DP,1,106.399,62,4 5,S3,seam,3,95.453,0.2374,62.499,123.473
DRV1,1,75.622,46,5 1 5 1,C5,crease,5,90.0,0.223838,-57.601,124.694
LEDA1,1,139.271,77,1 6 0 6 0,S6 C1,seam,6,90.0,0.223838,-98.13,114.225
LEDA1,1,139.271,77,1 6 0 6 0,S6 C1,crease,1,90.0,0.223838,0.0,0.758
DRV2,1,100.488,60,5 1 5 1 2,C5 S5,crease,5,90.0,0.223838,-60.633,121.358
DRV2,1,100.488,60,5 1 5 1 2,C5 S5,seam,5,90.0,0.223838,-123.393,115.621
LEDA2,1,95.648,58,2 1 2 1 5,S5 C5,seam,5,90.0,0.223838,-124.834,130.714
LEDA2,1,95.648,58,2 1 2 1 5,S5 C5,crease,5,90.0,0.223838,-62.654,119.135
IO1,1,69.651,40,5 6,S4,seam,4,42.274,0.105139,-59.104,112.861
DRV3,1,154.216,89,5 4 5 4,S3,seam,3,95.453,0.2374,60.247,121.426
LEDA3,1,65.029,40,4 3 4 3,S2,seam,2,42.274,0.105139,84.165,59.13
IO2,1,78.57,44,5 6 1 6 1,S4 S6,seam,4,42.274,0.105139,-62.482,115.932
IO2,1,78.57,44,5 6 1 6 1,S4 S6,seam,6,90.0,0.223838,-81.527,115.81
IO3,1,110.207,61,5 6 2 6 2 1 2 1,S4 S0 S5,seam,4,42.274,0.105139,-48.972,103.65
IO3,1,110.207,61,5 6 2 6 2 1 2 1,S4 S0 S5,seam,0,90.0,0.223838,0.0,-75.313
IO3,1,110.207,61,5 6 2 6 2 1 2 1,S4 S0 S5,seam,5,90.0,0.223838,-124.402,126.186
IO4,1,73.152,41,5 6 1 6 1,S4 S6,seam,4,42.274,0.105139,-55.727,109.791
IO4,1,73.152,41,5 6 1 6 1,S4 S6,seam,6,90.0,0.223838,-108.695,113.217
SWSIG,1,131.314,84,5 0 5 0,C4,crease,4,90.0,0.223838,4.548,64.133
SWPU,1,154.207,91,0 5,C4,crease,4,90.0,0.223838,12.635,73.028
GND,1,585.415,333,4 0 4 0 3 4 5 1 5 1 5 0 2 6 1 2 1 2 1,C3 C2 S2 S3 C5 C5 C0 S0 S5 S5,crease,3,90.0,0.223838,70.248,68.581
GND,1,585.415,333,4 0 4 0 3 4 5 1 5 1 5 0 2 6 1 2 1 2 1,C3 C2 S2 S3 C5 C5 C0 S0 S5 S5,crease,2,90.0,0.223838,78.84,0.758
GND,1,585.415,333,4 0 4 0 3 4 5 1 5 1 5 0 2 6 1 2 1 2 1,C3 C2 S2 S3 C5 C5 C0 S0 S5 S5,seam,2,42.274,0.105139,90.251,59.13
GND,1,585.415,333,4 0 4 0 3 4 5 1 5 1 5 0 2 6 1 2 1 2 1,C3 C2 S2 S3 C5 C5 C0 S0 S5 S5,seam,3,95.453,0.2374,83.889,142.918
GND,1,585.415,333,4 0 4 0 3 4 5 1 5 1 5 0 2 6 1 2 1 2 1,C3 C2 S2 S3 C5 C5 C0 S0 S5 S5,crease,5,90.0,0.223838,-50.525,132.477
GND,1,585.415,333,4 0 4 0 3 4 5 1 5 1 5 0 2 6 1 2 1 2 1,C3 C2 S2 S3 C5 C5 C0 S0 S5 S5,crease,5,90.0,0.223838,-52.547,130.253
GND,1,585.415,333,4 0 4 0 3 4 5 1 5 1 5 0 2 6 1 2 1 2 1,C3 C2 S2 S3 C5 C5 C0 S0 S5 S5,crease,0,90.0,0.223838,6.823,0.0
GND,1,585.415,333,4 0 4 0 3 4 5 1 5 1 5 0 2 6 1 2 1 2 1,C3 C2 S2 S3 C5 C5 C0 S0 S5 S5,seam,0,90.0,0.223838,0.0,-50.969
GND,1,585.415,333,4 0 4 0 3 4 5 1 5 1 5 0 2 6 1 2 1 2 1,C3 C2 S2 S3 C5 C5 C0 S0 S5 S5,seam,5,90.0,0.223838,-125.122,133.733
GND,1,585.415,333,4 0 4 0 3 4 5 1 5 1 5 0 2 6 1 2 1 2 1,C3 C2 S2 S3 C5 C5 C0 S0 S5 S5,seam,5,90.0,0.223838,-123.969,121.659
