net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,97.769,62,4 3 4 3,S2,seam,2,42.274,0.105139,79.601,59.13
V5,1,277.411,166,3 4 5 6,S2 S3 S4,seam,2,42.274,0.105139,90.251,59.13
V5,1,277.411,166,3 4 5 6,S2 S3 S4,seam,3,95.453,0.2374,83.889,142.918
V5,1,277.411,166,3 4 5 6,S2 S3 S4,seam,4,42.274,0.105139,-42.217,97.51
USB_DM,1,97.678,59,4 5,S3,seam,3,95.453,0.2374,65.876,126.543
USB_DP,1,106.399,62,4 5,S3,seam,3,95.453,0.2374,62.499,123.473
DRV1,1,75.622,46,5 1 5 1,C5,crease,5,90.0,0.223838,-62.654,119.135
LEDA1,1,107.282,65,1 6 0 6 0,S6 C1,seam,6,90.0,0.223838,-108.695,113.217
LEDA1,1,107.282,65,1 6 0 6 0,S6 C1,crease,1,90.0,0.223838,0.0,0.758
DRV2,1,95.369,53,5 6 2 6 2,S4 S0,seam,4,42.274,0.105139,-55.727,109.791
DRV2,1,95.369,53,5 6 2 6 2,S4 S0,seam,0,90.0,0.223838,0.0,-76.834
LEDA2,1,86.448,52,2 1 2 1 5,S5 C5,seam,5,90.0,0.223838,-124.546,127.696
LEDA2,1,86.448,52,2 1 2 1 5,S5 C5,crease,5,90.0,0.223838,-60.633,121.358
IO1,1,70.229,42,5 6,S4,seam,4,42.274,0.105139,-61.356,114.908
DRV3,1,155.459,89,5 4 5 4,S3,seam,3,95.453,0.2374,60.247,121.426
LEDA3,1,65.029,40,4 3 4 3,S2,seam,2,42.274,0.105139,84.165,59.13
IO2,1,74.152,43,5 1 5 1,C5,crease,5,90.0,0.223838,-63.665,118.023
IO3,1,233.15,133,5 0 5 0 2 1 2 1,C4 C0 S5,crease,4,90.0,0.223838,0.505,59.686
IO3,1,233.15,133,5 0 5 0 2 1 2 1,C4 C0 S5,crease,0,90.0,0.223838,11.371,0.0
IO3,1,233.15,133,5 0 5 0 2 1 2 1,C4 C0 S5,seam,5,90.0,0.223838,-124.258,124.677
IO4,1,68.058,38,5 6 1 6 1,S4 S6,seam,4,42.274,0.105139,-56.853,110.814
IO4,1,68.058,38,5 6 1 6 1,S4 S6,seam,6,90.0,0.223838,-81.527,115.81
SWSIG,1,133.799,84,5 0 5 0,C4,crease,4,90.0,0.223838,4.548,64.133
SWPU,1,156.692,91,0 5,C4,crease,4,90.0,0.223838,13.645,74.14
GND,1,605.41,359,4 3 4 3 4 5 6 5 0 5 0 2 1 2 1,S2 S3 S4 C4 C0 S5,seam,2,42.274,0.105139,88.73,59.13
GND,1,605.41,359,4 3 4 3 4 5 6 5 0 5 0 2 1 2 1,S2 S3 S4 C4 C0 S5,seam,3,95.453,0.2374,82.763,141.895
GND,1,605.41,359,4 3 4 3 4 5 6 5 0 5 0 2 1 2 1,S2 S3 S4 C4 C0 S5,seam,4,42.274,0.105139,-38.84,94.439
GND,1,605.41,359,4 3 4 3 4 5 6 5 0 5 0 2 1 2 1,S2 S3 S4 C4 C0 S5,crease,4,90.0,0.223838,7.581,67.469
GND,1,605.41,359,4 3 4 3 4 5 6 5 0 5 0 2 1 2 1,S2 S3 S4 C4 C0 S5,crease,0,90.0,0.223838,8.339,0.0
GND,1,605.41,359,4 3 4 3 4 5 6 5 0 5 0 2 1 2 1,S2 S3 S4 C4 C0 S5,seam,5,90.0,0.223838,-123.825,120.149
