net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,86.984,51,73 67 73 67 73,S84 S84,seam,84,43.658,0.108582,33.421,125.621
VBUS,1,86.984,51,73 67 73 67 73,S84 S84,seam,84,43.658,0.108582,27.471,123.309
V5,1,131.17,72,73 68 73 68 50 68 50 49 50 49 67 73,S85 C63 C47 C62 S84,seam,85,44.079,0.109629,13.125,117.753
V5,1,131.17,72,73 68 73 68 50 68 50 49 50 49 67 73,S85 C63 C47 C62 S84,crease,63,37.612,0.093546,28.476,111.499
V5,1,131.17,72,73 68 73 68 50 68 50 49 50 49 67 73,S85 C63 C47 C62 S84,crease,47,2.312,0.005749,33.778,112.681
V5,1,131.17,72,73 68 73 68 50 68 50 49 50 49 67 73,S85 C63 C47 C62 S84,crease,62,37.912,0.094291,34.16,113.674
V5,1,131.17,72,73 68 73 68 50 68 50 49 50 49 67 73,S85 C63 C47 C62 S84,seam,84,43.658,0.108582,45.323,130.245
USB_DM,1,12.361,3,73,,,,,,,
USB_DP,1,21.174,4,73,,,,,,,
DRV1,1,84.776,52,73 55 73 55,C68,crease,68,17.6,0.043773,-45.705,144.996
LEDA1,1,14.879,8,55,,,,,,,
GND,1,178.875,103,73 67 73 67 73 60 73 60 73 59 60 59 58 59 58 73 57 73 57 56 57 56 55 56 55,S84 S84 S78 S78 C54 S64 C71 C70 S60 S58,seam,84,43.658,0.108582,39.372,127.933
GND,1,178.875,103,73 67 73 67 73 60 73 60 73 59 60 59 58 59 58 73 57 73 57 56 57 56 55 56 55,S84 S84 S78 S78 C54 S64 C71 C70 S60 S58,seam,84,43.658,0.108582,42.348,129.089
GND,1,178.875,103,73 67 73 67 73 60 73 60 73 59 60 59 58 59 58 73 57 73 57 56 57 56 55 56 55,S84 S84 S78 S78 C54 S64 C71 C70 S60 S58,seam,78,43.658,0.108582,34.632,166.935
GND,1,178.875,103,73 67 73 67 73 60 73 60 73 59 60 59 58 59 58 73 57 73 57 56 57 56 55 56 55,S84 S84 S78 S78 C54 S64 C71 C70 S60 S58,seam,78,43.658,0.108582,23.53,168.189
GND,1,178.875,103,73 67 73 67 73 60 73 60 73 59 60 59 58 59 58 73 57 73 57 56 57 56 55 56 55,S84 S84 S78 S78 C54 S64 C71 C70 S60 S58,crease,54,1.671,0.004155,23.027,169.066
GND,1,178.875,103,73 67 73 67 73 60 73 60 73 59 60 59 58 59 58 73 57 73 57 56 57 56 55 56 55,S84 S84 S78 S78 C54 S64 C71 C70 S60 S58,seam,64,3.968,0.009868,3.394,159.921
GND,1,178.875,103,73 67 73 67 73 60 73 60 73 59 60 59 58 59 58 73 57 73 57 56 57 56 55 56 55,S84 S84 S78 S78 C54 S64 C71 C70 S60 S58,crease,71,41.943,0.104317,-13.277,157.062
GND,1,178.875,103,73 67 73 67 73 60 73 60 73 59 60 59 58 59 58 73 57 73 57 56 57 56 55 56 55,S84 S84 S78 S78 C54 S64 C71 C70 S60 S58,crease,70,35.692,0.08877,-14.757,156.77
GND,1,178.875,103,73 67 73 67 73 60 73 60 73 59 60 59 58 59 58 73 57 73 57 56 57 56 55 56 55,S84 S84 S78 S78 C54 S64 C71 C70 S60 S58,seam,60,11.658,0.028996,-49.006,155.267
GND,1,178.875,103,73 67 73 67 73 60 73 60 73 59 60 59 58 59 58 73 57 73 57 56 57 56 55 56 55,S84 S84 S78 S78 C54 S64 C71 C70 S60 S58,seam,58,9.842,0.024478,-74.993,145.835
