net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,39.194,21,0,,,,,,,
V5,1,155.638,93,0 14 32 31 32 31 49 67 73,S17 C30 C31 S51 C62 S84,seam,17,44.079,0.109629,49.492,52.099
V5,1,155.638,93,0 14 32 31 32 31 49 67 73,S17 C30 C31 S51 C62 S84,crease,30,37.612,0.093546,44.348,71.989
V5,1,155.638,93,0 14 32 31 32 31 49 67 73,S17 C30 C31 S51 C62 S84,crease,31,2.312,0.005749,44.211,88.158
V5,1,155.638,93,0 14 32 31 32 31 49 67 73,S17 C30 C31 S51 C62 S84,seam,51,16.859,0.041931,43.049,93.641
V5,1,155.638,93,0 14 32 31 32 31 49 67 73,S17 C30 C31 S51 C62 S84,crease,62,37.912,0.094291,42.599,116.953
V5,1,155.638,93,0 14 32 31 32 31 49 67 73,S17 C30 C31 S51 C62 S84,seam,84,43.658,0.108582,40.86,128.511
USB_DM,1,95.597,55,0 14 32 50 49 50 49 67 73,S17 C30 S52 C47 C62 S84,seam,17,44.079,0.109629,46.92,50.526
USB_DM,1,95.597,55,0 14 32 50 49 50 49 67 73,S17 C30 S52 C47 C62 S84,crease,30,37.612,0.093546,41.541,70.804
USB_DM,1,95.597,55,0 14 32 50 49 50 49 67 73,S17 C30 S52 C47 C62 S84,seam,52,16.617,0.041328,38.745,91.83
USB_DM,1,95.597,55,0 14 32 50 49 50 49 67 73,S17 C30 S52 C47 C62 S84,crease,47,2.312,0.005749,35.064,109.803
USB_DM,1,95.597,55,0 14 32 50 49 50 49 67 73,S17 C30 S52 C47 C62 S84,crease,62,37.912,0.094291,35.566,114.22
USB_DM,1,95.597,55,0 14 32 50 49 50 49 67 73,S17 C30 S52 C47 C62 S84,seam,84,43.658,0.108582,28.958,123.887
USB_DP,1,103.061,49,0 5 23 41 59 60 73,S5 S28 S44 S63 C54 S78,seam,5,44.079,0.109629,65.334,29.92
USB_DP,1,103.061,49,0 5 23 41 59 60 73,S5 S28 S44 S63 C54 S78,seam,28,37.612,0.093546,80.272,16.09
USB_DP,1,103.061,49,0 5 23 41 59 60 73,S5 S28 S44 S63 C54 S78,seam,44,16.617,0.041328,247.682,17.727
USB_DP,1,103.061,49,0 5 23 41 59 60 73,S5 S28 S44 S63 C54 S78,seam,63,37.612,0.093546,122.936,283.13
USB_DP,1,103.061,49,0 5 23 41 59 60 73,S5 S28 S44 S63 C54 S78,crease,54,1.671,0.004155,25.921,176.936
USB_DP,1,103.061,49,0 5 23 41 59 60 73,S5 S28 S44 S63 C54 S78,seam,78,43.658,0.108582,29.874,167.473
DRV1,1,47.309,28,73 58 73 58 59 73,C71 S64 S77,crease,71,41.943,0.104317,3.12,159.225
DRV1,1,47.309,28,73 58 73 58 59 73,C71 S64 S77,seam,64,3.968,0.009868,3.394,159.921
DRV1,1,47.309,28,73 58 73 58 59 73,C71 S64 S77,seam,77,44.079,0.109629,17.48,168.716
LEDA1,1,19.262,10,73,,,,,,,
DRV2,1,86.682,52,73 55 73 55,C68,crease,68,17.6,0.043773,-45.705,144.996
LEDA2,1,14.879,8,55,,,,,,,
IO1,1,117.716,65,73 69 73 69 68 69 68 50 68 50 32 50 32 14 32 14 15 0 15 0,S86 C64 C63 S52 C30 C10 S19,seam,86,41.943,0.104317,6.016,115.291
IO1,1,117.716,65,73 69 73 69 68 69 68 50 68 50 32 50 32 14 32 14 15 0 15 0,S86 C64 C63 S52 C30 C10 S19,crease,64,3.968,0.009868,8.366,111.226
IO1,1,117.716,65,73 69 73 69 68 69 68 50 68 50 32 50 32 14 32 14 15 0 15 0,S86 C64 C63 S52 C30 C10 S19,crease,63,37.612,0.093546,9.977,104.438
IO1,1,117.716,65,73 69 73 69 68 69 68 50 68 50 32 50 32 14 32 14 15 0 15 0,S86 C64 C63 S52 C30 C10 S19,seam,52,16.617,0.041328,14.217,81.48
IO1,1,117.716,65,73 69 73 69 68 69 68 50 68 50 32 50 32 14 32 14 15 0 15 0,S86 C64 C63 S52 C30 C10 S19,crease,30,37.612,0.093546,23.298,63.106
IO1,1,117.716,65,73 69 73 69 68 69 68 50 68 50 32 50 32 14 32 14 15 0 15 0,S86 C64 C63 S52 C30 C10 S19,crease,10,3.968,0.009868,24.516,61.573
