net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,39.194,21,0,,,,,,,
V5,1,135.768,77,0 6 24 42 60 73,S7 S29 S45 S65 S78,seam,7,43.658,0.108582,71.152,34.779
V5,1,135.768,77,0 6 24 42 60 73,S7 S29 S45 S65 S78,seam,29,37.912,0.094291,88.519,25.03
V5,1,135.768,77,0 6 24 42 60 73,S7 S29 S45 S65 S78,seam,45,16.859,0.041931,241.77,28.481
V5,1,135.768,77,0 6 24 42 60 73,S7 S29 S45 S65 S78,seam,65,37.912,0.094291,124.329,277.25
V5,1,135.768,77,0 6 24 42 60 73,S7 S29 S45 S65 S78,seam,78,43.658,0.108582,31.46,167.294
USB_DM,1,120.957,69,0 13 31 49 67 73,S15 C28 S51 C62 S84,seam,15,43.658,0.108582,55.975,56.026
USB_DM,1,120.957,69,0 13 31 49 67 73,S15 C28 S51 C62 S84,crease,28,37.912,0.094291,51.35,74.929
USB_DM,1,120.957,69,0 13 31 49 67 73,S15 C28 S51 C62 S84,seam,51,16.859,0.041931,45.836,94.798
USB_DM,1,120.957,69,0 13 31 49 67 73,S15 C28 S51 C62 S84,crease,62,37.912,0.094291,45.413,118.046
USB_DM,1,120.957,69,0 13 31 49 67 73,S15 C28 S51 C62 S84,seam,84,43.658,0.108582,40.86,128.511
USB_DP,1,103.911,53,0 5 23 41 59 73,S5 S28 S44 S63 S77,seam,5,44.079,0.109629,65.334,29.92
USB_DP,1,103.911,53,0 5 23 41 59 73,S5 S28 S44 S63 S77,seam,28,37.612,0.093546,80.272,16.09
USB_DP,1,103.911,53,0 5 23 41 59 73,S5 S28 S44 S63 S77,seam,44,16.617,0.041328,247.682,17.727
USB_DP,1,103.911,53,0 5 23 41 59 73,S5 S28 S44 S63 S77,seam,63,37.612,0.093546,121.86,287.571
USB_DP,1,103.911,53,0 5 23 41 59 73,S5 S28 S44 S63 S77,seam,77,44.079,0.109629,21.986,168.341
DRV1,1,65.446,40,73 67 73 67 73,S84 S84,seam,84,43.658,0.108582,27.471,123.309
DRV1,1,65.446,40,73 67 73 67 73,S84 S84,seam,84,43.658,0.108582,28.958,123.887
LEDA1,1,19.262,10,73,,,,,,,
DRV2,1,86.682,52,73 55 73 55,C68,crease,68,17.6,0.043773,-45.705,144.996
LEDA2,1,14.879,8,55,,,,,,,
IO1,1,103.579,56,73 58 73 58 40 58 40 22 40 22 4 22 4 0 4 0,C71 S61 S43 S27 C3,crease,71,41.943,0.104317,-1.352,158.635
IO1,1,103.579,56,73 58 73 58 40 58 40 22 40 22 4 22 4 0 4 0,C71 S61 S43 S27 C3,seam,61,39.113,0.097279,116.11,311.252
IO1,1,103.579,56,73 58 73 58 40 58 40 22 40 22 4 22 4 0 4 0,C71 S61 S43 S27 C3,seam,43,17.887,0.044485,261.169,-7.023
IO1,1,103.579,56,73 58 73 58 40 58 40 22 40 22 4 22 4 0 4 0,C71 S61 S43 S27 C3,seam,27,39.113,0.097279,55.703,7.741
IO1,1,103.579,56,73 58 73 58 40 58 40 22 40 22 4 22 4 0 4 0,C71 S61 S43 S27 C3,crease,3,41.943,0.104317,56.009,22.282
GND,1,375.549,203,0 1 19 37 55 73 68 73 68 67 68 67 73,C0 C14 S36 C52 C68 S85 S72 S84,crease,0,17.6,0.043773,7.126,0.0
GND,1,375.549,203,0 1 19 37 55 73 68 73 68 67 68 67 73,C0 C14 S36 C52 C68 S85 S72 S84,crease,14,48.373,0.120308,-17.814,-26.037
GND,1,375.549,203,0 1 19 37 55 73 68 73 68 67 68 67 73,C0 C14 S36 C52 C68 S85 S72 S84,seam,36,48.054,0.119515,-27.999,-48.201
GND,1,375.549,203,0 1 19 37 55 73 68 73 68 67 68 67 73,C0 C14 S36 C52 C68 S85 S72 S84,crease,52,48.373,0.120308,-84.017,145.38
GND,1,375.549,203,0 1 19 37 55 73 68 73 68 67 68 67 73,C0 C14 S36 C52 C68 S85 S72 S84,crease,68,17.6,0.043773,-52.74,138.609
GND,1,375.549,203,0 1 19 37 55 73 68 73 68 67 68 67 73,C0 C14 S36 C52 C68 S85 S72 S84,seam,85,44.079,0.109629,13.125,117.753
GND,1,375.549,203,0 1 19 37 55 73 68 73 68 67 68 67 73,C0 C14 S36 C52 C68 S85 S72 S84,seam,72,1.671,0.004155,29.13,119.584
GND,1,375.549,203,0 1 19 37 55 73 68 73 68 67 68 67 73,C0 C14 S36 C52 C68 S85 S72 S84,seam,84,43.658,0.108582,37.885,127.355
