net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,191.305,119,54 53 54 53 35 53 35 36 19 36 19 20 21 39 40 41 59,C51 S55 C35 S24 S22 S26 S41 C36 C37 S63,crease,51,16.455,0.040926,-75.743,60.013
VBUS,1,191.305,119,54 53 54 53 35 53 35 36 19 36 19 20 21 39 40 41 59,C51 S55 C35 S24 S22 S26 S41 C36 C37 S63,seam,55,32.782,0.081532,-71.666,41.075
VBUS,1,191.305,119,54 53 54 53 35 53 35 36 19 36 19 20 21 39 40 41 59,C51 S55 C35 S24 S22 S26 S41 C36 C37 S63,crease,35,16.455,0.040926,-71.695,40.315
VBUS,1,191.305,119,54 53 54 53 35 53 35 36 19 36 19 20 21 39 40 41 59,C51 S55 C35 S24 S22 S26 S41 C36 C37 S63,seam,24,96.014,0.238796,-37.346,-30.6
VBUS,1,191.305,119,54 53 54 53 35 53 35 36 19 36 19 20 21 39 40 41 59,C51 S55 C35 S24 S22 S26 S41 C36 C37 S63,seam,22,16.455,0.040926,-20.52,-33.656
VBUS,1,191.305,119,54 53 54 53 35 53 35 36 19 36 19 20 21 39 40 41 59,C51 S55 C35 S24 S22 S26 S41 C36 C37 S63,seam,26,12.65,0.031461,4.634,-35.989
VBUS,1,191.305,119,54 53 54 53 35 53 35 36 19 36 19 20 21 39 40 41 59,C51 S55 C35 S24 S22 S26 S41 C36 C37 S63,seam,41,22.273,0.055395,283.896,-50.821
VBUS,1,191.305,119,54 53 54 53 35 53 35 36 19 36 19 20 21 39 40 41 59,C51 S55 C35 S24 S22 S26 S41 C36 C37 S63,crease,36,7.526,0.018717,120.215,345.383
VBUS,1,191.305,119,54 53 54 53 35 53 35 36 19 36 19 20 21 39 40 41 59,C51 S55 C35 S24 S22 S26 S41 C36 C37 S63,crease,37,4.89,0.012162,119.994,311.968
VBUS,1,191.305,119,54 53 54 53 35 53 35 36 19 36 19 20 21 39 40 41 59,C51 S55 C35 S24 S22 S26 S41 C36 C37 S63,seam,63,37.612,0.093546,119.348,297.933
V5,1,58.542,30,59 73 69 73 69 68 69 68,S77 S86 C64,seam,77,44.079,0.109629,11.472,169.217
V5,1,58.542,30,59 73 69 73 69 68 69 68,S77 S86 C64,seam,86,41.943,0.104317,7.452,115.738
V5,1,58.542,30,59 73 69 73 69 68 69 68,S77 S86 C64,crease,64,3.968,0.009868,8.366,111.226
USB_DM,1,365.002,209,54 37 54 37 19 37 19 20 38 39 40 41 59 60 73 60 73 60 42 60 42 24 42 24 6 24 6 0 6 0 13 31 32 50 68 73,S40 S36 S22 S37 S42 C36 C37 S63 C54 S78 S78 S65 S45 S29 S7 S15 C28 C31 S52 C63 S85,seam,40,96.014,0.238796,-108.679,137.959
USB_DM,1,365.002,209,54 37 54 37 19 37 19 20 38 39 40 41 59 60 73 60 73 60 42 60 42 24 42 24 6 24 6 0 6 0 13 31 32 50 68 73,S40 S36 S22 S37 S42 C36 C37 S63 C54 S78 S78 S65 S45 S29 S7 S15 C28 C31 S52 C63 S85,seam,36,48.054,0.119515,-35.751,-48.201
USB_DM,1,365.002,209,54 37 54 37 19 37 19 20 38 39 40 41 59 60 73 60 73 60 42 60 42 24 42 24 6 24 6 0 6 0 13 31 32 50 68 73,S40 S36 S22 S37 S42 C36 C37 S63 C54 S78 S78 S65 S45 S29 S7 S15 C28 C31 S52 C63 S85,seam,22,16.455,0.040926,-26.905,-47.508
USB_DM,1,365.002,209,54 37 54 37 19 37 19 20 38 39 40 41 59 60 73 60 73 60 42 60 42 24 42 24 6 24 6 0 6 0 13 31 32 50 68 73,S40 S36 S22 S37 S42 C36 C37 S63 C54 S78 S78 S65 S45 S29 S7 S15 C28 C31 S52 C63 S85,seam,37,32.782,0.081532,-1.398,-44.239
USB_DM,1,365.002,209,54 37 54 37 19 37 19 20 38 39 40 41 59 60 73 60 73 60 42 60 42 24 42 24 6 24 6 0 6 0 13 31 32 50 68 73,S40 S36 S22 S37 S42 C36 C37 S63 C54 S78 S78 S65 S45 S29 S7 S15 C28 C31 S52 C63 S85,seam,42,12.65,0.031461,-78.749,171.792
USB_DM,1,365.002,209,54 37 54 37 19 37 19 20 38 39 40 41 59 60 73 60 73 60 42 60 42 24 42 24 6 24 6 0 6 0 13 31 32 50 68 73,S40 S36 S22 S37 S42 C36 C37 S63 C54 S78 S78 S65 S45 S29 S7 S15 C28 C31 S52 C63 S85,crease,36,7.526,0.018717,117.608,343.759
USB_DM,1,365.002,209,54 37 54 37 19 37 19 20 38 39 40 41 59 60 73 60 73 60 42 60 42 24 42 24 6 24 6 0 6 0 13 31 32 50 68 73,S40 S36 S22 S37 S42 C36 C37 S63 C54 S78 S78 S65 S45 S29 S7 S15 C28 C31 S52 C63 S85,crease,37,4.89,0.012162,117.037,310.806
USB_DM,1,365.002,209,54 37 54 37 19 37 19 20 38 39 40 41 59 60 73 60 73 60 42 60 42 24 42 24 6 24 6 0 6 0 13 31 32 50 68 73,S40 S36 S22 S37 S42 C36 C37 S63 C54 S78 S78 S65 S45 S29 S7 S15 C28 C31 S52 C63 S85,seam,63,37.612,0.093546,117.554,305.335
