net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,190.101,119,54 53 54 53 35 53 35 36 19 36 19 20 21 39 40 41 59,C51 S55 C35 S24 S22 S26 S41 C36 C37 S63,crease,51,16.455,0.040926,-75.743,60.013
VBUS,1,190.101,119,54 53 54 53 35 53 35 36 19 36 19 20 21 39 40 41 59,C51 S55 C35 S24 S22 S26 S41 C36 C37 S63,seam,55,32.782,0.081532,-71.666,41.075
VBUS,1,190.101,119,54 53 54 53 35 53 35 36 19 36 19 20 21 39 40 41 59,C51 S55 C35 S24 S22 S26 S41 C36 C37 S63,crease,35,16.455,0.040926,-71.695,40.315
VBUS,1,190.101,119,54 53 54 53 35 53 35 36 19 36 19 20 21 39 40 41 59,C51 S55 C35 S24 S22 S26 S41 C36 C37 S63,seam,24,96.014,0.238796,-37.346,-30.6
VBUS,1,190.101,119,54 53 54 53 35 53 35 36 19 36 19 20 21 39 40 41 59,C51 S55 C35 S24 S22 S26 S41 C36 C37 S63,seam,22,16.455,0.040926,-19.243,-30.885
VBUS,1,190.101,119,54 53 54 53 35 53 35 36 19 36 19 20 21 39 40 41 59,C51 S55 C35 S24 S22 S26 S41 C36 C37 S63,seam,26,12.65,0.031461,5.032,-32.957
VBUS,1,190.101,119,54 53 54 53 35 53 35 36 19 36 19 20 21 39 40 41 59,C51 S55 C35 S24 S22 S26 S41 C36 C37 S63,seam,41,22.273,0.055395,281.199,-45.433
VBUS,1,190.101,119,54 53 54 53 35 53 35 36 19 36 19 20 21 39 40 41 59,C51 S55 C35 S24 S22 S26 S41 C36 C37 S63,crease,36,7.526,0.018717,124.124,347.818
VBUS,1,190.101,119,54 53 54 53 35 53 35 36 19 36 19 20 21 39 40 41 59,C51 S55 C35 S24 S22 S26 S41 C36 C37 S63,crease,37,4.89,0.012162,124.43,313.71
VBUS,1,190.101,119,54 53 54 53 35 53 35 36 19 36 19 20 21 39 40 41 59,C51 S55 C35 S24 S22 S26 S41 C36 C37 S63,seam,63,37.612,0.093546,118.272,302.374
V5,1,88.874,49,59 73 68 73 68 59 58 59 58 73,S77 S85 S64 C71,seam,77,44.079,0.109629,20.484,168.466
V5,1,88.874,49,59 73 68 73 68 59 58 59 58 73,S77 S85 S64 C71,seam,85,44.079,0.109629,10.309,116.678
V5,1,88.874,49,59 73 68 73 68 59 58 59 58 73,S77 S85 S64 C71,seam,64,3.968,0.009868,3.394,159.921
V5,1,88.874,49,59 73 68 73 68 59 58 59 58 73,S77 S85 S64 C71,crease,71,41.943,0.104317,0.139,158.832
