net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,211.001,123,54 53 54 53 52 53 52 34 52 34 16 34 16 0 16 0 5 23 41 59,C51 C50 S54 S34 S20 S5 S28 S44 S63,crease,51,16.455,0.040926,-73.511,68.889
VBUS,1,211.001,123,54 53 54 53 52 53 52 34 52 34 16 34 16 0 16 0 5 23 41 59,C51 C50 S54 S34 S20 S5 S28 S44 S63,crease,50,12.65,0.031461,-50.41,66.248
VBUS,1,211.001,123,54 53 54 53 52 53 52 34 52 34 16 34 16 0 16 0 5 23 41 59,C51 C50 S54 S34 S20 S5 S28 S44 S63,seam,54,22.273,0.055395,-40.55,56.965
VBUS,1,211.001,123,54 53 54 53 52 53 52 34 52 34 16 34 16 0 16 0 5 23 41 59,C51 C50 S54 S34 S20 S5 S28 S44 S63,seam,34,43.171,0.107371,-20.785,38.912
VBUS,1,211.001,123,54 53 54 53 52 53 52 34 52 34 16 34 16 0 16 0 5 23 41 59,C51 C50 S54 S34 S20 S5 S28 S44 S63,seam,20,35.692,0.08877,12.684,23.445
VBUS,1,211.001,123,54 53 54 53 52 53 52 34 52 34 16 34 16 0 16 0 5 23 41 59,C51 C50 S54 S34 S20 S5 S28 S44 S63,seam,5,44.079,0.109629,57.207,23.191
VBUS,1,211.001,123,54 53 54 53 52 53 52 34 52 34 16 34 16 0 16 0 5 23 41 59,C51 C50 S54 S34 S20 S5 S28 S44 S63,seam,28,37.612,0.093546,73.0,8.292
VBUS,1,211.001,123,54 53 54 53 52 53 52 34 52 34 16 34 16 0 16 0 5 23 41 59,C51 C50 S54 S34 S20 S5 S28 S44 S63,seam,44,16.617,0.041328,252.931,8.103
VBUS,1,211.001,123,54 53 54 53 52 53 52 34 52 34 16 34 16 0 16 0 5 23 41 59,C51 C50 S54 S34 S20 S5 S28 S44 S63,seam,63,37.612,0.093546,119.707,296.453
V5,1,140.014,75,59 58 59 58 59 60 73 68 73 68 73,S64 S64 C54 S78 S85,seam,64,3.968,0.009868,0.565,163.508
V5,1,140.014,75,59 58 59 58 59 60 73 68 73 68 73,S64 S64 C54 S78 S85,seam,64,3.968,0.009868,2.451,161.117
V5,1,140.014,75,59 58 59 58 59 60 73 68 73 68 73,S64 S64 C54 S78 S85,crease,54,1.671,0.004155,26.499,178.51
V5,1,140.014,75,59 58 59 58 59 60 73 68 73 68 73,S64 S64 C54 S78 S85,seam,78,43.658,0.108582,39.39,166.398
V5,1,140.014,75,59 58 59 58 59 60 73 68 73 68 73,S64 S64 C54 S78 S85,seam,85,44.079,0.109629,11.717,117.216
USB_DM,1,226.541,131,54 36 54 36 18 36 18 0 18 0 4 22 40 58 73,S39 S23 S0 C3 S27 S43 S61 C71,seam,39,48.054,0.119515,-79.481,36.059
USB_DM,1,226.541,131,54 36 54 36 18 36 18 0 18 0 4 22 40 58 73,S39 S23 S0 C3 S27 S43 S61 C71,seam,23,48.373,0.120308,-46.186,17.463
USB_DM,1,226.541,131,54 36 54 36 18 36 18 0 18 0 4 22 40 58 73,S39 S23 S0 C3 S27 S43 S61 C71,seam,0,17.6,0.043773,0.257,0.749
USB_DM,1,226.541,131,54 36 54 36 18 36 18 0 18 0 4 22 40 58 73,S39 S23 S0 C3 S27 S43 S61 C71,crease,3,41.943,0.104317,42.414,12.862
USB_DM,1,226.541,131,54 36 54 36 18 36 18 0 18 0 4 22 40 58 73,S39 S23 S0 C3 S27 S43 S61 C71,seam,27,39.113,0.097279,51.956,5.144
USB_DM,1,226.541,131,54 36 54 36 18 36 18 0 18 0 4 22 40 58 73,S39 S23 S0 C3 S27 S43 S61 C71,seam,43,17.887,0.044485,262.63,-9.785
USB_DM,1,226.541,131,54 36 54 36 18 36 18 0 18 0 4 22 40 58 73,S39 S23 S0 C3 S27 S43 S61 C71,seam,61,39.113,0.097279,113.472,321.555
USB_DM,1,226.541,131,54 36 54 36 18 36 18 0 18 0 4 22 40 58 73,S39 S23 S0 C3 S27 S43 S61 C71,crease,71,41.943,0.104317,-4.333,158.242
USB_DP,1,219.636,128,54 53 54 35 53 35 17 35 17 0 17 0 4 22 40 58 73,C51 S55 S35 S21 C3 S27 S43 S61 C71,crease,51,16.455,0.040926,-77.23,54.096
USB_DP,1,219.636,128,54 53 54 35 53 35 17 35 17 0 17 0 4 22 40 58 73,C51 S55 S35 S21 C3 S27 S43 S61 C71,seam,55,32.782,0.081532,-70.318,41.784
USB_DP,1,219.636,128,54 53 54 35 53 35 17 35 17 0 17 0 4 22 40 58 73,C51 S55 S35 S21 C3 S27 S43 S61 C71,seam,35,47.933,0.119213,-29.6,32.891
USB_DP,1,219.636,128,54 53 54 35 53 35 17 35 17 0 17 0 4 22 40 58 73,C51 S55 S35 S21 C3 S27 S43 S61 C71,seam,21,25.676,0.06386,7.438,16.082
USB_DP,1,219.636,128,54 53 54 35 53 35 17 35 17 0 17 0 4 22 40 58 73,C51 S55 S35 S21 C3 S27 S43 S61 C71,crease,3,41.943,0.104317,46.121,15.431
USB_DP,1,219.636,128,54 53 54 35 53 35 17 35 17 0 17 0 4 22 40 58 73,C51 S55 S35 S21 C3 S27 S43 S61 C71,seam,27,39.113,0.097279,54.454,6.875
USB_DP,1,219.636,128,54 53 54 35 53 35 17 35 17 0 17 0 4 22 40 58 73,C51 S55 S35 S21 C3 S27 S43 S61 C71,seam,43,17.887,0.044485,261.169,-7.023
USB_DP,1,219.636,128,54 53 54 35 53 35 17 35 17 0 17 0 4 22 40 58 73,C51 S55 S35 S21 C3 S27 S43 S61 C71,seam,61,39.113,0.097279,116.11,311.252
USB_DP,1,219.636,128,54 53 54 35 53 35 17 35 17 0 17 0 4 22 40 58 73,C51 S55 S35 S21 C3 S27 S43 S61 C71,crease,71,41.943,0.104317,-1.352,158.635
DRV1,1,18.109,10,73 57 73 57 58,C70 S62,crease,70,35.692,0.08877,-23.566,154.438
DRV1,1,18.109,10,73 57 73 57 58,C70 S62,seam,62,7.743,0.019257,-24.455,161.68
LEDA1,1,53.04,30,58 40 58 40 22 40 22 4 22 4,S61 S43 S27,seam,61,39.113,0.097279,112.341,325.971
LEDA1,1,53.04,30,58 40 58 40 22 40 22 4 22 4,S61 S43 S27,seam,43,17.887,0.044485,264.821,-13.928
LEDA1,1,53.04,30,58 40 58 40 22 40 22 4 22 4,S61 S43 S27,seam,27,39.113,0.097279,44.463,-0.048
DRV2,1,95.251,55,73 69 73 69 51 69 51 33 51 33 15 33 15,S86 S73 S53 S33,seam,86,41.943,0.104317,-6.904,111.266
DRV2,1,95.251,55,73 69 73 69 51 69 51 33 51 33 15 33 15,S86 S73 S53 S33,seam,73,39.113,0.097279,-5.705,98.629
DRV2,1,95.251,55,73 69 73 69 51 69 51 33 51 33 15 33 15,S86 S73 S53 S33,seam,53,17.887,0.044485,-4.408,73.37
DRV2,1,95.251,55,73 69 73 69 51 69 51 33 51 33 15 33 15,S86 S73 S53 S33,seam,33,39.113,0.097279,5.593,54.346
LEDA2,1,63.656,35,15 33 51 69,S33 S53 S73,seam,33,39.113,0.097279,9.674,56.377
LEDA2,1,63.656,35,15 33 51 69,S33 S53 S73,seam,53,17.887,0.044485,-10.134,70.867
LEDA2,1,63.656,35,15 33 51 69,S33 S53 S73,seam,73,39.113,0.097279,-11.41,96.535
IO1,1,124.156,68,73 70 73 70 69 70 69 51 69 51 33 51 33 15 33 15 14 15 14,S87 C65 S73 S53 S33 C10,seam,87,35.692,0.08877,-23.243,107.837
IO1,1,124.156,68,73 70 73 70 69 70 69 51 69 51 33 51 33 15 33 15 14 15 14,S87 C65 S73 S53 S33 C10,crease,65,7.743,0.019257,-18.729,97.448
IO1,1,124.156,68,73 70 73 70 69 70 69 51 69 51 33 51 33 15 33 15 14 15 14,S87 C65 S73 S53 S33 C10,seam,73,39.113,0.097279,-18.542,93.917
IO1,1,124.156,68,73 70 73 70 69 70 69 51 69 51 33 51 33 15 33 15 14 15 14,S87 C65 S73 S53 S33 C10,seam,53,17.887,0.044485,-14.428,68.99
IO1,1,124.156,68,73 70 73 70 69 70 69 51 69 51 33 51 33 15 33 15 14 15 14,S87 C65 S73 S53 S33 C10,seam,33,39.113,0.097279,1.513,52.314
IO1,1,124.156,68,73 70 73 70 69 70 69 51 69 51 33 51 33 15 33 15 14 15 14,S87 C65 S73 S53 S33 C10,crease,10,3.968,0.009868,25.796,60.749
DRV3,1,151.725,89,73 57 73 57 58 73 65 73 65,C70 S62 C71 S82,crease,70,35.692,0.08877,-27.97,153.272
DRV3,1,151.725,89,73 57 73 57 58 73 65 73 65,C70 S62 C71 S82,seam,62,7.743,0.019257,-27.237,162.938
DRV3,1,151.725,89,73 57 73 57 58 73 65 73 65,C70 S62 C71 S82,crease,71,41.943,0.104317,3.12,159.225
DRV3,1,151.725,89,73 57 73 57 58 73 65 73 65,C70 S62 C71 S82,seam,82,38.476,0.095695,79.029,144.658
LEDA3,1,65.334,37,65 47 65 47 29 47 29 11 29 11,C60 C44 C24,crease,60,41.434,0.103051,97.548,138.461
LEDA3,1,65.334,37,65 47 65 47 29 47 29 11 29 11,C60 C44 C24,crease,44,20.178,0.050185,112.904,122.471
LEDA3,1,65.334,37,65 47 65 47 29 47 29 11 29 11,C60 C44 C24,crease,24,41.434,0.103051,114.311,100.877
IO2,1,85.241,52,73 55 73 55 37 55 37,C68 C52,crease,68,17.6,0.043773,-49.222,141.802
IO2,1,85.241,52,73 55 73 55 37 55 37,C68 C52,crease,52,48.373,0.120308,-84.017,145.38
IO3,1,107.82,62,73 56 73 56 38 56 38 37 38 37,C69 C53 S38,crease,69,25.676,0.06386,-40.401,147.898
IO3,1,107.82,62,73 56 73 56 38 56 38 37 38 37,C69 C53 S38,crease,53,47.933,0.119213,-82.732,146.962
IO3,1,107.82,62,73 56 73 56 38 56 38 37 38 37,C69 C53 S38,seam,38,16.455,0.040926,-95.352,150.993
IO4,1,85.039,52,73 55 73 55 37 55 37,C68 C52,crease,68,17.6,0.043773,-52.74,138.609
IO4,1,85.039,52,73 55 73 55 37 55 37,C68 C52,crease,52,48.373,0.120308,-91.18,138.877
SWSIG,1,65.551,34,73 60 73 60,S78,seam,78,43.658,0.108582,33.046,167.114
SWPU,1,45.801,19,60 73,S78,seam,78,43.658,0.108582,23.53,168.189
GND,1,577.319,310,54 37 54 37 54 53 54 53 52 53 52 34 52 34 16 34 16 15 16 15 14 15 14 13 14 13 12 13 12 11 12 11 10 11 10 11 37 19 37 19 1 19 1 2 3 4 52 51 52 51 69 68 69 68 73 60 73 60 73,S40 S40 C51 C50 S54 S34 C11 C10 S18 S16 S14 S12 S12 S36 C14 S2 S3 S4 C49 S73 C64 S85 S78,seam,40,96.014,0.238796,-110.105,138.425
GND,1,577.319,310,54 37 54 37 54 53 54 53 52 53 52 34 52 34 16 34 16 15 16 15 14 15 14 13 14 13 12 13 12 11 12 11 10 11 10 11 37 19 37 19 1 19 1 2 3 4 52 51 52 51 69 68 69 68 73 60 73 60 73,S40 S40 C51 C50 S54 S34 C11 C10 S18 S16 S14 S12 S12 S36 C14 S2 S3 S4 C49 S73 C64 S85 S78,seam,40,96.014,0.238796,-98.692,134.699
GND,1,577.319,310,54 37 54 37 54 53 54 53 52 53 52 34 52 34 16 34 16 15 16 15 14 15 14 13 14 13 12 13 12 11 12 11 10 11 10 11 37 19 37 19 1 19 1 2 3 4 52 51 52 51 69 68 69 68 73 60 73 60 73,S40 S40 C51 C50 S54 S34 C11 C10 S18 S16 S14 S12 S12 S36 C14 S2 S3 S4 C49 S73 C64 S85 S78,crease,51,16.455,0.040926,-72.023,74.806
GND,1,577.319,310,54 37 54 37 54 53 54 53 52 53 52 34 52 34 16 34 16 15 16 15 14 15 14 13 14 13 12 13 12 11 12 11 10 11 10 11 37 19 37 19 1 19 1 2 3 4 52 51 52 51 69 68 69 68 73 60 73 60 73,S40 S40 C51 C50 S54 S34 C11 C10 S18 S16 S14 S12 S12 S36 C14 S2 S3 S4 C49 S73 C64 S85 S78,crease,50,12.65,0.031461,-49.48,73.834
GND,1,577.319,310,54 37 54 37 54 53 54 53 52 53 52 34 52 34 16 34 16 15 16 15 14 15 14 13 14 13 12 13 12 11 12 11 10 11 10 11 37 19 37 19 1 19 1 2 3 4 52 51 52 51 69 68 69 68 73 60 73 60 73,S40 S40 C51 C50 S54 S34 C11 C10 S18 S16 S14 S12 S12 S36 C14 S2 S3 S4 C49 S73 C64 S85 S78,seam,54,22.273,0.055395,-32.352,60.769
GND,1,577.319,310,54 37 54 37 54 53 54 53 52 53 52 34 52 34 16 34 16 15 16 15 14 15 14 13 14 13 12 13 12 11 12 11 10 11 10 11 37 19 37 19 1 19 1 2 3 4 52 51 52 51 69 68 69 68 73 60 73 60 73,S40 S40 C51 C50 S54 S34 C11 C10 S18 S16 S14 S12 S12 S36 C14 S2 S3 S4 C49 S73 C64 S85 S78,seam,34,43.171,0.107371,-7.794,47.084
GND,1,577.319,310,54 37 54 37 54 53 54 53 52 53 52 34 52 34 16 34 16 15 16 15 14 15 14 13 14 13 12 13 12 11 12 11 10 11 10 11 37 19 37 19 1 19 1 2 3 4 52 51 52 51 69 68 69 68 73 60 73 60 73,S40 S40 C51 C50 S54 S34 C11 C10 S18 S16 S14 S12 S12 S36 C14 S2 S3 S4 C49 S73 C64 S85 S78,crease,11,7.743,0.019257,17.207,47.44
GND,1,577.319,310,54 37 54 37 54 53 54 53 52 53 52 34 52 34 16 34 16 15 16 15 14 15 14 13 14 13 12 13 12 11 12 11 10 11 10 11 37 19 37 19 1 19 1 2 3 4 52 51 52 51 69 68 69 68 73 60 73 60 73,S40 S40 C51 C50 S54 S34 C11 C10 S18 S16 S14 S12 S12 S36 C14 S2 S3 S4 C49 S73 C64 S85 S78,crease,10,3.968,0.009868,28.357,59.099
