net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,27.026,14,0,,,,,,,
V5,1,96.763,54,0,,,,,,,
USB_DM,1,46.89,22,0,,,,,,,
USB_DP,1,23.312,4,0,,,,,,,
DRV1,1,131.043,84,0 1 5,S0 S5,seam,0,90.0,0.223838,29.714,0.0
DRV1,1,131.043,84,0 1 5,S0 S5,seam,5,32.501,0.080833,-47.543,-32.762
LEDA1,1,18.446,10,5,,,,,,,
DRV2,1,117.437,71,0 2 6,S1 S7,seam,1,90.0,0.223838,35.81,88.381
DRV2,1,117.437,71,0 2 6,S1 S7,seam,7,32.501,0.080833,-47.543,124.191
LEDA2,1,18.693,10,6,,,,,,,
IO1,1,159.865,104,0 3 7,C0 C5,crease,0,90.0,0.223838,0.0,44.952
IO1,1,159.865,104,0 3 7,C0 C5,crease,5,90.0,0.223838,-85.333,44.964
GND,1,356.862,205,0 4 7 0 7 5 7 5 7 6 7 6 0,S2 C6 S10 S9,seam,2,90.0,0.223838,85.333,40.381
GND,1,356.862,205,0 4 7 0 7 5 7 5 7 6 7 6 0,S2 C6 S10 S9,crease,6,90.0,0.223838,-170.667,40.322
GND,1,356.862,205,0 4 7 0 7 5 7 5 7 6 7 6 0,S2 C6 S10 S9,seam,10,57.499,0.143005,-109.487,-13.836
GND,1,356.862,205,0 4 7 0 7 5 7 5 7 6 7 6 0,S2 C6 S10 S9,seam,9,57.499,0.143005,-111.125,104.787
