net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,141.69,75,6 3 6 3 7 5 7 5,C4 C5 S10,crease,4,90.0,0.223838,-74.257,71.362
VBUS,1,141.69,75,6 3 6 3 7 5 7 5,C4 C5 S10,crease,5,90.0,0.223838,-85.333,63.531
VBUS,1,141.69,75,6 3 6 3 7 5 7 5,C4 C5 S10,seam,10,57.499,0.143005,-118.493,-27.973
V5,1,222.027,115,5 1 5 1 5 1 5 1 4 7,S5 S5 S4 C6,seam,5,32.501,0.080833,-47.543,-83.048
V5,1,222.027,115,5 1 5 1 5 1 5 1 4 7,S5 S5 S4 C6,seam,5,32.501,0.080833,-47.543,-63.238
V5,1,222.027,115,5 1 5 1 5 1 5 1 4 7,S5 S5 S4 C6,seam,4,90.0,0.223838,-32.973,-85.333
V5,1,222.027,115,5 1 5 1 5 1 5 1 4 7,S5 S5 S4 C6,crease,6,90.0,0.223838,-170.667,57.342
USB_DM,1,71.375,33,6 7,S9,seam,9,57.499,0.143005,-98.843,85.51
USB_DP,1,78.563,35,6 7,S9,seam,9,57.499,0.143005,-93.112,76.514
DRV1,1,125.784,69,7 6 7 6 3 6 2 3 2,S9 C4 C2,seam,9,57.499,0.143005,-118.493,116.354
DRV1,1,125.784,69,7 6 7 6 3 6 2 3 2,S9 C4 C2,crease,4,90.0,0.223838,-48.194,87.966
DRV1,1,125.784,69,7 6 7 6 3 6 2 3 2,S9 C4 C2,crease,2,90.0,0.223838,-46.776,88.381
LEDA1,1,168.093,86,2 3 0 3 0 4,C2 C0 S2,crease,2,90.0,0.223838,-9.969,88.381
LEDA1,1,168.093,86,2 3 0 3 0 4,C2 C0 S2,crease,0,90.0,0.223838,0.0,87.619
LEDA1,1,168.093,86,2 3 0 3 0 4,C2 C0 S2,seam,2,90.0,0.223838,85.333,3.81
DRV2,1,133.217,73,7 4 7 4 5 3 5 3,C6 S6 C3,crease,6,90.0,0.223838,-170.667,37.228
DRV2,1,133.217,73,7 4 7 4 5 3 5 3,C6 S6 C3,seam,6,90.0,0.223838,-180.44,17.85
DRV2,1,133.217,73,7 4 7 4 5 3 5 3,C6 S6 C3,crease,3,90.0,0.223838,-82.076,22.001
LEDA2,1,93.271,55,3 0 3 0,C0,crease,0,90.0,0.223838,0.0,5.333
IO1,1,47.517,23,7 4 7 4 5,C6 S6,crease,6,90.0,0.223838,-170.667,34.133
IO1,1,47.517,23,7 4 7 4 5,C6 S6,seam,6,90.0,0.223838,-185.653,14.529
DRV3,1,35.157,17,7 4 7 4 7,C6 C6,crease,6,90.0,0.223838,-170.667,31.039
DRV3,1,35.157,17,7 4 7 4 7,C6 C6,crease,6,90.0,0.223838,-170.667,51.153
LEDA3,1,319.326,165,7 4 7 4 1 4 1 0 1 0 3 6,C6 S4 S0 C0 C4,crease,6,90.0,0.223838,-170.667,54.248
LEDA3,1,319.326,165,7 4 7 4 1 4 1 0 1 0 3 6,C6 S4 S0 C0 C4,seam,4,90.0,0.223838,-29.906,-85.333
LEDA3,1,319.326,165,7 4 7 4 1 4 1 0 1 0 3 6,C6 S4 S0 C0 C4,seam,0,90.0,0.223838,14.476,0.0
LEDA3,1,319.326,165,7 4 7 4 1 4 1 0 1 0 3 6,C6 S4 S0 C0 C4,crease,0,90.0,0.223838,0.0,11.429
LEDA3,1,319.326,165,7 4 7 4 1 4 1 0 1 0 3 6,C6 S4 S0 C0 C4,crease,4,90.0,0.223838,-66.438,76.343
IO2,1,87.868,43,7 4 7 4 1 4 1,C6 S4,crease,6,90.0,0.223838,-170.667,24.85
IO2,1,87.868,43,7 4 7 4 1 4 1,C6 S4,seam,4,90.0,0.223838,-40.642,-85.333
IO3,1,105.082,55,7 4 7 4 1 4 1,C6 S4,crease,6,90.0,0.223838,-170.667,32.586
IO3,1,105.082,55,7 4 7 4 1 4 1,C6 S4,seam,4,90.0,0.223838,-37.574,-85.333
IO4,1,76.427,40,7 4 7 4 1 4 1,C6 S4,crease,6,90.0,0.223838,-170.667,29.492
IO4,1,76.427,40,7 4 7 4 1 4 1,C6 S4,seam,4,90.0,0.223838,-39.108,-85.333
SWSIG,1,140.491,80,7 6 7 6 3 6 3 2 3 2,S9 C4 C2,seam,9,57.499,0.143005,-104.574,94.506
SWSIG,1,140.491,80,7 6 7 6 3 6 3 2 3 2,S9 C4 C2,crease,4,90.0,0.223838,-50.801,86.306
SWSIG,1,140.491,80,7 6 7 6 3 6 3 2 3 2,S9 C4 C2,crease,2,90.0,0.223838,-43.709,88.381
SWPU,1,469.98,262,2 4 0 4 0 3 6 7,S3 S2 C0 C4 S9,seam,3,90.0,0.223838,-46.776,173.714
SWPU,1,469.98,262,2 4 0 4 0 3 6 7,S3 S2 C0 C4 S9,seam,2,90.0,0.223838,85.333,0.762
SWPU,1,469.98,262,2 4 0 4 0 3 6 7,S3 S2 C0 C4 S9,crease,0,90.0,0.223838,0.0,16.0
SWPU,1,469.98,262,2 4 0 4 0 3 6 7,S3 S2 C0 C4 S9,crease,4,90.0,0.223838,-63.832,78.003
SWPU,1,469.98,262,2 4 0 4 0 3 6 7,S3 S2 C0 C4 S9,seam,9,57.499,0.143005,-102.118,90.65
GND,1,765.844,393,6 3 6 3 0 3 0 3 1 3 1 5 1 5 1 5 4 5 4 1 4 1 5 1 4 1 4 7 4 0 4 0 2 3 6,C4 C0 C1 S5 S5 S6 S4 S4 S4 C6 S2 S1 C2 C4,crease,4,90.0,0.223838,-79.469,68.041
GND,1,765.844,393,6 3 6 3 0 3 0 3 1 3 1 5 1 5 1 5 4 5 4 1 4 1 5 1 4 1 4 7 4 0 4 0 2 3 6,C4 C0 C1 S5 S5 S6 S4 S4 S4 C6 S2 S1 C2 C4,crease,0,90.0,0.223838,0.0,2.286
GND,1,765.844,393,6 3 6 3 0 3 0 3 1 3 1 5 1 5 1 5 4 5 4 1 4 1 5 1 4 1 4 7 4 0 4 0 2 3 6,C4 C0 C1 S5 S5 S6 S4 S4 S4 C6 S2 S1 C2 C4,crease,1,90.0,0.223838,-0.767,0.0
GND,1,765.844,393,6 3 6 3 0 3 0 3 1 3 1 5 1 5 1 5 4 5 4 1 4 1 5 1 4 1 4 7 4 0 4 0 2 3 6,C4 C0 C1 S5 S5 S6 S4 S4 S4 C6 S2 S1 C2 C4,seam,5,32.501,0.080833,-47.543,-54.095
GND,1,765.844,393,6 3 6 3 0 3 0 3 1 3 1 5 1 5 1 5 4 5 4 1 4 1 5 1 4 1 4 7 4 0 4 0 2 3 6,C4 C0 C1 S5 S5 S6 S4 S4 S4 C6 S2 S1 C2 C4,seam,5,32.501,0.080833,-47.543,-75.429
GND,1,765.844,393,6 3 6 3 0 3 0 3 1 3 1 5 1 5 1 5 4 5 4 1 4 1 5 1 4 1 4 7 4 0 4 0 2 3 6,C4 C0 C1 S5 S5 S6 S4 S4 S4 C6 S2 S1 C2 C4,seam,6,90.0,0.223838,-206.503,1.245
GND,1,765.844,393,6 3 6 3 0 3 0 3 1 3 1 5 1 5 1 5 4 5 4 1 4 1 5 1 4 1 4 7 4 0 4 0 2 3 6,C4 C0 C1 S5 S5 S6 S4 S4 S4 C6 S2 S1 C2 C4,seam,4,90.0,0.223838,-43.709,-85.333
GND,1,765.844,393,6 3 6 3 0 3 0 3 1 3 1 5 1 5 1 5 4 5 4 1 4 1 5 1 4 1 4 7 4 0 4 0 2 3 6,C4 C0 C1 S5 S5 S6 S4 S4 S4 C6 S2 S1 C2 C4,seam,4,90.0,0.223838,-5.368,-85.333
GND,1,765.844,393,6 3 6 3 0 3 0 3 1 3 1 5 1 5 1 5 4 5 4 1 4 1 5 1 4 1 4 7 4 0 4 0 2 3 6,C4 C0 C1 S5 S5 S6 S4 S4 S4 C6 S2 S1 C2 C4,seam,4,90.0,0.223838,-23.771,-85.333
GND,1,765.844,393,6 3 6 3 0 3 0 3 1 3 1 5 1 5 1 5 4 5 4 1 4 1 5 1 4 1 4 7 4 0 4 0 2 3 6,C4 C0 C1 S5 S5 S6 S4 S4 S4 C6 S2 S1 C2 C4,crease,6,90.0,0.223838,-170.667,60.437
GND,1,765.844,393,6 3 6 3 0 3 0 3 1 3 1 5 1 5 1 5 4 5 4 1 4 1 5 1 4 1 4 7 4 0 4 0 2 3 6,C4 C0 C1 S5 S5 S6 S4 S4 S4 C6 S2 S1 C2 C4,seam,2,90.0,0.223838,85.333,44.952
GND,1,765.844,393,6 3 6 3 0 3 0 3 1 3 1 5 1 5 1 5 4 5 4 1 4 1 5 1 4 1 4 7 4 0 4 0 2 3 6,C4 C0 C1 S5 S5 S6 S4 S4 S4 C6 S2 S1 C2 C4,seam,1,90.0,0.223838,41.905,88.381
GND,1,765.844,393,6 3 6 3 0 3 0 3 1 3 1 5 1 5 1 5 4 5 4 1 4 1 5 1 4 1 4 7 4 0 4 0 2 3 6,C4 C0 C1 S5 S5 S6 S4 S4 S4 C6 S2 S1 C2 C4,crease,2,90.0,0.223838,-37.574,88.381
GND,1,765.844,393,6 3 6 3 0 3 0 3 1 3 1 5 1 5 1 5 4 5 4 1 4 1 5 1 4 1 4 7 4 0 4 0 2 3 6,C4 C0 C1 S5 S5 S6 S4 S4 S4 C6 S2 S1 C2 C4,crease,4,90.0,0.223838,-58.619,81.324
