net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,100.728,51,6 7 5 7 5,S9 S10,seam,9,57.499,0.143005,-102.118,90.65
VBUS,1,100.728,51,6 7 5 7 5,S9 S10,seam,10,57.499,0.143005,-118.493,-27.973
V5,1,235.208,130,5 1 5 1 5 1 5 1 4 7,S5 S5 S4 C6,seam,5,32.501,0.080833,-47.543,-83.048
V5,1,235.208,130,5 1 5 1 5 1 5 1 4 7,S5 S5 S4 C6,seam,5,32.501,0.080833,-47.543,-63.238
V5,1,235.208,130,5 1 5 1 5 1 5 1 4 7,S5 S5 S4 C6,seam,4,90.0,0.223838,-32.973,-85.333
V5,1,235.208,130,5 1 5 1 5 1 5 1 4 7,S5 S5 S4 C6,crease,6,90.0,0.223838,-170.667,57.342
USB_DM,1,71.375,33,6 7,S9,seam,9,57.499,0.143005,-98.843,85.51
USB_DP,1,78.563,35,6 7,S9,seam,9,57.499,0.143005,-93.112,76.514
DRV1,1,119.25,66,7 6 7 6 2 6 2,S9 S7,seam,9,57.499,0.143005,-118.493,116.354
DRV1,1,119.25,66,7 6 7 6 2 6 2,S9 S7,seam,7,32.501,0.080833,-47.543,92.191
LEDA1,1,189.332,113,2 4,S3,seam,3,90.0,0.223838,-22.238,173.714
DRV2,1,133.903,74,7 5 7 5 3 5 3,S10 C3,seam,10,57.499,0.143005,-130.775,-47.25
DRV2,1,133.903,74,7 5 7 5 3 5 3,S10 C3,crease,3,90.0,0.223838,-82.076,22.001
LEDA2,1,93.271,55,3 0 3 0,C0,crease,0,90.0,0.223838,0.0,5.333
IO1,1,47.331,22,7 4 7 4 5,C6 S6,crease,6,90.0,0.223838,-170.667,32.586
IO1,1,47.331,22,7 4 7 4 5,C6 S6,seam,6,90.0,0.223838,-185.653,14.529
DRV3,1,33.914,17,7 4 7 4 7,C6 C6,crease,6,90.0,0.223838,-170.667,31.039
DRV3,1,33.914,17,7 4 7 4 7,C6 C6,crease,6,90.0,0.223838,-170.667,51.153
LEDA3,1,336.977,184,7 4 7 4 0 4 0 3 6,C6 S2 C0 C4,crease,6,90.0,0.223838,-170.667,54.248
LEDA3,1,336.977,184,7 4 7 4 0 4 0 3 6,C6 S2 C0 C4,seam,2,90.0,0.223838,85.333,0.762
LEDA3,1,336.977,184,7 4 7 4 0 4 0 3 6,C6 S2 C0 C4,crease,0,90.0,0.223838,0.0,11.429
LEDA3,1,336.977,184,7 4 7 4 0 4 0 3 6,C6 S2 C0 C4,crease,4,90.0,0.223838,-66.438,76.343
IO2,1,85.809,43,7 4 7 4 1 4 1,C6 S4,crease,6,90.0,0.223838,-170.667,26.397
IO2,1,85.809,43,7 4 7 4 1 4 1,C6 S4,seam,4,90.0,0.223838,-40.642,-85.333
IO3,1,104.751,55,7 4 7 4 1 4 1,C6 S4,crease,6,90.0,0.223838,-170.667,29.492
IO3,1,104.751,55,7 4 7 4 1 4 1,C6 S4,seam,4,90.0,0.223838,-37.574,-85.333
IO4,1,75.296,40,7 4 7 4 1 4 1,C6 S4,crease,6,90.0,0.223838,-170.667,27.944
IO4,1,75.296,40,7 4 7 4 1 4 1,C6 S4,seam,4,90.0,0.223838,-39.108,-85.333
SWSIG,1,107.431,62,7 6 7 6 2 6 2,S9 S7,seam,9,57.499,0.143005,-106.212,97.076
SWSIG,1,107.431,62,7 6 7 6 2 6 2,S9 S7,seam,7,32.501,0.080833,-47.543,102.857
SWPU,1,107.985,59,2 6 7,S7 S9,seam,7,32.501,0.080833,-47.543,99.81
