net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,102.821,51,6 7 5 7 5,S9 S10,seam,9,57.499,0.143005,-96.387,81.654
VBUS,1,102.821,51,6 7 5 7 5,S9 S10,seam,10,57.499,0.143005,-118.493,-27.973
V5,1,407.969,231,5 1 5 1 5 3 5 3 0 3 0 4 7,S5 C3 C0 S2 C6,seam,5,32.501,0.080833,-47.543,-83.048
V5,1,407.969,231,5 1 5 1 5 3 5 3 0 3 0 4 7,S5 C3 C0 S2 C6,crease,3,90.0,0.223838,-48.194,0.415
V5,1,407.969,231,5 1 5 1 5 3 5 3 0 3 0 4 7,S5 C3 C0 S2 C6,crease,0,90.0,0.223838,0.0,0.762
V5,1,407.969,231,5 1 5 1 5 3 5 3 0 3 0 4 7,S5 C3 C0 S2 C6,seam,2,90.0,0.223838,85.333,0.762
V5,1,407.969,231,5 1 5 1 5 3 5 3 0 3 0 4 7,S5 C3 C0 S2 C6,crease,6,90.0,0.223838,-170.667,54.248
USB_DM,1,77.099,36,6 7,S9,seam,9,57.499,0.143005,-93.93,77.799
USB_DP,1,89.71,41,6 7,S9,seam,9,57.499,0.143005,-92.293,75.229
DRV1,1,119.25,66,7 6 7 6 2 6 2,S9 S7,seam,9,57.499,0.143005,-118.493,116.354
DRV1,1,119.25,66,7 6 7 6 2 6 2,S9 S7,seam,7,32.501,0.080833,-47.543,92.191
LEDA1,1,189.332,113,2 4,S3,seam,3,90.0,0.223838,-22.238,173.714
DRV2,1,133.903,74,7 5 7 5 3 5 3,S10 C3,seam,10,57.499,0.143005,-130.775,-47.25
DRV2,1,133.903,74,7 5 7 5 3 5 3,S10 C3,crease,3,90.0,0.223838,-82.076,22.001
LEDA2,1,93.271,55,3 0 3 0,C0,crease,0,90.0,0.223838,0.0,5.333
IO1,1,47.331,22,7 4 7 4 5,C6 S6,crease,6,90.0,0.223838,-170.667,32.586
IO1,1,47.331,22,7 4 7 4 5,C6 S6,seam,6,90.0,0.223838,-185.653,14.529
DRV3,1,29.671,15,7,,,,,,,
LEDA3,1,66.233,37,7 6 7 6,S9,seam,9,57.499,0.143005,-98.843,85.51
IO2,1,85.809,43,7 4 7 4 1 4 1,C6 S4,crease,6,90.0,0.223838,-170.667,26.397
IO2,1,85.809,43,7 4 7 4 1 4 1,C6 S4,seam,4,90.0,0.223838,-40.642,-85.333
IO3,1,105.353,55,7 4 7 4 1 4 1,C6 S4,crease,6,90.0,0.223838,-170.667,31.039
IO3,1,105.353,55,7 4 7 4 1 4 1,C6 S4,seam,4,90.0,0.223838,-37.574,-85.333
IO4,1,75.296,40,7 4 7 4 1 4 1,C6 S4,crease,6,90.0,0.223838,-170.667,27.944
IO4,1,75.296,40,7 4 7 4 1 4 1,C6 S4,seam,4,90.0,0.223838,-39.108,-85.333
SWSIG,1,153.046,85,7 6 7 6 2 6 2,S9 S7,seam,9,57.499,0.143005,-95.568,80.369
SWSIG,1,153.046,85,7 6 7 6 2 6 2,S9 S7,seam,7,32.501,0.080833,-47.543,89.143
SWPU,1,115.599,59,2 6 7,S7 S9,seam,7,32.501,0.080833,-47.543,99.81
SWPU,1,115.599,59,2 6 7,S7 S9,seam,9,57.499,0.143005,-97.206,82.94
GND,1,634.395,335,6 3 6 3 0 3 0 4 6 4 1 4 1 5 1 5 1 5 6 2 6 2 6 7,C4 C0 S2 S8 S4 S5 S5 S7 S9,crease,4,90.0,0.223838,-78.166,68.871
GND,1,634.395,335,6 3 6 3 0 3 0 4 6 4 1 4 1 5 1 5 1 5 6 2 6 2 6 7,C4 C0 S2 S8 S4 S5 S5 S7 S9,crease,0,90.0,0.223838,0.0,11.429
GND,1,634.395,335,6 3 6 3 0 3 0 4 6 4 1 4 1 5 1 5 1 5 6 2 6 2 6 7,C4 C0 S2 S8 S4 S5 S5 S7 S9,seam,2,90.0,0.223838,85.333,8.381
GND,1,634.395,335,6 3 6 3 0 3 0 4 6 4 1 4 1 5 1 5 1 5 6 2 6 2 6 7,C4 C0 S2 S8 S4 S5 S5 S7 S9,seam,8,90.0,0.223838,-196.078,80.494
GND,1,634.395,335,6 3 6 3 0 3 0 4 6 4 1 4 1 5 1 5 1 5 6 2 6 2 6 7,C4 C0 S2 S8 S4 S5 S5 S7 S9,seam,4,90.0,0.223838,-5.368,-85.333
GND,1,634.395,335,6 3 6 3 0 3 0 4 6 4 1 4 1 5 1 5 1 5 6 2 6 2 6 7,C4 C0 S2 S8 S4 S5 S5 S7 S9,seam,5,32.501,0.080833,-47.543,-63.238
GND,1,634.395,335,6 3 6 3 0 3 0 4 6 4 1 4 1 5 1 5 1 5 6 2 6 2 6 7,C4 C0 S2 S8 S4 S5 S5 S7 S9,seam,5,32.501,0.080833,-47.543,-75.429
GND,1,634.395,335,6 3 6 3 0 3 0 4 6 4 1 4 1 5 1 5 1 5 6 2 6 2 6 7,C4 C0 S2 S8 S4 S5 S5 S7 S9,seam,7,32.501,0.080833,-47.543,121.143
GND,1,634.395,335,6 3 6 3 0 3 0 4 6 4 1 4 1 5 1 5 1 5 6 2 6 2 6 7,C4 C0 S2 S8 S4 S5 S5 S7 S9,seam,9,57.499,0.143005,-112.762,107.357
