net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,190.421,101,23 36 49 48 49 48 53 43 53 43 30 43 30,S35 C45 S52 C49 S60 C41,seam,35,26.193,0.065145,-105.153,226.125
VBUS,1,190.421,101,23 36 49 48 49 48 53 43 53 43 30 43 30,S35 C45 S52 C49 S60 C41,crease,45,58.418,0.14529,-186.371,-72.723
VBUS,1,190.421,101,23 36 49 48 49 48 53 43 53 43 30 43 30,S35 C45 S52 C49 S60 C41,seam,52,4.908,0.012206,-176.569,-62.123
VBUS,1,190.421,101,23 36 49 48 49 48 53 43 53 43 30 43 30,S35 C45 S52 C49 S60 C41,crease,49,18.902,0.04701,-171.635,-59.036
VBUS,1,190.421,101,23 36 49 48 49 48 53 43 53 43 30 43 30,S35 C45 S52 C49 S60 C41,seam,60,18.486,0.045976,-90.312,5.001
VBUS,1,190.421,101,23 36 49 48 49 48 53 43 53 43 30 43 30,S35 C45 S52 C49 S60 C41,crease,41,58.418,0.14529,-72.785,13.058
V5,1,277.774,146,30 31 44 53 48 53 48 49 36 49 36 30 17 30 17 18 5 18 5 0 5 0,C31 C42 S61 C49 S52 C45 C29 C16 C15 S6,crease,31,14.91,0.037084,-72.776,17.64
V5,1,277.774,146,30 31 44 53 48 53 48 49 36 49 36 30 17 30 17 18 5 18 5 0 5 0,C31 C42 S61 C49 S52 C45 C29 C16 C15 S6,crease,42,58.301,0.145,-77.039,19.541
V5,1,277.774,146,30 31 44 53 48 53 48 49 36 49 36 30 17 30 17 18 5 18 5 0 5 0,C31 C42 S61 C49 S52 C45 C29 C16 C15 S6,seam,61,18.902,0.04701,-99.576,19.052
V5,1,277.774,146,30 31 44 53 48 53 48 49 36 49 36 30 17 30 17 18 5 18 5 0 5 0,C31 C42 S61 C49 S52 C45 C29 C16 C15 S6,crease,49,18.902,0.04701,-172.665,-54.186
V5,1,277.774,146,30 31 44 53 48 53 48 49 36 49 36 30 17 30 17 18 5 18 5 0 5 0,C31 C42 S61 C49 S52 C45 C29 C16 C15 S6,seam,52,4.908,0.012206,-183.863,-65.378
V5,1,277.774,146,30 31 44 53 48 53 48 49 36 49 36 30 17 30 17 18 5 18 5 0 5 0,C31 C42 S61 C49 S52 C45 C29 C16 C15 S6,crease,45,58.418,0.14529,-188.503,-68.589
V5,1,277.774,146,30 31 44 53 48 53 48 49 36 49 36 30 17 30 17 18 5 18 5 0 5 0,C31 C42 S61 C49 S52 C45 C29 C16 C15 S6,crease,29,26.193,0.065145,-60.84,24.244
V5,1,277.774,146,30 31 44 53 48 53 48 49 36 49 36 30 17 30 17 18 5 18 5 0 5 0,C31 C42 S61 C49 S52 C45 C29 C16 C15 S6,crease,16,14.91,0.037084,-56.422,27.773
V5,1,277.774,146,30 31 44 53 48 53 48 49 36 49 36 30 17 30 17 18 5 18 5 0 5 0,C31 C42 S61 C49 S52 C45 C29 C16 C15 S6,crease,15,58.301,0.145,-49.314,36.558
V5,1,277.774,146,30 31 44 53 48 53 48 49 36 49 36 30 17 30 17 18 5 18 5 0 5 0,C31 C42 S61 C49 S52 C45 C29 C16 C15 S6,seam,6,18.902,0.04701,-19.814,41.772
USB_DM,1,143.884,73,23 10 23 10 9 10 9 0 9 0,S23 S13 C5,seam,23,58.418,0.14529,99.119,60.553
USB_DM,1,143.884,73,23 10 23 10 9 10 9 0 9 0,S23 S13 C5,seam,13,4.908,0.012206,85.996,73.792
USB_DM,1,143.884,73,23 10 23 10 9 10 9 0 9 0,S23 S13 C5,crease,5,18.902,0.04701,72.62,68.724
USB_DP,1,129.591,64,23 22 23 22 9 22 9 0 9 0,C22 S22 C5,crease,22,14.91,0.037084,-97.552,208.32
USB_DP,1,129.591,64,23 22 23 22 9 22 9 0 9 0,C22 S22 C5,seam,22,58.301,0.145,88.186,79.489
USB_DP,1,129.591,64,23 22 23 22 9 22 9 0 9 0,C22 S22 C5,crease,5,18.902,0.04701,69.266,72.375
DRV1,1,140.263,90,0 12 25 24 25 24,C8 S26 C23,crease,8,18.375,0.045702,81.755,37.309
DRV1,1,140.263,90,0 12 25 24 25 24,C8 S26 C23,seam,26,58.446,0.145362,101.504,37.056
DRV1,1,140.263,90,0 12 25 24 25 24,C8 S26 C23,crease,23,21.693,0.053952,77.948,-127.231
LEDA1,1,174.28,88,24 37 50 53 42 53 42 29 42 29,S37 C46 C51 C47 C40,seam,37,26.691,0.066383,84.061,-133.196
LEDA1,1,174.28,88,24 37 50 53 42 53 42 29 42 29,S37 C46 C51 C47 C40,crease,46,58.502,0.145501,-171.799,-92.791
LEDA1,1,174.28,88,24 37 50 53 42 53 42 29 42 29,S37 C46 C51 C47 C40,crease,51,18.152,0.045146,-155.906,-81.062
LEDA1,1,174.28,88,24 37 50 53 42 53 42 29 42 29,S37 C46 C51 C47 C40,crease,47,18.152,0.045146,-75.608,-21.609
LEDA1,1,174.28,88,24 37 50 53 42 53 42 29 42 29,S37 C46 C51 C47 C40,crease,40,58.502,0.145501,-60.462,-8.452
DRV2,1,51.219,23,0 3 16,C2 C12,crease,2,18.152,0.045146,-18.019,21.801
DRV2,1,51.219,23,0 3 16,C2 C12,crease,12,58.502,0.145501,-33.356,9.016
LEDA2,1,203.911,112,16 29 30 43 53 49 53 49 36 49 36 37,C27 C30 C41 S60 C50 C45 S38,crease,27,26.691,0.066383,-48.573,3.509
LEDA2,1,203.911,112,16 29 30 43 53 49 53 49 36 49 36 37,C27 C30 C41 S60 C50 C45 S38,crease,30,17.979,0.044716,-60.149,3.196
LEDA2,1,203.911,112,16 29 30 43 53 49 53 49 36 49 36 37,C27 C30 C41 S60 C50 C45 S38,crease,41,58.418,0.14529,-66.297,2.487
LEDA2,1,203.911,112,16 29 30 43 53 49 53 49 36 49 36 37,C27 C30 C41 S60 C50 C45 S38,seam,60,18.486,0.045976,-85.531,-2.788
LEDA2,1,203.911,112,16 29 30 43 53 49 53 49 36 49 36 37,C27 C30 C41 S60 C50 C45 S38,crease,50,18.486,0.045976,-170.416,-61.875
LEDA2,1,203.911,112,16 29 30 43 53 49 53 49 36 49 36 37,C27 C30 C41 S60 C50 C45 S38,crease,45,58.418,0.14529,-184.239,-76.857
LEDA2,1,203.911,112,16 29 30 43 53 49 53 49 36 49 36 37,C27 C30 C41 S60 C50 C45 S38,seam,38,17.979,0.044716,-183.799,-86.454
IO1,1,76.981,40,0 4 17 30 43,S4 C14 C29 C41,seam,4,18.486,0.045976,-18.718,24.736
IO1,1,76.981,40,0 4 17 30 43,S4 C14 C29 C41,crease,14,58.418,0.14529,-45.458,29.83
IO1,1,76.981,40,0 4 17 30 43,S4 C14 C29 C41,crease,29,26.193,0.065145,-57.688,19.108
IO1,1,76.981,40,0 4 17 30 43,S4 C14 C29 C41,crease,41,58.418,0.14529,-71.163,10.415
DRV3,1,221.332,117,0 3 16 29 42 53 49 53 49,C2 C12 C27 C40 C47 C50,crease,2,18.152,0.045146,-15.226,16.386
DRV3,1,221.332,117,0 3 16 29 42 53 49 53 49,C2 C12 C27 C40 C47 C50,crease,12,58.502,0.145501,-29.803,2.126
DRV3,1,221.332,117,0 3 16 29 42 53 49 53 49,C2 C12 C27 C40 C47 C50,crease,27,26.691,0.066383,-43.74,-5.863
DRV3,1,221.332,117,0 3 16 29 42 53 49 53 49,C2 C12 C27 C40 C47 C50,crease,40,58.502,0.145501,-61.883,-5.696
DRV3,1,221.332,117,0 3 16 29 42 53 49 53 49,C2 C12 C27 C40 C47 C50,crease,47,18.152,0.045146,-81.193,-10.779
DRV3,1,221.332,117,0 3 16 29 42 53 49 53 49,C2 C12 C27 C40 C47 C50,crease,50,18.486,0.045976,-166.926,-68.644
LEDA3,1,230.617,131,49 50 37 50 37 24 37 24 23 24 23 22 23 9 22 9 0 9 0 4,S53 C46 S37 S25 C22 S22 C5 S4,seam,53,5.792,0.014406,-175.086,-80.141
LEDA3,1,230.617,131,49 50 37 50 37 24 37 24 23 24 23 22 23 9 22 9 0 9 0 4,S53 C46 S37 S25 C22 S22 C5 S4,crease,46,58.502,0.145501,-178.463,-86.3
LEDA3,1,230.617,131,49 50 37 50 37 24 37 24 23 24 23 22 23 9 22 9 0 9 0 4,S53 C46 S37 S25 C22 S22 C5 S4,seam,37,26.691,0.066383,88.054,-135.313
LEDA3,1,230.617,131,49 50 37 50 37 24 37 24 23 24 23 22 23 9 22 9 0 9 0 4,S53 C46 S37 S25 C22 S22 C5 S4,seam,25,17.979,0.044716,-94.637,227.127
LEDA3,1,230.617,131,49 50 37 50 37 24 37 24 23 24 23 22 23 9 22 9 0 9 0 4,S53 C46 S37 S25 C22 S22 C5 S4,crease,22,14.91,0.037084,-91.15,207.94
LEDA3,1,230.617,131,49 50 37 50 37 24 37 24 23 24 23 22 23 9 22 9 0 9 0 4,S53 C46 S37 S25 C22 S22 C5 S4,seam,22,58.301,0.145,90.288,77.202
LEDA3,1,230.617,131,49 50 37 50 37 24 37 24 23 24 23 22 23 9 22 9 0 9 0 4,S53 C46 S37 S25 C22 S22 C5 S4,crease,5,18.902,0.04701,67.029,74.809
LEDA3,1,230.617,131,49 50 37 50 37 24 37 24 23 24 23 22 23 9 22 9 0 9 0 4,S53 C46 S37 S25 C22 S22 C5 S4,seam,4,18.486,0.045976,-20.351,35.272
