net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,208.981,115,23 36 49 48 49 48 53 43 53 43 30 43 30,S35 C45 S52 C49 S60 C41,seam,35,26.193,0.065145,-105.153,226.125
VBUS,1,208.981,115,23 36 49 48 49 48 53 43 53 43 30 43 30,S35 C45 S52 C49 S60 C41,crease,45,58.418,0.14529,-188.503,-68.589
VBUS,1,208.981,115,23 36 49 48 49 48 53 43 53 43 30 43 30,S35 C45 S52 C49 S60 C41,seam,52,4.908,0.012206,-180.945,-64.076
VBUS,1,208.981,115,23 36 49 48 49 48 53 43 53 43 30 43 30,S35 C45 S52 C49 S60 C41,crease,49,18.902,0.04701,-171.635,-59.036
VBUS,1,208.981,115,23 36 49 48 49 48 53 43 53 43 30 43 30,S35 C45 S52 C49 S60 C41,seam,60,18.486,0.045976,-85.531,-2.788
VBUS,1,208.981,115,23 36 49 48 49 48 53 43 53 43 30 43 30,S35 C45 S52 C49 S60 C41,crease,41,58.418,0.14529,-66.297,2.487
V5,1,334.087,173,30 31 32 33 34 35 36 33 20 33 20 7 20 7 0 7 0,C31 C32 C33 C34 C35 S36 S32 S20 S10,crease,31,14.91,0.037084,-70.061,19.345
V5,1,334.087,173,30 31 32 33 34 35 36 33 20 33 20 7 20 7 0 7 0,C31 C32 C33 C34 C35 S36 S32 S20 S10,crease,32,0.081,0.0002,-83.145,35.248
V5,1,334.087,173,30 31 32 33 34 35 36 33 20 33 20 7 20 7 0 7 0,C31 C32 C33 C34 C35 S36 S32 S20 S10,crease,33,64.038,0.159267,-97.357,49.958
V5,1,334.087,173,30 31 32 33 34 35 36 33 20 33 20 7 20 7 0 7 0,C31 C32 C33 C34 C35 S36 S32 S20 S10,crease,34,64.038,0.159267,-172.98,119.184
V5,1,334.087,173,30 31 32 33 34 35 36 33 20 33 20 7 20 7 0 7 0,C31 C32 C33 C34 C35 S36 S32 S20 S10,crease,35,0.081,0.0002,-188.37,133.977
V5,1,334.087,173,30 31 32 33 34 35 36 33 20 33 20 7 20 7 0 7 0,C31 C32 C33 C34 C35 S36 S32 S20 S10,seam,36,14.91,0.037084,-205.152,147.665
V5,1,334.087,173,30 31 32 33 34 35 36 33 20 33 20 7 20 7 0 7 0,C31 C32 C33 C34 C35 S36 S32 S20 S10,seam,32,19.452,0.04838,-90.404,99.723
V5,1,334.087,173,30 31 32 33 34 35 36 33 20 33 20 7 20 7 0 7 0,C31 C32 C33 C34 C35 S36 S32 S20 S10,seam,20,55.867,0.138946,-48.436,95.934
V5,1,334.087,173,30 31 32 33 34 35 36 33 20 33 20 7 20 7 0 7 0,C31 C32 C33 C34 C35 S36 S32 S20 S10,seam,10,24.407,0.060702,1.088,71.51
USB_DM,1,148.009,82,23 10 23 10 9 10 9 0 9 0,S23 S13 C5,seam,23,58.418,0.14529,94.855,68.821
USB_DM,1,148.009,82,23 10 23 10 9 10 9 0 9 0,S23 S13 C5,seam,13,4.908,0.012206,87.372,74.603
