net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,25.984,13,0,,,,,,,
V5,1,268.035,149,0 10 20 30 40 30 40 30 20 30 20 10 20 10 0 10 0,S2 S13 S21 S31 S31 S21 S13 S2,seam,2,24.32,0.060485,52.859,56.605
V5,1,268.035,149,0 10 20 30 40 30 40 30 20 30 20 10 20 10 0 10 0,S2 S13 S21 S31 S31 S21 S13 S2,seam,13,55.915,0.139067,99.863,-0.128
V5,1,268.035,149,0 10 20 30 40 30 40 30 20 30 20 10 20 10 0 10 0,S2 S13 S21 S31 S31 S21 S13 S2,seam,21,19.53,0.048573,110.655,-83.063
V5,1,268.035,149,0 10 20 30 40 30 40 30 20 30 20 10 20 10 0 10 0,S2 S13 S21 S31 S31 S21 S13 S2,seam,31,55.915,0.139067,75.499,-132.76
V5,1,268.035,149,0 10 20 30 40 30 40 30 20 30 20 10 20 10 0 10 0,S2 S13 S21 S31 S31 S21 S13 S2,seam,31,55.915,0.139067,59.98,-116.26
V5,1,268.035,149,0 10 20 30 40 30 40 30 20 30 20 10 20 10 0 10 0,S2 S13 S21 S31 S31 S21 S13 S2,seam,21,19.53,0.048573,88.65,-77.571
V5,1,268.035,149,0 10 20 30 40 30 40 30 20 30 20 10 20 10 0 10 0,S2 S13 S21 S31 S31 S21 S13 S2,seam,13,55.915,0.139067,79.139,-17.715
V5,1,268.035,149,0 10 20 30 40 30 40 30 20 30 20 10 20 10 0 10 0,S2 S13 S21 S31 S31 S21 S13 S2,seam,2,24.32,0.060485,45.733,30.14
USB_DM,1,32.711,13,0,,,,,,,
USB_DP,1,22.522,4,0,,,,,,,
DRV1,1,112.887,61,0 5 15 25 35 41,S6 S15 S24 S35 S47,seam,6,34.133,0.084892,-20.25,64.484
DRV1,1,112.887,61,0 5 15 25 35 41,S6 S15 S24 S35 S47,seam,15,49.322,0.122668,-76.242,39.802
DRV1,1,112.887,61,0 5 15 25 35 41,S6 S15 S24 S35 S47,seam,24,13.09,0.032557,-97.108,18.8
DRV1,1,112.887,61,0 5 15 25 35 41,S6 S15 S24 S35 S47,seam,35,49.322,0.122668,-109.175,-24.473
DRV1,1,112.887,61,0 5 15 25 35 41,S6 S15 S24 S35 S47,seam,47,34.133,0.084892,-106.616,-47.055
LEDA1,1,19.471,9,41,,,,,,,
DRV2,1,142.859,83,0 10 20 30 40,S2 S13 S21 S31,seam,2,24.32,0.060485,48.504,40.432
DRV2,1,142.859,83,0 10 20 30 40,S2 S13 S21 S31,seam,13,55.915,0.139067,88.35,-9.898
DRV2,1,142.859,83,0 10 20 30 40,S2 S13 S21 S31,seam,21,19.53,0.048573,97.452,-79.768
