net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,25.984,13,0,,,,,,,
V5,1,108.857,58,0,,,,,,,
USB_DM,1,32.711,13,0,,,,,,,
USB_DP,1,22.522,4,0,,,,,,,
DRV1,1,112.887,61,0 5 15 25 35 41,S6 S15 S24 S35 S47,seam,6,34.133,0.084892,-20.25,64.484
DRV1,1,112.887,61,0 5 15 25 35 41,S6 S15 S24 S35 S47,seam,15,49.322,0.122668,-76.242,39.802
DRV1,1,112.887,61,0 5 15 25 35 41,S6 S15 S24 S35 S47,seam,24,13.09,0.032557,-97.108,18.8
DRV1,1,112.887,61,0 5 15 25 35 41,S6 S15 S24 S35 S47,seam,35,49.322,0.122668,-109.175,-24.473
DRV1,1,112.887,61,0 5 15 25 35 41,S6 S15 S24 S35 S47,seam,47,34.133,0.084892,-106.616,-47.055
LEDA1,1,18.826,10,41,,,,,,,
DRV2,1,142.859,83,0 10 20 30 40,S2 S13 S21 S31,seam,2,24.32,0.060485,48.504,40.432
DRV2,1,142.859,83,0 10 20 30 40,S2 S13 S21 S31,seam,13,55.915,0.139067,88.35,-9.898
DRV2,1,142.859,83,0 10 20 30 40,S2 S13 S21 S31,seam,21,19.53,0.048573,97.452,-79.768
DRV2,1,142.859,83,0 10 20 30 40,S2 S13 S21 S31,seam,31,55.915,0.139067,66.188,-122.86
LEDA2,1,157.914,87,40 41 39 41 39 40,S44 C40 S42,seam,44,24.32,0.060485,-3.059,-135.413
LEDA2,1,157.914,87,40 41 39 41 39 40,S44 C40 S42,crease,40,20.305,0.0505,-74.882,-162.534
LEDA2,1,157.914,87,40 41 39 41 39 40,S44 C40 S42,seam,42,26.9,0.066903,-58.105,-172.34
IO1,1,213.931,125,0 10 20 30 40 39 40 39,S2 S13 S21 S31 S42,seam,2,24.32,0.060485,46.524,33.081
IO1,1,213.931,125,0 10 20 30 40 39 40 39,S2 S13 S21 S31 S42,seam,13,55.915,0.139067,82.593,-14.784
IO1,1,213.931,125,0 10 20 30 40 39 40 39,S2 S13 S21 S31 S42,seam,21,19.53,0.048573,91.584,-78.304
IO1,1,213.931,125,0 10 20 30 40 39 40 39,S2 S13 S21 S31 S42,seam,31,55.915,0.139067,62.049,-118.46
IO1,1,213.931,125,0 10 20 30 40 39 40 39,S2 S13 S21 S31 S42,seam,42,26.9,0.066903,-58.543,-169.296
GND,1,487.772,266,0 10 20 30 40 39 40 39 41 0 41 32 41 32 22 32 22 12 22 12 2 12 2 0 2 0,S2 S13 S21 S31 S42 C40 C37 C31 C20 C9 C0,seam,2,24.32,0.060485,49.296,43.372
GND,1,487.772,266,0 10 20 30 40 39 40 39 41 0 41 32 41 32 22 32 22 12 22 12 2 12 2 0 2 0,S2 S13 S21 S31 S42 C40 C37 C31 C20 C9 C0,seam,13,55.915,0.139067,91.804,-6.967
GND,1,487.772,266,0 10 20 30 40 39 40 39 41 0 41 32 41 32 22 32 22 12 22 12 2 12 2 0 2 0,S2 S13 S21 S31 S42 C40 C37 C31 C20 C9 C0,seam,21,19.53,0.048573,103.32,-81.232
GND,1,487.772,266,0 10 20 30 40 39 40 39 41 0 41 32 41 32 22 32 22 12 22 12 2 12 2 0 2 0,S2 S13 S21 S31 S42 C40 C37 C31 C20 C9 C0,seam,31,55.915,0.139067,70.326,-127.26
GND,1,487.772,266,0 10 20 30 40 39 40 39 41 0 41 32 41 32 22 32 22 12 22 12 2 12 2 0 2 0,S2 S13 S21 S31 S42 C40 C37 C31 C20 C9 C0,seam,42,26.9,0.066903,-57.666,-175.384
GND,1,487.772,266,0 10 20 30 40 39 40 39 41 0 41 32 41 32 22 32 22 12 22 12 2 12 2 0 2 0,S2 S13 S21 S31 S42 C40 C37 C31 C20 C9 C0,crease,40,20.305,0.0505,-84.761,-158.882
GND,1,487.772,266,0 10 20 30 40 39 40 39 41 0 41 32 41 32 22 32 22 12 22 12 2 12 2 0 2 0,S2 S13 S21 S31 S42 C40 C37 C31 C20 C9 C0,crease,37,21.094,0.052462,-41.423,-64.502
GND,1,487.772,266,0 10 20 30 40 39 40 39 41 0 41 32 41 32 22 32 22 12 22 12 2 12 2 0 2 0,S2 S13 S21 S31 S42 C40 C37 C31 C20 C9 C0,crease,31,57.507,0.143024,-33.131,-46.8
GND,1,487.772,266,0 10 20 30 40 39 40 39 41 0 41 32 41 32 22 32 22 12 22 12 2 12 2 0 2 0,S2 S13 S21 S31 S42 C40 C37 C31 C20 C9 C0,crease,20,22.8,0.056705,-24.96,-30.25
GND,1,487.772,266,0 10 20 30 40 39 40 39 41 0 41 32 41 32 22 32 22 12 22 12 2 12 2 0 2 0,S2 S13 S21 S31 S42 C40 C37 C31 C20 C9 C0,crease,9,57.507,0.143024,-17.406,-13.409
GND,1,487.772,266,0 10 20 30 40 39 40 39 41 0 41 32 41 32 22 32 22 12 22 12 2 12 2 0 2 0,S2 S13 S21 S31 S42 C40 C37 C31 C20 C9 C0,crease,0,21.094,0.052462,-10.432,4.913
