net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,158.28,96,27 17 27 17 16 17 16 6 16 6 0 6 0 2,S26 C16 S16 S7 C0,seam,26,15.259,0.037951,-143.828,58.064
VBUS,1,158.28,96,27 17 27 17 16 17 16 6 16 6 0 6 0 2,S26 C16 S16 S7 C0,crease,16,8.895,0.022122,-125.892,59.437
VBUS,1,158.28,96,27 17 27 17 16 17 16 6 16 6 0 6 0 2,S26 C16 S16 S7 C0,seam,16,50.431,0.125426,-84.052,79.144
VBUS,1,158.28,96,27 17 27 17 16 17 16 6 16 6 0 6 0 2,S26 C16 S16 S7 C0,seam,7,32.648,0.081198,-9.539,80.979
VBUS,1,158.28,96,27 17 27 17 16 17 16 6 16 6 0 6 0 2,S26 C16 S16 S7 C0,crease,0,21.094,0.052462,-9.041,4.258
V5,1,188.578,103,2 3 2 3 2 12 22 23 33 32 33 32 41,S4 S4 C9 C20 C23 C32 S33 C37,seam,4,20.407,0.050755,-16.218,-8.152
V5,1,188.578,103,2 3 2 3 2 12 22 23 33 32 33 32 41,S4 S4 C9 C20 C23 C32 S33 C37,seam,4,20.407,0.050755,-17.289,-10.971
V5,1,188.578,103,2 3 2 3 2 12 22 23 33 32 33 32 41,S4 S4 C9 C20 C23 C32 S33 C37,crease,9,57.507,0.143024,-17.406,-13.409
V5,1,188.578,103,2 3 2 3 2 12 22 23 33 32 33 32 41,S4 S4 C9 C20 C23 C32 S33 C37,crease,20,22.8,0.056705,-16.289,-34.333
V5,1,188.578,103,2 3 2 3 2 12 22 23 33 32 33 32 41,S4 S4 C9 C20 C23 C32 S33 C37,crease,23,43.341,0.107793,-32.123,-43.025
V5,1,188.578,103,2 3 2 3 2 12 22 23 33 32 33 32 41,S4 S4 C9 C20 C23 C32 S33 C37,crease,32,52.23,0.1299,-40.473,-44.364
V5,1,188.578,103,2 3 2 3 2 12 22 23 33 32 33 32 41,S4 S4 C9 C20 C23 C32 S33 C37,seam,33,20.407,0.050755,-42.391,-61.553
V5,1,188.578,103,2 3 2 3 2 12 22 23 33 32 33 32 41,S4 S4 C9 C20 C23 C32 S33 C37,crease,37,21.094,0.052462,-42.814,-63.847
USB_DM,1,100.462,55,27 26 27 26 36 41,C27 S36 S48,crease,27,8.895,0.022122,-158.389,-9.567
USB_DM,1,100.462,55,27 26 27 26 36 41,C27 S36 S48,seam,36,50.431,0.125426,-152.182,-16.058
