net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,159.348,95,27 17 27 17 7 17 7 0 7 0 2,S26 S17 S8 C0,seam,26,15.259,0.037951,-151.931,65.252
VBUS,1,159.348,95,27 17 27 17 7 17 7 0 7 0 2,S26 S17 S8 C0,seam,17,52.23,0.1299,-84.291,92.811
VBUS,1,159.348,95,27 17 27 17 7 17 7 0 7 0 2,S26 S17 S8 C0,seam,8,30.141,0.074963,-0.001,91.326
VBUS,1,159.348,95,27 17 27 17 7 17 7 0 7 0 2,S26 S17 S8 C0,crease,0,21.094,0.052462,-3.477,1.638
V5,1,168.807,88,2 12 13 23 33 32 33 32 41,C9 C12 S22 C32 S33 C37,crease,9,57.507,0.143024,-13.288,-15.349
V5,1,168.807,88,2 12 13 23 33 32 33 32 41,C9 C12 S22 C32 S33 C37,crease,12,43.341,0.107793,-23.469,-25.003
V5,1,168.807,88,2 12 13 23 33 32 33 32 41,C9 C12 S22 C32 S33 C37,seam,22,15.259,0.037951,-27.633,-28.651
V5,1,168.807,88,2 12 13 23 33 32 33 32 41,C9 C12 S22 C32 S33 C37,crease,32,52.23,0.1299,-41.952,-43.895
V5,1,168.807,88,2 12 13 23 33 32 33 32 41,C9 C12 S22 C32 S33 C37,seam,33,20.407,0.050755,-42.391,-61.553
V5,1,168.807,88,2 12 13 23 33 32 33 32 41,C9 C12 S22 C32 S33 C37,crease,37,21.094,0.052462,-42.814,-63.847
USB_DM,1,89.402,45,27 28 38 39 41,S28 C36 S41 C40,seam,28,43.341,0.107793,-186.35,5.569
USB_DM,1,89.402,45,27 28 38 39 41,S28 C36 S41 C40,crease,36,57.507,0.143024,-104.276,-172.856
USB_DM,1,89.402,45,27 28 38 39 41,S28 C36 S41 C40,seam,41,8.884,0.022095,-103.367,-172.709
USB_DM,1,89.402,45,27 28 38 39 41,S28 C36 S41 C40,crease,40,20.305,0.0505,-86.172,-158.36
USB_DP,1,126.362,70,27 26 27 26 36 41,C27 S36 S48,crease,27,8.895,0.022122,-158.519,-11.086
USB_DP,1,126.362,70,27 26 27 26 36 41,C27 S36 S48,seam,36,50.431,0.125426,-152.182,-16.058
USB_DP,1,126.362,70,27 26 27 26 36 41,C27 S36 S48,seam,48,32.648,0.081198,-128.617,-57.317
DRV1,1,68.377,36,41 38 41 38 28 38 28 18 28 18,C39 C36 S27,crease,39,21.094,0.052462,-102.015,-147.265
DRV1,1,68.377,36,41 38 41 38 28 38 28 18 28 18,C39 C36 S27,crease,36,57.507,0.143024,-114.91,-162.031
DRV1,1,68.377,36,41 38 41 38 28 38 28 18 28 18,C39 C36 S27,seam,27,22.8,0.056705,-161.839,75.312
LEDA1,1,191.985,116,18 8 18 8 0 8 0 2 12,S18 C6 C0 C9,seam,18,57.507,0.143024,19.337,123.031
LEDA1,1,191.985,116,18 8 18 8 0 8 0 2 12,S18 C6 C0 C9,crease,6,21.094,0.052462,19.231,103.42
LEDA1,1,191.985,116,18 8 18 8 0 8 0 2 12,S18 C6 C0 C9,crease,0,21.094,0.052462,-0.695,0.328
LEDA1,1,191.985,116,18 8 18 8 0 8 0 2 12,S18 C6 C0 C9,crease,9,57.507,0.143024,-6.423,-18.582
DRV2,1,133.422,66,41 37 41 37 41 32 41 32 22 32 22,C38 C38 C37 C31,crease,38,30.141,0.074963,-102.73,-131.678
DRV2,1,133.422,66,41 37 41 37 41 32 41 32 22 32 22,C38 C38 C37 C31,crease,38,30.141,0.074963,-102.786,-126.929
DRV2,1,133.422,66,41 37 41 37 41 32 41 32 22 32 22,C38 C38 C37 C31,crease,37,21.094,0.052462,-40.032,-65.157
DRV2,1,133.422,66,41 37 41 37 41 32 41 32 22 32 22,C38 C38 C37 C31,crease,31,57.507,0.143024,-31.758,-47.446
LEDA2,1,254.347,125,22 21 22 21 30 29 30 29 28 29 28,C21 C22 C28 S30,crease,21,24.696,0.06142,-16.112,-48.866
LEDA2,1,254.347,125,22 21 22 21 30 29 30 29 28 29 28,C21 C22 C28 S30,crease,22,73.401,0.182555,25.791,-78.791
LEDA2,1,254.347,125,22 21 22 21 30 29 30 29 28 29 28,C21 C22 C28 S30,crease,28,73.401,0.182555,107.955,-163.92
LEDA2,1,254.347,125,22 21 22 21 30 29 30 29 28 29 28,C21 C22 C28 S30,seam,30,24.696,0.06142,-114.539,-185.45
IO1,1,19.649,7,41 37 41 37,C38,crease,38,30.141,0.074963,-102.656,-138.01
DRV3,1,59.623,29,41 37 41 37 36 37 36 35 36 35,C38 S38 C35,crease,38,30.141,0.074963,-102.637,-139.593
DRV3,1,59.623,29,41 37 41 37 36 37 36 35 36 35,C38 S38 C35,seam,38,5.282,0.013138,-145.833,-62.404
DRV3,1,59.623,29,41 37 41 37 36 37 36 35 36 35,C38 S38 C35,crease,35,14.886,0.037024,-119.834,-46.036
LEDA3,1,52.328,27,35 25 35 25 15 25 15 5 15 5,S35 S24 S15,seam,35,49.322,0.122668,-113.641,-23.423
LEDA3,1,52.328,27,35 25 35 25 15 25 15 5 15 5,S35 S24 S15,seam,24,13.09,0.032557,-91.017,14.177
LEDA3,1,52.328,27,35 25 35 25 15 25 15 5 15 5,S35 S24 S15,seam,15,49.322,0.122668,-72.797,32.976
IO2,1,22.434,8,41 38 41 38,C39,crease,39,21.094,0.052462,-97.705,-151.652
IO3,1,53.106,26,41 38 41 38 28 38 28 38,C39 C36 C36,crease,39,21.094,0.052462,-94.473,-154.942
IO3,1,53.106,26,41 38 41 38 28 38 28 38,C39 C36 C36,crease,36,57.507,0.143024,-106.403,-170.691
IO3,1,53.106,26,41 38 41 38 28 38 28 38,C39 C36 C36,crease,36,57.507,0.143024,-111.72,-165.278
IO4,1,23.903,11,41 38 41 38,C39,crease,39,21.094,0.052462,-100.937,-148.361
SWSIG,1,162.597,90,41 33 41 33 23 33 23 13 23 13 3 13 3,S45 C32 S22 C11,seam,45,30.141,0.074963,-66.971,-50.654
SWSIG,1,162.597,90,41 33 41 33 23 33 23 13 23 13 3 13 3,S45 C32 S22 C11,crease,32,52.23,0.1299,-55.263,-39.671
SWSIG,1,162.597,90,41 33 41 33 23 33 23 13 23 13 3 13 3,S45 C32 S22 C11,seam,22,15.259,0.037951,-44.537,-17.746
