net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,102.109,61,4 3 4 3,S2,seam,2,42.274,0.105139,90.251,59.13
V5,1,392.423,235,3 4 5 2 3 2 0 2 0 6 0 6 0 2 1 2 1 6,S2 S3 S1 C0 C1 C1 C0 S5 S6,seam,2,42.274,0.105139,97.858,59.13
V5,1,392.423,235,3 4 5 2 3 2 0 2 0 6 0 6 0 2 1 2 1 6,S2 S3 S1 C0 C1 C1 C0 S5 S6,seam,3,95.453,0.2374,83.889,142.918
V5,1,392.423,235,3 4 5 2 3 2 0 2 0 6 0 6 0 2 1 2 1 6,S2 S3 S1 C0 C1 C1 C0 S5 S6,seam,1,90.0,0.223838,78.84,-9.89
V5,1,392.423,235,3 4 5 2 3 2 0 2 0 6 0 6 0 2 1 2 1 6,S2 S3 S1 C0 C1 C1 C0 S5 S6,crease,0,90.0,0.223838,68.985,0.0
V5,1,392.423,235,3 4 5 2 3 2 0 2 0 6 0 6 0 2 1 2 1 6,S2 S3 S1 C0 C1 C1 C0 S5 S6,crease,1,90.0,0.223838,0.0,12.887
V5,1,392.423,235,3 4 5 2 3 2 0 2 0 6 0 6 0 2 1 2 1 6,S2 S3 S1 C0 C1 C1 C0 S5 S6,crease,1,90.0,0.223838,0.0,0.758
V5,1,392.423,235,3 4 5 2 3 2 0 2 0 6 0 6 0 2 1 2 1 6,S2 S3 S1 C0 C1 C1 C0 S5 S6,crease,0,90.0,0.223838,0.758,0.0
V5,1,392.423,235,3 4 5 2 3 2 0 2 0 6 0 6 0 2 1 2 1 6,S2 S3 S1 C0 C1 C1 C0 S5 S6,seam,5,90.0,0.223838,-123.105,112.603
V5,1,392.423,235,3 4 5 2 3 2 0 2 0 6 0 6 0 2 1 2 1 6,S2 S3 S1 C0 C1 C1 C0 S5 S6,seam,6,90.0,0.223838,-122.278,111.92
USB_DM,1,100.823,59,4 5,S3,seam,3,95.453,0.2374,65.876,126.543
USB_DP,1,115.248,65,4 5,S3,seam,3,95.453,0.2374,62.499,123.473
DRV1,1,75.622,46,5 1 5 1,C5,crease,5,90.0,0.223838,-57.601,124.694
LEDA1,1,139.254,81,1 2 0 2 0,S5 C0,seam,5,90.0,0.223838,-125.122,133.733
LEDA1,1,139.254,81,1 2 0 2 0,S5 C0,crease,0,90.0,0.223838,3.79,0.0
DRV2,1,86.251,50,5 6 2 6 2,S4 S0,seam,4,42.274,0.105139,-56.853,110.814
DRV2,1,86.251,50,5 6 2 6 2,S4 S0,seam,0,90.0,0.223838,0.0,-79.877
LEDA2,1,102.407,60,2 6 1 6 1 5,S0 S6 C5,seam,0,90.0,0.223838,0.0,-76.834
LEDA2,1,102.407,60,2 6 1 6 1 5,S0 S6 C5,seam,6,90.0,0.223838,-67.944,117.107
LEDA2,1,102.407,60,2 6 1 6 1 5,S0 S6 C5,crease,5,90.0,0.223838,-60.633,121.358
IO1,1,69.351,41,5 6,S4,seam,4,42.274,0.105139,-61.356,114.908
DRV3,1,156.31,89,5 0 5 0 4,C4 C3,crease,4,90.0,0.223838,36.893,99.712
DRV3,1,156.31,89,5 0 5 0 4,C4 C3,crease,3,90.0,0.223838,61.152,78.587
LEDA3,1,67.501,43,4 0 4 0 3,C3 C2,crease,3,90.0,0.223838,78.335,59.686
LEDA3,1,67.501,43,4 0 4 0 3,C3 C2,crease,2,90.0,0.223838,78.84,9.855
IO2,1,104.425,61,5 6 2 6 2 1 2 1,S4 S0 S5,seam,4,42.274,0.105139,-55.727,109.791
IO2,1,104.425,61,5 6 2 6 2 1 2 1,S4 S0 S5,seam,0,90.0,0.223838,0.0,-73.791
IO2,1,104.425,61,5 6 2 6 2 1 2 1,S4 S0 S5,seam,5,90.0,0.223838,-124.546,127.696
IO3,1,103.82,58,5 6 2 6 2 1 2 1,S4 S0 S5,seam,4,42.274,0.105139,-48.972,103.65
IO3,1,103.82,58,5 6 2 6 2 1 2 1,S4 S0 S5,seam,0,90.0,0.223838,0.0,-69.227
IO3,1,103.82,58,5 6 2 6 2 1 2 1,S4 S0 S5,seam,5,90.0,0.223838,-124.114,123.168
IO4,1,121.583,70,5 6 2 6 2 1 2 1,S4 S0 S5,seam,4,42.274,0.105139,-53.475,107.744
IO4,1,121.583,70,5 6 2 6 2 1 2 1,S4 S0 S5,seam,0,90.0,0.223838,0.0,-66.184
IO4,1,121.583,70,5 6 2 6 2 1 2 1,S4 S0 S5,seam,5,90.0,0.223838,-124.834,130.714
SWSIG,1,241.632,150,5 1 5 1 2 0 2 0,C5 S5 C0,crease,5,90.0,0.223838,-42.439,141.372
SWSIG,1,241.632,150,5 1 5 1 2 0 2 0,C5 S5 C0,seam,5,90.0,0.223838,-125.698,139.77
SWSIG,1,241.632,150,5 1 5 1 2 0 2 0,C5 S5 C0,crease,0,90.0,0.223838,21.984,0.0
SWPU,1,228.902,139,0 2 1 2 1 5,C0 S5 C5,crease,0,90.0,0.223838,8.339,0.0
SWPU,1,228.902,139,0 2 1 2 1 5,C0 S5 C5,seam,5,90.0,0.223838,-125.41,136.752
SWPU,1,228.902,139,0 2 1 2 1 5,C0 S5 C5,crease,5,90.0,0.223838,-45.471,138.036
GND,1,498.377,281,4 3 4 3 4 0 4 0 2 1 2 1 6 5 6 5 1 5 6 1 6 1,S2 C3 C0 S5 S6 S4 C5 S6,seam,2,42.274,0.105139,85.687,59.13
GND,1,498.377,281,4 3 4 3 4 0 4 0 2 1 2 1 6 5 6 5 1 5 6 1 6 1,S2 C3 C0 S5 S6 S4 C5 S6,crease,3,90.0,0.223838,70.248,68.581
GND,1,498.377,281,4 3 4 3 4 0 4 0 2 1 2 1 6 5 6 5 1 5 6 1 6 1,S2 C3 C0 S5 S6 S4 C5 S6,crease,0,90.0,0.223838,6.823,0.0
GND,1,498.377,281,4 3 4 3 4 0 4 0 2 1 2 1 6 5 6 5 1 5 6 1 6 1,S2 C3 C0 S5 S6 S4 C5 S6,seam,5,90.0,0.223838,-125.266,135.242
GND,1,498.377,281,4 3 4 3 4 0 4 0 2 1 2 1 6 5 6 5 1 5 6 1 6 1,S2 C3 C0 S5 S6 S4 C5 S6,seam,6,90.0,0.223838,-108.695,113.217
