net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,211.431,113,4 5 0 5 0 3,S3 C4 C2,seam,3,95.453,0.2374,68.128,128.59
VBUS,1,211.431,113,4 5 0 5 0 3,S3 C4 C2,crease,4,90.0,0.223838,12.635,73.028
VBUS,1,211.431,113,4 5 0 5 0 3,S3 C4 C2,crease,2,90.0,0.223838,78.84,5.307
V5,1,317.028,190,3 4 5 2 3 2 6,S2 S3 S1 S0,seam,2,42.274,0.105139,97.858,59.13
V5,1,317.028,190,3 4 5 2 3 2 6,S2 S3 S1 S0,seam,3,95.453,0.2374,86.141,144.965
V5,1,317.028,190,3 4 5 2 3 2 6,S2 S3 S1 S0,seam,1,90.0,0.223838,78.84,-9.89
V5,1,317.028,190,3 4 5 2 3 2 6,S2 S3 S1 S0,seam,0,90.0,0.223838,0.0,-50.969
USB_DM,1,103.594,60,4 5,S3,seam,3,95.453,0.2374,62.499,123.473
USB_DP,1,123.729,68,4 5,S3,seam,3,95.453,0.2374,82.763,141.895
DRV1,1,75.622,46,5 1 5 1,C5,crease,5,90.0,0.223838,-62.654,119.135
LEDA1,1,136.769,81,1 2 0 2 0,S5 C0,seam,5,90.0,0.223838,-125.122,133.733
LEDA1,1,136.769,81,1 2 0 2 0,S5 C0,crease,0,90.0,0.223838,3.79,0.0
DRV2,1,86.251,50,5 6 2 6 2,S4 S0,seam,4,42.274,0.105139,-56.853,110.814
DRV2,1,86.251,50,5 6 2 6 2,S4 S0,seam,0,90.0,0.223838,0.0,-79.877
LEDA2,1,107.513,61,2 1 2 1 5,S5 C5,seam,5,90.0,0.223838,-125.41,136.752
LEDA2,1,107.513,61,2 1 2 1 5,S5 C5,crease,5,90.0,0.223838,-59.622,122.47
IO1,1,70.229,42,5 6,S4,seam,4,42.274,0.105139,-61.356,114.908
DRV3,1,150.527,89,5 4 5 4,S3,seam,3,95.453,0.2374,65.876,126.543
LEDA3,1,64.894,42,4 3 4 3,S2,seam,2,42.274,0.105139,79.601,59.13
IO2,1,104.425,61,5 6 2 6 2 1 2 1,S4 S0 S5,seam,4,42.274,0.105139,-55.727,109.791
IO2,1,104.425,61,5 6 2 6 2 1 2 1,S4 S0 S5,seam,0,90.0,0.223838,0.0,-73.791
IO2,1,104.425,61,5 6 2 6 2 1 2 1,S4 S0 S5,seam,5,90.0,0.223838,-124.546,127.696
IO3,1,103.82,58,5 6 2 6 2 1 2 1,S4 S0 S5,seam,4,42.274,0.105139,-48.972,103.65
IO3,1,103.82,58,5 6 2 6 2 1 2 1,S4 S0 S5,seam,0,90.0,0.223838,0.0,-69.227
IO3,1,103.82,58,5 6 2 6 2 1 2 1,S4 S0 S5,seam,5,90.0,0.223838,-124.114,123.168
IO4,1,121.583,70,5 6 2 6 2 1 2 1,S4 S0 S5,seam,4,42.274,0.105139,-53.475,107.744
IO4,1,121.583,70,5 6 2 6 2 1 2 1,S4 S0 S5,seam,0,90.0,0.223838,0.0,-66.184
IO4,1,121.583,70,5 6 2 6 2 1 2 1,S4 S0 S5,seam,5,90.0,0.223838,-124.834,130.714
SWSIG,1,128.678,81,5 0 5 0,C4,crease,4,90.0,0.223838,1.516,60.798
SWPU,1,264.318,159,0 3 4 5,C2 S2 S3,crease,2,90.0,0.223838,78.84,2.274
SWPU,1,264.318,159,0 3 4 5,C2 S2 S3,seam,2,42.274,0.105139,90.251,59.13
SWPU,1,264.318,159,0 3 4 5,C2 S2 S3,seam,3,95.453,0.2374,80.512,139.848
GND,1,577.742,330,4 3 4 3 0 4 0 2 1 2 1 5 1 5 6,S2 C3 C0 S5 C5 S4,seam,2,42.274,0.105139,82.644,59.13
GND,1,577.742,330,4 3 4 3 0 4 0 2 1 2 1 5 1 5 6,S2 C3 C0 S5 C5 S4,crease,3,90.0,0.223838,70.248,68.581
GND,1,577.742,330,4 3 4 3 0 4 0 2 1 2 1 5 1 5 6,S2 C3 C0 S5 C5 S4,crease,0,90.0,0.223838,8.339,0.0
GND,1,577.742,330,4 3 4 3 0 4 0 2 1 2 1 5 1 5 6,S2 C3 C0 S5 C5 S4,seam,5,90.0,0.223838,-125.698,139.77
GND,1,577.742,330,4 3 4 3 0 4 0 2 1 2 1 5 1 5 6,S2 C3 C0 S5 C5 S4,crease,5,90.0,0.223838,-50.525,132.477
GND,1,577.742,330,4 3 4 3 0 4 0 2 1 2 1 5 1 5 6,S2 C3 C0 S5 C5 S4,seam,4,42.274,0.105139,-59.104,112.861
