net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,50.523,28,0 5 0 5 0,S5 S5,seam,5,44.079,0.109629,67.656,31.842
VBUS,1,50.523,28,0 5 0 5 0,S5 S5,seam,5,44.079,0.109629,60.69,26.075
V5,1,129.158,70,0 5 23 41 59 60 73 0,S5 S28 S44 S63 C54 S78,seam,5,44.079,0.109629,64.173,28.959
V5,1,129.158,70,0 5 23 41 59 60 73 0,S5 S28 S44 S63 C54 S78,seam,28,37.612,0.093546,78.194,13.862
V5,1,129.158,70,0 5 23 41 59 60 73 0,S5 S28 S44 S63 C54 S78,seam,44,16.617,0.041328,249.181,14.977
V5,1,129.158,70,0 5 23 41 59 60 73 0,S5 S28 S44 S63 C54 S78,seam,63,37.612,0.093546,122.936,283.13
V5,1,129.158,70,0 5 23 41 59 60 73 0,S5 S28 S44 S63 C54 S78,crease,54,1.671,0.004155,25.921,176.936
V5,1,129.158,70,0 5 23 41 59 60 73 0,S5 S28 S44 S63 C54 S78,seam,78,43.658,0.108582,26.702,167.831
USB_DM,1,119.283,72,0 14 32 31 32 31 49 67 73,S17 C30 C31 S51 C62 S84,seam,17,44.079,0.109629,52.064,53.672
USB_DM,1,119.283,72,0 14 32 31 32 31 49 67 73,S17 C30 C31 S51 C62 S84,crease,30,37.612,0.093546,47.154,73.173
USB_DM,1,119.283,72,0 14 32 31 32 31 49 67 73,S17 C30 C31 S51 C62 S84,crease,31,2.312,0.005749,47.4,79.255
USB_DM,1,119.283,72,0 14 32 31 32 31 49 67 73,S17 C30 C31 S51 C62 S84,seam,51,16.859,0.041931,45.836,94.798
USB_DM,1,119.283,72,0 14 32 31 32 31 49 67 73,S17 C30 C31 S51 C62 S84,crease,62,37.912,0.094291,45.413,118.046
USB_DM,1,119.283,72,0 14 32 31 32 31 49 67 73,S17 C30 C31 S51 C62 S84,seam,84,43.658,0.108582,45.323,130.245
USB_DP,1,130.924,72,0 14 32 31 32 31 49 67 66 67 66 73,S17 C30 C31 S51 C62 S71 S83,seam,17,44.079,0.109629,48.206,51.312
USB_DP,1,130.924,72,0 14 32 31 32 31 49 67 66 67 66 73,S17 C30 C31 S51 C62 S71 S83,crease,30,37.612,0.093546,42.944,71.397
USB_DP,1,130.924,72,0 14 32 31 32 31 49 67 66 67 66 73,S17 C30 C31 S51 C62 S71 S83,crease,31,2.312,0.005749,44.211,88.158
USB_DP,1,130.924,72,0 14 32 31 32 31 49 67 66 67 66 73,S17 C30 C31 S51 C62 S71 S83,seam,51,16.859,0.041931,48.624,95.955
USB_DP,1,130.924,72,0 14 32 31 32 31 49 67 66 67 66 73,S17 C30 C31 S51 C62 S71 S83,crease,62,37.912,0.094291,49.632,119.685
USB_DP,1,130.924,72,0 14 32 31 32 31 49 67 66 67 66 73,S17 C30 C31 S51 C62 S71 S83,seam,71,1.587,0.003947,48.425,130.124
USB_DP,1,130.924,72,0 14 32 31 32 31 49 67 66 67 66 73,S17 C30 C31 S51 C62 S71 S83,seam,83,42.396,0.105443,48.377,131.674
