net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,280.635,163,54 53 54 53 52 53 52 51 52 51 33 51 33 32 33 32 50 68 73 61 73 61 60 61 60 42 60 42 41 42 41 40 41 40 58 73 59 73 59,C51 C50 C49 S53 C32 S52 C63 S85 S79 C55 S65 C38 C37 S61 C71 S77,crease,51,16.455,0.040926,-72.395,73.327
VBUS,1,280.635,163,54 53 54 53 52 53 52 51 52 51 33 51 33 32 33 32 50 68 73 61 73 61 60 61 60 42 60 42 41 42 41 40 41 40 58 73 59 73 59,C51 C50 C49 S53 C32 S52 C63 S85 S79 C55 S65 C38 C37 S61 C71 S77,crease,50,12.65,0.031461,-49.666,72.317
VBUS,1,280.635,163,54 53 54 53 52 53 52 51 52 51 33 51 33 32 33 32 50 68 73 61 73 61 60 61 60 42 60 42 41 42 41 40 41 40 58 73 59 73 59,C51 C50 C49 S53 C32 S52 C63 S85 S79 C55 S65 C38 C37 S61 C71 S77,crease,49,7.526,0.018717,-19.742,72.426
VBUS,1,280.635,163,54 53 54 53 52 53 52 51 52 51 33 51 33 32 33 32 50 68 73 61 73 61 60 61 60 42 60 42 41 42 41 40 41 40 58 73 59 73 59,C51 C50 C49 S53 C32 S52 C63 S85 S79 C55 S65 C38 C37 S61 C71 S77,seam,53,17.887,0.044485,-2.977,73.996
VBUS,1,280.635,163,54 53 54 53 52 53 52 51 52 51 33 51 33 32 33 32 50 68 73 61 73 61 60 61 60 42 60 42 41 42 41 40 41 40 58 73 59 73 59,C51 C50 C49 S53 C32 S52 C63 S85 S79 C55 S65 C38 C37 S61 C71 S77,crease,32,4.89,0.012162,14.08,77.152
VBUS,1,280.635,163,54 53 54 53 52 53 52 51 52 51 33 51 33 32 33 32 50 68 73 61 73 61 60 61 60 42 60 42 41 42 41 40 41 40 58 73 59 73 59,C51 C50 C49 S53 C32 S52 C63 S85 S79 C55 S65 C38 C37 S61 C71 S77,seam,52,16.617,0.041328,18.545,83.306
VBUS,1,280.635,163,54 53 54 53 52 53 52 51 52 51 33 51 33 32 33 32 50 68 73 61 73 61 60 61 60 42 60 42 41 42 41 40 41 40 58 73 59 73 59,C51 C50 C49 S53 C32 S52 C63 S85 S79 C55 S65 C38 C37 S61 C71 S77,crease,63,37.612,0.093546,19.938,108.24
VBUS,1,280.635,163,54 53 54 53 52 53 52 51 52 51 33 51 33 32 33 32 50 68 73 61 73 61 60 61 60 42 60 42 41 42 41 40 41 40 58 73 59 73 59,C51 C50 C49 S53 C32 S52 C63 S85 S79 C55 S65 C38 C37 S61 C71 S77,seam,85,44.079,0.109629,21.575,120.978
VBUS,1,280.635,163,54 53 54 53 52 53 52 51 52 51 33 51 33 32 33 32 50 68 73 61 73 61 60 61 60 42 60 42 41 42 41 40 41 40 58 73 59 73 59,C51 C50 C49 S53 C32 S52 C63 S85 S79 C55 S65 C38 C37 S61 C71 S77,seam,79,42.396,0.105443,45.736,165.638
VBUS,1,280.635,163,54 53 54 53 52 53 52 51 52 51 33 51 33 32 33 32 50 68 73 61 73 61 60 61 60 42 60 42 41 42 41 40 41 40 58 73 59 73 59,C51 C50 C49 S53 C32 S52 C63 S85 S79 C55 S65 C38 C37 S61 C71 S77,crease,55,1.587,0.003947,46.777,167.955
VBUS,1,280.635,163,54 53 54 53 52 53 52 51 52 51 33 51 33 32 33 32 50 68 73 61 73 61 60 61 60 42 60 42 41 42 41 40 41 40 58 73 59 73 59,C51 C50 C49 S53 C32 S52 C63 S85 S79 C55 S65 C38 C37 S61 C71 S77,seam,65,37.912,0.094291,126.756,266.97
VBUS,1,280.635,163,54 53 54 53 52 53 52 51 52 51 33 51 33 32 33 32 50 68 73 61 73 61 60 61 60 42 60 42 41 42 41 40 41 40 58 73 59 73 59,C51 C50 C49 S53 C32 S52 C63 S85 S79 C55 S65 C38 C37 S61 C71 S77,crease,38,2.312,0.005749,130.091,283.676
VBUS,1,280.635,163,54 53 54 53 52 53 52 51 52 51 33 51 33 32 33 32 50 68 73 61 73 61 60 61 60 42 60 42 41 42 41 40 41 40 58 73 59 73 59,C51 C50 C49 S53 C32 S52 C63 S85 S79 C55 S65 C38 C37 S61 C71 S77,crease,37,4.89,0.012162,117.037,310.806
VBUS,1,280.635,163,54 53 54 53 52 53 52 51 52 51 33 51 33 32 33 32 50 68 73 61 73 61 60 61 60 42 60 42 41 42 41 40 41 40 58 73 59 73 59,C51 C50 C49 S53 C32 S52 C63 S85 S79 C55 S65 C38 C37 S61 C71 S77,seam,61,39.113,0.097279,116.11,311.252
VBUS,1,280.635,163,54 53 54 53 52 53 52 51 52 51 33 51 33 32 33 32 50 68 73 61 73 61 60 61 60 42 60 42 41 42 41 40 41 40 58 73 59 73 59,C51 C50 C49 S53 C32 S52 C63 S85 S79 C55 S65 C38 C37 S61 C71 S77,crease,71,41.943,0.104317,0.139,158.832
VBUS,1,280.635,163,54 53 54 53 52 53 52 51 52 51 33 51 33 32 33 32 50 68 73 61 73 61 60 61 60 42 60 42 41 42 41 40 41 40 58 73 59 73 59,C51 C50 C49 S53 C32 S52 C63 S85 S79 C55 S65 C38 C37 S61 C71 S77,seam,77,44.079,0.109629,5.463,169.717
V5,1,108.055,64,59 60 73 68 73 68,C54 S78 S85,crease,54,1.671,0.004155,25.921,176.936
V5,1,108.055,64,59 60 73 68 73 68,C54 S78 S85,seam,78,43.658,0.108582,36.218,166.756
V5,1,108.055,64,59 60 73 68 73 68,C54 S78 S85,seam,85,44.079,0.109629,11.717,117.216
USB_DM,1,146.828,83,54 37 54 37 54 72 71 72 71 70 71 70 69 70 69 73,S40 S40 S56 C67 C66 C65 S86,seam,40,96.014,0.238796,-104.399,136.562
USB_DM,1,146.828,83,54 37 54 37 54 72 71 72 71 70 71 70 69 70 69 73,S40 S40 S56 C67 C66 C65 S86,seam,40,96.014,0.238796,-98.692,134.699
USB_DM,1,146.828,83,54 37 54 37 54 72 71 72 71 70 71 70 69 70 69 73,S40 S40 S56 C67 C66 C65 S86,seam,56,48.373,0.120308,-83.351,74.793
USB_DM,1,146.828,83,54 37 54 37 54 72 71 72 71 70 71 70 69 70 69 73,S40 S40 S56 C67 C66 C65 S86,crease,67,9.842,0.024478,-69.175,90.715
USB_DM,1,146.828,83,54 37 54 37 54 72 71 72 71 70 71 70 69 70 69 73,S40 S40 S56 C67 C66 C65 S86,crease,66,11.658,0.028996,-46.678,90.974
USB_DM,1,146.828,83,54 37 54 37 54 72 71 72 71 70 71 70 69 70 69 73,S40 S40 S56 C67 C66 C65 S86,crease,65,7.743,0.019257,-9.07,109.269
USB_DM,1,146.828,83,54 37 54 37 54 72 71 72 71 70 71 70 69 70 69 73,S40 S40 S56 C67 C66 C65 S86,seam,86,41.943,0.104317,7.452,115.738
USB_DP,1,196.248,105,54 36 54 36 35 36 35 34 35 34 33 34 33 32 33 32 50 68 73,S39 C35 C34 C33 C32 S52 C63 S85,seam,39,48.054,0.119515,-80.779,35.211
USB_DP,1,196.248,105,54 36 54 36 35 36 35 34 35 34 33 34 33 32 33 32 50 68 73,S39 C35 C34 C33 C32 S52 C63 S85,crease,35,16.455,0.040926,-69.111,38.693
USB_DP,1,196.248,105,54 36 54 36 35 36 35 34 35 34 33 34 33 32 33 32 50 68 73,S39 C35 C34 C33 C32 S52 C63 S85,crease,34,12.65,0.031461,-30.899,39.456
USB_DP,1,196.248,105,54 36 54 36 35 36 35 34 35 34 33 34 33 32 33 32 50 68 73,S39 C35 C34 C33 C32 S52 C63 S85,crease,33,7.526,0.018717,-9.415,57.602
USB_DP,1,196.248,105,54 36 54 36 35 36 35 34 35 34 33 34 33 32 33 32 50 68 73,S39 C35 C34 C33 C32 S52 C63 S85,crease,32,4.89,0.012162,12.458,79.884
USB_DP,1,196.248,105,54 36 54 36 35 36 35 34 35 34 33 34 33 32 33 32 50 68 73,S39 C35 C34 C33 C32 S52 C63 S85,seam,52,16.617,0.041328,12.774,80.871
USB_DP,1,196.248,105,54 36 54 36 35 36 35 34 35 34 33 34 33 32 33 32 50 68 73,S39 C35 C34 C33 C32 S52 C63 S85,crease,63,37.612,0.093546,17.092,107.154
USB_DP,1,196.248,105,54 36 54 36 35 36 35 34 35 34 33 34 33 32 33 32 50 68 73,S39 C35 C34 C33 C32 S52 C63 S85,seam,85,44.079,0.109629,10.309,116.678
DRV1,1,18.109,10,73 57 73 57 58,C70 S62,crease,70,35.692,0.08877,-23.566,154.438
