net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,148.148,85,54 72 71 72 71 73 57 73 57 58 59,S56 C67 S88 C70 S62 S64,seam,56,48.373,0.120308,-77.012,75.983
VBUS,1,148.148,85,54 72 71 72 71 73 57 73 57 58 59,S56 C67 S88 C70 S62 S64,crease,67,9.842,0.024478,-73.169,88.439
VBUS,1,148.148,85,54 72 71 72 71 73 57 73 57 58 59,S56 C67 S88 C70 S62 S64,seam,88,25.676,0.06386,-36.784,107.111
VBUS,1,148.148,85,54 72 71 72 71 73 57 73 57 58 59,S56 C67 S88 C70 S62 S64,crease,70,35.692,0.08877,-30.906,152.495
VBUS,1,148.148,85,54 72 71 72 71 73 57 73 57 58 59,S56 C67 S88 C70 S62 S64,seam,62,7.743,0.019257,-23.064,161.051
VBUS,1,148.148,85,54 72 71 72 71 73 57 73 57 58 59,S56 C67 S88 C70 S62 S64,seam,64,3.968,0.009868,2.451,161.117
V5,1,108.055,64,59 60 73 68 73 68,C54 S78 S85,crease,54,1.671,0.004155,25.921,176.936
V5,1,108.055,64,59 60 73 68 73 68,C54 S78 S85,seam,78,43.658,0.108582,36.218,166.756
V5,1,108.055,64,59 60 73 68 73 68,C54 S78 S85,seam,85,44.079,0.109629,11.717,117.216
USB_DM,1,163.724,82,54 36 54 36 35 36 35 34 35 34 52 51 52 51 69 73,S39 C35 C34 S54 C49 S73 S86,seam,39,48.054,0.119515,-84.674,32.669
USB_DM,1,163.724,82,54 36 54 36 35 36 35 34 35 34 52 51 52 51 69 73,S39 C35 C34 S54 C49 S73 S86,crease,35,16.455,0.040926,-69.111,38.693
USB_DM,1,163.724,82,54 36 54 36 35 36 35 34 35 34 52 51 52 51 69 73,S39 C35 C34 S54 C49 S73 S86,crease,34,12.65,0.031461,-46.288,52.028
USB_DM,1,163.724,82,54 36 54 36 35 36 35 34 35 34 52 51 52 51 69 73,S39 C35 C34 S54 C49 S73 S86,seam,54,22.273,0.055395,-37.817,58.233
USB_DM,1,163.724,82,54 36 54 36 35 36 35 34 35 34 52 51 52 51 69 73,S39 C35 C34 S54 C49 S73 S86,crease,49,7.526,0.018717,-20.299,84.696
USB_DM,1,163.724,82,54 36 54 36 35 36 35 34 35 34 52 51 52 51 69 73,S39 C35 C34 S54 C49 S73 S86,seam,73,39.113,0.097279,-5.705,98.629
USB_DM,1,163.724,82,54 36 54 36 35 36 35 34 35 34 52 51 52 51 69 73,S39 C35 C34 S54 C49 S73 S86,seam,86,41.943,0.104317,6.016,115.291
USB_DP,1,155.926,77,54 36 54 36 35 36 35 53 52 53 52 51 52 51 69 73,S39 C35 S55 C50 C49 S73 S86,seam,39,48.054,0.119515,-78.183,36.907
USB_DP,1,155.926,77,54 36 54 36 35 36 35 53 52 53 52 51 52 51 69 73,S39 C35 S55 C50 C49 S73 S86,crease,35,16.455,0.040926,-71.695,40.315
USB_DP,1,155.926,77,54 36 54 36 35 36 35 53 52 53 52 51 52 51 69 73,S39 C35 S55 C50 C49 S73 S86,seam,55,32.782,0.081532,-50.087,52.416
USB_DP,1,155.926,77,54 36 54 36 35 36 35 53 52 53 52 51 52 51 69 73,S39 C35 S55 C50 C49 S73 S86,crease,50,12.65,0.031461,-50.967,61.696
USB_DP,1,155.926,77,54 36 54 36 35 36 35 53 52 53 52 51 52 51 69 73,S39 C35 S55 C50 C49 S73 S86,crease,49,7.526,0.018717,-20.438,87.764
USB_DP,1,155.926,77,54 36 54 36 35 36 35 53 52 53 52 51 52 51 69 73,S39 C35 S55 C50 C49 S73 S86,seam,73,39.113,0.097279,2.854,101.771
USB_DP,1,155.926,77,54 36 54 36 35 36 35 53 52 53 52 51 52 51 69 73,S39 C35 S55 C50 C49 S73 S86,seam,86,41.943,0.104317,8.887,116.186
DRV1,1,18.109,10,73 57 73 57 58,C70 S62,crease,70,35.692,0.08877,-23.566,154.438
DRV1,1,18.109,10,73 57 73 57 58,C70 S62,seam,62,7.743,0.019257,-24.455,161.68
LEDA1,1,53.04,30,58 40 58 40 22 40 22 4 22 4,S61 S43 S27,seam,61,39.113,0.097279,112.341,325.971
LEDA1,1,53.04,30,58 40 58 40 22 40 22 4 22 4,S61 S43 S27,seam,43,17.887,0.044485,264.821,-13.928
LEDA1,1,53.04,30,58 40 58 40 22 40 22 4 22 4,S61 S43 S27,seam,27,39.113,0.097279,44.463,-0.048
DRV2,1,139.972,80,73 57 73 57 39 57 39 21 39 21 3 21 3 0 3 0 15,C70 S59 S41 S25 C2 S19,crease,70,35.692,0.08877,-26.502,153.661
DRV2,1,139.972,80,73 57 73 57 39 57 39 21 39 21 3 21 3 0 3 0 15,C70 S59 S41 S25 C2 S19,seam,59,43.171,0.107371,108.931,339.222
DRV2,1,139.972,80,73 57 73 57 39 57 39 21 39 21 3 21 3 0 3 0 15,C70 S59 S41 S25 C2 S19,seam,41,22.273,0.055395,276.478,-36.006
DRV2,1,139.972,80,73 57 73 57 39 57 39 21 39 21 3 21 3 0 3 0 15,C70 S59 S41 S25 C2 S19,seam,25,43.171,0.107371,32.614,-7.527
DRV2,1,139.972,80,73 57 73 57 39 57 39 21 39 21 3 21 3 0 3 0 15,C70 S59 S41 S25 C2 S19,crease,2,35.692,0.08877,30.336,6.492
DRV2,1,139.972,80,73 57 73 57 39 57 39 21 39 21 3 21 3 0 3 0 15,C70 S59 S41 S25 C2 S19,seam,19,41.943,0.104317,25.923,35.95
LEDA2,1,69.792,36,15 33 51 69,S33 S53 S73,seam,33,39.113,0.097279,16.475,59.763
LEDA2,1,69.792,36,15 33 51 69,S33 S53 S73,seam,53,17.887,0.044485,2.749,76.499
LEDA2,1,69.792,36,15 33 51 69,S33 S53 S73,seam,73,39.113,0.097279,-9.984,97.059
IO1,1,205.059,118,73 56 73 56 38 56 38 20 38 20 2 20 2 0 2 0 16 15 16 15 14 15 14,C69 C53 S37 C15 C1 S20 C11 C10,crease,69,25.676,0.06386,-40.401,147.898
IO1,1,205.059,118,73 56 73 56 38 56 38 20 38 20 2 20 2 0 2 0 16 15 16 15 14 15 14,C69 C53 S37 C15 C1 S20 C11 C10,crease,53,47.933,0.119213,-62.516,157.12
IO1,1,205.059,118,73 56 73 56 38 56 38 20 38 20 2 20 2 0 2 0 16 15 16 15 14 15 14,C69 C53 S37 C15 C1 S20 C11 C10,seam,37,32.782,0.081532,3.005,-43.013
IO1,1,205.059,118,73 56 73 56 38 56 38 20 38 20 2 20 2 0 2 0 16 15 16 15 14 15 14,C69 C53 S37 C15 C1 S20 C11 C10,crease,15,47.933,0.119213,3.09,-21.086
IO1,1,205.059,118,73 56 73 56 38 56 38 20 38 20 2 20 2 0 2 0 16 15 16 15 14 15 14,C69 C53 S37 C15 C1 S20 C11 C10,crease,1,25.676,0.06386,11.812,0.202
IO1,1,205.059,118,73 56 73 56 38 56 38 20 38 20 2 20 2 0 2 0 16 15 16 15 14 15 14,C69 C53 S37 C15 C1 S20 C11 C10,seam,20,35.692,0.08877,12.684,23.445
IO1,1,205.059,118,73 56 73 56 38 56 38 20 38 20 2 20 2 0 2 0 16 15 16 15 14 15 14,C69 C53 S37 C15 C1 S20 C11 C10,crease,11,7.743,0.019257,2.055,49.295
IO1,1,205.059,118,73 56 73 56 38 56 38 20 38 20 2 20 2 0 2 0 16 15 16 15 14 15 14,C69 C53 S37 C15 C1 S20 C11 C10,crease,10,3.968,0.009868,25.796,60.749
DRV3,1,163.083,94,73 57 73 57 58 59 60 73 65 73 65,C70 S62 S64 C54 S78 S82,crease,70,35.692,0.08877,-29.438,152.883
DRV3,1,163.083,94,73 57 73 57 58 59 60 73 65 73 65,C70 S62 S64 C54 S78 S82,seam,62,7.743,0.019257,-27.237,162.938
DRV3,1,163.083,94,73 57 73 57 58 59 60 73 65 73 65,C70 S62 S64 C54 S78 S82,seam,64,3.968,0.009868,-1.32,165.9
DRV3,1,163.083,94,73 57 73 57 58 59 60 73 65 73 65,C70 S62 S64 C54 S78 S82,crease,54,1.671,0.004155,26.499,178.51
DRV3,1,163.083,94,73 57 73 57 58 59 60 73 65 73 65,C70 S62 S64 C54 S78 S82,seam,78,43.658,0.108582,42.562,166.04
DRV3,1,163.083,94,73 57 73 57 58 59 60 73 65 73 65,C70 S62 S64 C54 S78 S82,seam,82,38.476,0.095695,79.029,144.658
LEDA3,1,86.177,48,65 47 65 47 29 47 29 11 29 11 10 11 10 11,C60 C44 C24 S12 S12,crease,60,41.434,0.103051,97.548,138.461
LEDA3,1,86.177,48,65 47 65 47 29 47 29 11 29 11 10 11 10 11,C60 C44 C24 S12 S12,crease,44,20.178,0.050185,112.904,122.471
LEDA3,1,86.177,48,65 47 65 47 29 47 29 11 29 11 10 11 10 11,C60 C44 C24 S12 S12,crease,24,41.434,0.103051,117.178,102.029
LEDA3,1,86.177,48,65 47 65 47 29 47 29 11 29 11 10 11 10 11,C60 C44 C24 S12 S12,seam,12,6.613,0.016447,121.512,95.207
LEDA3,1,86.177,48,65 47 65 47 29 47 29 11 29 11 10 11 10 11,C60 C44 C24 S12 S12,seam,12,6.613,0.016447,119.242,93.114
IO2,1,88.691,53,73 55 73 55 37 55 37,C68 C52,crease,68,17.6,0.043773,-49.222,141.802
IO2,1,88.691,53,73 55 73 55 37 55 37,C68 C52,crease,52,48.373,0.120308,-86.404,143.213
IO3,1,120.751,60,73 71 73 71 53 71 53 54 37 54 37,S88 S75 C51 S40,seam,88,25.676,0.06386,-30.752,107.254
IO3,1,120.751,60,73 71 73 71 53 71 53 54 37 54 37,S88 S75 C51 S40,seam,75,47.933,0.119213,-48.997,83.488
IO3,1,120.751,60,73 71 73 71 53 71 53 54 37 54 37,S88 S75 C51 S40,crease,51,16.455,0.040926,-77.23,54.096
IO3,1,120.751,60,73 71 73 71 53 71 53 54 37 54 37,S88 S75 C51 S40,seam,40,96.014,0.238796,-114.385,139.823
IO4,1,89.505,52,73 72 73 72 55 72 55 37 55 37,S76 S57 C52,seam,76,17.6,0.043773,-47.493,108.643
IO4,1,89.505,52,73 72 73 72 55 72 55 37 55 37,S76 S57 C52,seam,57,28.488,0.070851,-80.342,135.529
IO4,1,89.505,52,73 72 73 72 55 72 55 37 55 37,S76 S57 C52,crease,52,48.373,0.120308,-92.374,137.794
SWSIG,1,70.678,37,73 60 73 60,S78,seam,78,43.658,0.108582,39.39,166.398
SWPU,1,46.679,19,60 73,S78,seam,78,43.658,0.108582,23.53,168.189
GND,1,441.58,248,54 37 54 37 55 73 69 73 69 68 69 68 69 73 60 73 60 68 50 68 50 32 50 32 14 32 14 0 14 0 4 0 11,S40 C52 C68 S86 C64 S86 S78 C63 S52 C30 S17 C3 S11,seam,40,96.014,0.238796,-110.105,138.425
GND,1,441.58,248,54 37 54 37 55 73 69 73 69 68 69 68 69 73 60 73 60 68 50 68 50 32 50 32 14 32 14 0 14 0 4 0 11,S40 C52 C68 S86 C64 S86 S78 C63 S52 C30 S17 C3 S11,crease,52,48.373,0.120308,-91.18,138.877
GND,1,441.58,248,54 37 54 37 55 73 69 73 69 68 69 68 69 73 60 73 60 68 50 68 50 32 50 32 14 32 14 0 14 0 4 0 11,S40 C52 C68 S86 C64 S86 S78 C63 S52 C30 S17 C3 S11,crease,68,17.6,0.043773,-52.74,138.609
GND,1,441.58,248,54 37 54 37 55 73 69 73 69 68 69 68 69 73 60 73 60 68 50 68 50 32 50 32 14 32 14 0 14 0 4 0 11,S40 C52 C68 S86 C64 S86 S78 C63 S52 C30 S17 C3 S11,seam,86,41.943,0.104317,-6.904,111.266
GND,1,441.58,248,54 37 54 37 55 73 69 73 69 68 69 68 69 73 60 73 60 68 50 68 50 32 50 32 14 32 14 0 14 0 4 0 11,S40 C52 C68 S86 C64 S86 S78 C63 S52 C30 S17 C3 S11,crease,64,3.968,0.009868,8.012,109.745
GND,1,441.58,248,54 37 54 37 55 73 69 73 69 68 69 68 69 73 60 73 60 68 50 68 50 32 50 32 14 32 14 0 14 0 4 0 11,S40 C52 C68 S86 C64 S86 S78 C63 S52 C30 S17 C3 S11,seam,86,41.943,0.104317,3.145,114.397
GND,1,441.58,248,54 37 54 37 55 73 69 73 69 68 69 68 69 73 60 73 60 68 50 68 50 32 50 32 14 32 14 0 14 0 4 0 11,S40 C52 C68 S86 C64 S86 S78 C63 S52 C30 S17 C3 S11,seam,78,43.658,0.108582,33.046,167.114
GND,1,441.58,248,54 37 54 37 55 73 69 73 69 68 69 68 69 73 60 73 60 68 50 68 50 32 50 32 14 32 14 0 14 0 4 0 11,S40 C52 C68 S86 C64 S86 S78 C63 S52 C30 S17 C3 S11,crease,63,37.612,0.093546,9.977,104.438
GND,1,441.58,248,54 37 54 37 55 73 69 73 69 68 69 68 69 73 60 73 60 68 50 68 50 32 50 32 14 32 14 0 14 0 4 0 11,S40 C52 C68 S86 C64 S86 S78 C63 S52 C30 S17 C3 S11,seam,52,16.617,0.041328,15.66,82.089
GND,1,441.58,248,54 37 54 37 55 73 69 73 69 68 69 68 69 73 60 73 60 68 50 68 50 32 50 32 14 32 14 0 14 0 4 0 11,S40 C52 C68 S86 C64 S86 S78 C63 S52 C30 S17 C3 S11,crease,30,37.612,0.093546,30.314,66.067
GND,1,441.58,248,54 37 54 37 55 73 69 73 69 68 69 68 69 73 60 73 60 68 50 68 50 32 50 32 14 32 14 0 14 0 4 0 11,S40 C52 C68 S86 C64 S86 S78 C63 S52 C30 S17 C3 S11,seam,17,44.079,0.109629,40.491,46.593
GND,1,441.58,248,54 37 54 37 55 73 69 73 69 68 69 68 69 73 60 73 60 68 50 68 50 32 50 32 14 32 14 0 14 0 4 0 11,S40 C52 C68 S86 C64 S86 S78 C63 S52 C30 S17 C3 S11,crease,3,41.943,0.104317,43.65,13.718
GND,1,441.58,248,54 37 54 37 55 73 69 73 69 68 69 68 69 73 60 73 60 68 50 68 50 32 50 32 14 32 14 0 14 0 4 0 11,S40 C52 C68 S86 C64 S86 S78 C63 S52 C30 S17 C3 S11,seam,11,38.476,0.095695,93.909,76.382
