net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,207.98,120,54 53 54 53 35 53 35 17 35 17 0 17 0 4 22 40 58 59,C51 S55 S35 S21 C3 S27 S43 S61 S64,crease,51,16.455,0.040926,-73.511,68.889
VBUS,1,207.98,120,54 53 54 53 35 53 35 17 35 17 0 17 0 4 22 40 58 59,C51 S55 S35 S21 C3 S27 S43 S61 S64,seam,55,32.782,0.081532,-58.179,48.163
VBUS,1,207.98,120,54 53 54 53 35 53 35 17 35 17 0 17 0 4 22 40 58 59,C51 S55 S35 S21 C3 S27 S43 S61 S64,seam,35,47.933,0.119213,-31.827,30.856
VBUS,1,207.98,120,54 53 54 53 35 53 35 17 35 17 0 17 0 4 22 40 58 59,C51 S55 S35 S21 C3 S27 S43 S61 S64,seam,21,25.676,0.06386,4.876,12.351
VBUS,1,207.98,120,54 53 54 53 35 53 35 17 35 17 0 17 0 4 22 40 58 59,C51 S55 S35 S21 C3 S27 S43 S61 S64,crease,3,41.943,0.104317,46.121,15.431
VBUS,1,207.98,120,54 53 54 53 35 53 35 17 35 17 0 17 0 4 22 40 58 59,C51 S55 S35 S21 C3 S27 S43 S61 S64,seam,27,39.113,0.097279,55.703,7.741
VBUS,1,207.98,120,54 53 54 53 35 53 35 17 35 17 0 17 0 4 22 40 58 59,C51 S55 S35 S21 C3 S27 S43 S61 S64,seam,43,17.887,0.044485,261.169,-7.023
VBUS,1,207.98,120,54 53 54 53 35 53 35 17 35 17 0 17 0 4 22 40 58 59,C51 S55 S35 S21 C3 S27 S43 S61 S64,seam,61,39.113,0.097279,116.11,311.252
VBUS,1,207.98,120,54 53 54 53 35 53 35 17 35 17 0 17 0 4 22 40 58 59,C51 S55 S35 S21 C3 S27 S43 S61 S64,seam,64,3.968,0.009868,2.451,161.117
V5,1,51.051,27,59 73 68 73 68,S77 S85,seam,77,44.079,0.109629,6.965,169.592
V5,1,51.051,27,59 73 68 73 68,S77 S85,seam,85,44.079,0.109629,10.309,116.678
USB_DM,1,210.343,118,54 36 54 36 18 36 18 17 18 17 16 17 16 15 16 15 33 51 69 73,S39 S23 C13 C12 C11 S33 S53 S73 S86,seam,39,48.054,0.119515,-82.078,34.364
USB_DM,1,210.343,118,54 36 54 36 18 36 18 17 18 17 16 17 16 15 16 15 33 51 69 73,S39 S23 C13 C12 C11 S33 S53 S73 S86,seam,23,48.373,0.120308,-46.186,17.463
USB_DM,1,210.343,118,54 36 54 36 18 36 18 17 18 17 16 17 16 15 16 15 33 51 69 73,S39 S23 C13 C12 C11 S33 S53 S73 S86,crease,13,9.842,0.024478,-42.031,19.071
USB_DM,1,210.343,118,54 36 54 36 18 36 18 17 18 17 16 17 16 15 16 15 33 51 69 73,S39 S23 C13 C12 C11 S33 S53 S73 S86,crease,12,11.658,0.028996,-27.168,34.497
USB_DM,1,210.343,118,54 36 54 36 18 36 18 17 18 17 16 17 16 15 16 15 33 51 69 73,S39 S23 C13 C12 C11 S33 S53 S73 S86,crease,11,7.743,0.019257,6.601,48.738
USB_DM,1,210.343,118,54 36 54 36 18 36 18 17 18 17 16 17 16 15 16 15 33 51 69 73,S39 S23 C13 C12 C11 S33 S53 S73 S86,seam,33,39.113,0.097279,12.394,57.731
USB_DM,1,210.343,118,54 36 54 36 18 36 18 17 18 17 16 17 16 15 16 15 33 51 69 73,S39 S23 C13 C12 C11 S33 S53 S73 S86,seam,53,17.887,0.044485,9.905,79.628
USB_DM,1,210.343,118,54 36 54 36 18 36 18 17 18 17 16 17 16 15 16 15 33 51 69 73,S39 S23 C13 C12 C11 S33 S53 S73 S86,seam,73,39.113,0.097279,5.706,102.818
USB_DM,1,210.343,118,54 36 54 36 18 36 18 17 18 17 16 17 16 15 16 15 33 51 69 73,S39 S23 C13 C12 C11 S33 S53 S73 S86,seam,86,41.943,0.104317,4.581,114.844
USB_DP,1,202.877,110,54 37 54 37 38 39 40 41 59 73,S40 S38 S42 C36 C37 S63 S77,seam,40,96.014,0.238796,-117.238,140.754
USB_DP,1,202.877,110,54 37 54 37 38 39 40 41 59 73,S40 S38 S42 C36 C37 S63 S77,seam,38,16.455,0.040926,-105.18,155.168
USB_DP,1,202.877,110,54 37 54 37 38 39 40 41 59 73,S40 S38 S42 C36 C37 S63 S77,seam,42,12.65,0.031461,-78.749,171.792
USB_DP,1,202.877,110,54 37 54 37 38 39 40 41 59 73,S40 S38 S42 C36 C37 S63 S77,crease,36,7.526,0.018717,124.124,347.818
USB_DP,1,202.877,110,54 37 54 37 38 39 40 41 59 73,S40 S38 S42 C36 C37 S63 S77,crease,37,4.89,0.012162,130.344,316.034
USB_DP,1,202.877,110,54 37 54 37 38 39 40 41 59 73,S40 S38 S42 C36 C37 S63 S77,seam,63,37.612,0.093546,119.348,297.933
USB_DP,1,202.877,110,54 37 54 37 38 39 40 41 59 73,S40 S38 S42 C36 C37 S63 S77,seam,77,44.079,0.109629,9.97,169.342
DRV1,1,19.309,10,73 57 73 57 58,C70 S62,crease,70,35.692,0.08877,-25.034,154.049
DRV1,1,19.309,10,73 57 73 57 58,C70 S62,seam,62,7.743,0.019257,-25.846,162.309
LEDA1,1,55.91,31,58 40 58 40 22 40 22 4 22 4,S61 S43 S27,seam,61,39.113,0.097279,112.341,325.971
LEDA1,1,55.91,31,58 40 58 40 22 40 22 4 22 4,S61 S43 S27,seam,43,17.887,0.044485,269.203,-22.213
LEDA1,1,55.91,31,58 40 58 40 22 40 22 4 22 4,S61 S43 S27,seam,27,39.113,0.097279,44.463,-0.048
DRV2,1,85.819,45,73 70 73 70 69 70 69 51 69 51 33 51 33 15 33 15,S87 C65 S73 S53 S33,seam,87,35.692,0.08877,-23.243,107.837
DRV2,1,85.819,45,73 70 73 70 69 70 69 51 69 51 33 51 33 15 33 15,S87 C65 S73 S53 S33,crease,65,7.743,0.019257,-18.729,97.448
DRV2,1,85.819,45,73 70 73 70 69 70 69 51 69 51 33 51 33 15 33 15,S87 C65 S73 S53 S33,seam,73,39.113,0.097279,-18.542,93.917
DRV2,1,85.819,45,73 70 73 70 69 70 69 51 69 51 33 51 33 15 33 15,S87 C65 S73 S53 S33,seam,53,17.887,0.044485,-8.702,71.493
DRV2,1,85.819,45,73 70 73 70 69 70 69 51 69 51 33 51 33 15 33 15,S87 C65 S73 S53 S33,seam,33,39.113,0.097279,5.593,54.346
LEDA2,1,56.39,31,15 33 51 69,S33 S53 S73,seam,33,39.113,0.097279,9.674,56.377
LEDA2,1,56.39,31,15 33 51 69,S33 S53 S73,seam,53,17.887,0.044485,-4.408,73.37
LEDA2,1,56.39,31,15 33 51 69,S33 S53 S73,seam,73,39.113,0.097279,-9.984,97.059
IO1,1,143.973,87,73 57 73 57 39 57 39 40 22 40 22 4 22 4 0 4 0 14,C70 S59 C36 S43 S27 C3 S17,crease,70,35.692,0.08877,-29.438,152.883
IO1,1,143.973,87,73 57 73 57 39 57 39 40 22 40 22 4 22 4 0 4 0 14,C70 S59 C36 S43 S27 C3 S17,seam,59,43.171,0.107371,108.931,339.222
