net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,165.018,98,27 17 27 17 7 17 7 0 7 0 2 3 2 3 2,S26 S17 S8 C0 S4 S4,seam,26,15.259,0.037951,-151.931,65.252
VBUS,1,165.018,98,27 17 27 17 7 17 7 0 7 0 2 3 2 3 2,S26 S17 S8 C0 S4 S4,seam,17,52.23,0.1299,-84.193,94.359
VBUS,1,165.018,98,27 17 27 17 7 17 7 0 7 0 2 3 2 3 2,S26 S17 S8 C0 S4 S4,seam,8,30.141,0.074963,-0.001,91.326
VBUS,1,165.018,98,27 17 27 17 7 17 7 0 7 0 2 3 2 3 2,S26 S17 S8 C0 S4 S4,crease,0,21.094,0.052462,-9.041,4.258
VBUS,1,165.018,98,27 17 27 17 7 17 7 0 7 0 2 3 2 3 2,S26 S17 S8 C0 S4 S4,seam,4,20.407,0.050755,-11.931,3.126
VBUS,1,165.018,98,27 17 27 17 7 17 7 0 7 0 2 3 2 3 2,S26 S17 S8 C0 S4 S4,seam,4,20.407,0.050755,-14.074,-2.513
V5,1,350.044,195,2 0 2 0 5 15 25 35 41 32 41 32 2 12 22 32 41,C0 S6 S15 S24 S35 S47 C37 C9 C20 C31 C37,crease,0,21.094,0.052462,-10.432,4.913
V5,1,350.044,195,2 0 2 0 5 15 25 35 41 32 41 32 2 12 22 32 41,C0 S6 S15 S24 S35 S47 C37 C9 C20 C31 C37,seam,6,34.133,0.084892,-23.034,54.147
V5,1,350.044,195,2 0 2 0 5 15 25 35 41 32 41 32 2 12 22 32 41,C0 S6 S15 S24 S35 S47 C37 C9 C20 C31 C37,seam,15,49.322,0.122668,-72.797,32.976
V5,1,350.044,195,2 0 2 0 5 15 25 35 41 32 41 32 2 12 22 32 41,C0 S6 S15 S24 S35 S47 C37 C9 C20 C31 C37,seam,24,13.09,0.032557,-91.017,14.177
V5,1,350.044,195,2 0 2 0 5 15 25 35 41 32 41 32 2 12 22 32 41,C0 S6 S15 S24 S35 S47 C37 C9 C20 C31 C37,seam,35,49.322,0.122668,-100.242,-26.574
V5,1,350.044,195,2 0 2 0 5 15 25 35 41 32 41 32 2 12 22 32 41,C0 S6 S15 S24 S35 S47 C37 C9 C20 C31 C37,seam,47,34.133,0.084892,-97.668,-45.024
V5,1,350.044,195,2 0 2 0 5 15 25 35 41 32 41 32 2 12 22 32 41,C0 S6 S15 S24 S35 S47 C37 C9 C20 C31 C37,crease,37,21.094,0.052462,-42.814,-63.847
V5,1,350.044,195,2 0 2 0 5 15 25 35 41 32 41 32 2 12 22 32 41,C0 S6 S15 S24 S35 S47 C37 C9 C20 C31 C37,crease,9,57.507,0.143024,-7.796,-17.935
V5,1,350.044,195,2 0 2 0 5 15 25 35 41 32 41 32 2 12 22 32 41,C0 S6 S15 S24 S35 S47 C37 C9 C20 C31 C37,crease,20,22.8,0.056705,-10.509,-37.056
V5,1,350.044,195,2 0 2 0 5 15 25 35 41 32 41 32 2 12 22 32 41,C0 S6 S15 S24 S35 S47 C37 C9 C20 C31 C37,crease,31,57.507,0.143024,-19.403,-53.265
V5,1,350.044,195,2 0 2 0 5 15 25 35 41 32 41 32 2 12 22 32 41,C0 S6 S15 S24 S35 S47 C37 C9 C20 C31 C37,crease,37,21.094,0.052462,-33.077,-68.432
USB_DM,1,230.057,110,27 28 38 39 41,S28 C36 S41 C40,seam,28,43.341,0.107793,-186.341,7.107
