net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,114.743,61,73 66 73 66 67 49 67 49 50 68 73,S83 S71 C62 C47 C63 S85,seam,83,42.396,0.086944,48.377,131.674
VBUS,1,114.743,61,73 66 73 66 67 49 67 49 50 68 73,S83 S71 C62 C47 C63 S85,seam,71,1.587,0.003255,48.425,130.124
VBUS,1,114.743,61,73 66 73 66 67 49 67 49 50 68 73,S83 S71 C62 C47 C63 S85,crease,62,37.912,0.077748,34.16,113.674
VBUS,1,114.743,61,73 66 73 66 67 49 67 49 50 68 73,S83 S71 C62 C47 C63 S85,crease,47,2.312,0.00474,33.778,112.681
VBUS,1,114.743,61,73 66 73 66 67 49 67 49 50 68 73,S83 S71 C62 C47 C63 S85,crease,63,37.612,0.077134,28.476,111.499
VBUS,1,114.743,61,73 66 73 66 67 49 67 49 50 68 73,S83 S71 C62 C47 C63 S85,seam,85,44.079,0.090396,13.125,117.753
V5,1,109.557,65,73 67 73 67 73 67 73 60 73 60 73,S84 S84 S84 S78 S78,seam,84,43.658,0.089533,27.471,123.309
V5,1,109.557,65,73 67 73 67 73 67 73 60 73 60 73,S84 S84 S84 S78 S78,seam,84,43.658,0.089533,28.958,123.887
V5,1,109.557,65,73 67 73 67 73 67 73 60 73 60 73,S84 S84 S84 S78 S78,seam,84,43.658,0.089533,43.836,129.667
V5,1,109.557,65,73 67 73 67 73 67 73 60 73 60 73,S84 S84 S84 S78 S78,seam,78,43.658,0.089533,37.804,166.577
V5,1,109.557,65,73 67 73 67 73 67 73 60 73 60 73,S84 S84 S84 S78 S78,seam,78,43.658,0.089533,33.046,167.114
USB_DM,1,12.361,3,73,,,,,,,
USB_DP,1,21.174,4,73,,,,,,,
DRV1,1,85.531,51,73 55 73 55,C68,crease,68,17.6,0.036093,-49.222,141.802
LEDA1,1,16.122,8,55,,,,,,,
GND,1,166.143,91,73 59 73 59 58 59 58 73 55 73 55,S77 S64 C71 C68,seam,77,44.079,0.090396,17.48,168.716
GND,1,166.143,91,73 59 73 59 58 59 58 73 55 73 55,S77 S64 C71 C68,seam,64,3.968,0.008137,3.394,159.921
GND,1,166.143,91,73 59 73 59 58 59 58 73 55 73 55,S77 S64 C71 C68,crease,71,41.943,0.086016,-13.277,157.062
GND,1,166.143,91,73 59 73 59 58 59 58 73 55 73 55,S77 S64 C71 C68,crease,68,17.6,0.036093,-45.705,144.996
