net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,75.737,42,73 60 73 60 59 60 59 58 59 58 73,S78 C54 S64 C71,seam,78,43.658,0.089533,42.562,166.04
VBUS,1,75.737,42,73 60 73 60 59 60 59 58 59 58 73,S78 C54 S64 C71,crease,54,1.671,0.003426,25.342,175.362
VBUS,1,75.737,42,73 60 73 60 59 60 59 58 59 58 73,S78 C54 S64 C71,seam,64,3.968,0.008137,1.508,162.313
VBUS,1,75.737,42,73 60 73 60 59 60 59 58 59 58 73,S78 C54 S64 C71,crease,71,41.943,0.086016,-1.352,158.635
V5,1,125.021,75,73 58 73 58 59 73 59 60 73 67 73 67 73,C71 S64 S77 C54 S78 S84 S84,crease,71,41.943,0.086016,1.63,159.029
V5,1,125.021,75,73 58 73 58 59 73 59 60 73 67 73 67 73,C71 S64 S77 C54 S78 S84 S84,seam,64,3.968,0.008137,3.394,159.921
V5,1,125.021,75,73 58 73 58 59 73 59 60 73 67 73 67 73,C71 S64 S77 C54 S78 S84 S84,seam,77,44.079,0.090396,17.48,168.716
V5,1,125.021,75,73 58 73 58 59 73 59 60 73 67 73 67 73,C71 S64 S77 C54 S78 S84 S84,crease,54,1.671,0.003426,23.606,170.64
V5,1,125.021,75,73 58 73 58 59 73 59 60 73 67 73 67 73,C71 S64 S77 C54 S78 S84 S84,seam,78,43.658,0.089533,37.804,166.577
V5,1,125.021,75,73 58 73 58 59 73 59 60 73 67 73 67 73,C71 S64 S77 C54 S78 S84 S84,seam,84,43.658,0.089533,43.836,129.667
V5,1,125.021,75,73 58 73 58 59 73 59 60 73 67 73 67 73,C71 S64 S77 C54 S78 S84 S84,seam,84,43.658,0.089533,33.421,125.621
USB_DM,1,12.361,3,73,,,,,,,
USB_DP,1,21.174,4,73,,,,,,,
DRV1,1,90.475,57,73 55 73 55,C68,crease,68,17.6,0.036093,-48.05,142.867
LEDA1,1,16.122,8,55,,,,,,,
GND,1,170.517,97,73 67 73 67 73 55 73 55,S84 S84 C68,seam,84,43.658,0.089533,28.958,123.887
GND,1,170.517,97,73 67 73 67 73 55 73 55,S84 S84 C68,seam,84,43.658,0.089533,27.471,123.309
GND,1,170.517,97,73 67 73 67 73 55 73 55,S84 S84 C68,crease,68,17.6,0.036093,-52.74,138.609
