net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,47.68,25,0,,,,,,,
V5,1,158.037,94,0 13 31 49 67 73,S15 C28 S51 C62 S84,seam,15,43.658,0.089533,55.975,56.026
V5,1,158.037,94,0 13 31 49 67 73,S15 C28 S51 C62 S84,crease,28,37.912,0.077748,51.35,74.929
V5,1,158.037,94,0 13 31 49 67 73,S15 C28 S51 C62 S84,seam,51,16.859,0.034575,45.836,94.798
V5,1,158.037,94,0 13 31 49 67 73,S15 C28 S51 C62 S84,crease,62,37.912,0.077748,45.413,118.046
V5,1,158.037,94,0 13 31 49 67 73,S15 C28 S51 C62 S84,seam,84,43.658,0.089533,40.86,128.511
USB_DM,1,95.597,55,0 14 32 50 49 50 49 67 73,S17 C30 S52 C47 C62 S84,seam,17,44.079,0.090396,46.92,50.526
USB_DM,1,95.597,55,0 14 32 50 49 50 49 67 73,S17 C30 S52 C47 C62 S84,crease,30,37.612,0.077134,41.541,70.804
USB_DM,1,95.597,55,0 14 32 50 49 50 49 67 73,S17 C30 S52 C47 C62 S84,seam,52,16.617,0.034077,38.745,91.83
USB_DM,1,95.597,55,0 14 32 50 49 50 49 67 73,S17 C30 S52 C47 C62 S84,crease,47,2.312,0.00474,35.064,109.803
USB_DM,1,95.597,55,0 14 32 50 49 50 49 67 73,S17 C30 S52 C47 C62 S84,crease,62,37.912,0.077748,35.566,114.22
USB_DM,1,95.597,55,0 14 32 50 49 50 49 67 73,S17 C30 S52 C47 C62 S84,seam,84,43.658,0.089533,28.958,123.887
USB_DP,1,110.789,56,0 6 24 42 60 73,S7 S29 S45 S65 S78,seam,7,43.658,0.089533,71.152,34.779
USB_DP,1,110.789,56,0 6 24 42 60 73,S7 S29 S45 S65 S78,seam,29,37.912,0.077748,88.519,25.03
USB_DP,1,110.789,56,0 6 24 42 60 73,S7 S29 S45 S65 S78,seam,45,16.859,0.034575,241.77,28.481
USB_DP,1,110.789,56,0 6 24 42 60 73,S7 S29 S45 S65 S78,seam,65,37.912,0.077748,125.023,274.313
USB_DP,1,110.789,56,0 6 24 42 60 73,S7 S29 S45 S65 S78,seam,78,43.658,0.089533,34.632,166.935
DRV1,1,54.73,31,73 58 73 58 59 73,C71 S64 S77,crease,71,41.943,0.086016,3.12,159.225
DRV1,1,54.73,31,73 58 73 58 59 73,C71 S64 S77,seam,64,3.968,0.008137,3.394,159.921
DRV1,1,54.73,31,73 58 73 58 59 73,C71 S64 S77,seam,77,44.079,0.090396,17.48,168.716
LEDA1,1,21.384,11,73,,,,,,,
DRV2,1,86.682,52,73 55 73 55,C68,crease,68,17.6,0.036093,-45.705,144.996
LEDA2,1,16.122,8,55,,,,,,,
IO1,1,103.579,56,73 58 73 58 40 58 40 22 40 22 4 22 4 0 4 0,C71 S61 S43 S27 C3,crease,71,41.943,0.086016,-1.352,158.635
IO1,1,103.579,56,73 58 73 58 40 58 40 22 40 22 4 22 4 0 4 0,C71 S61 S43 S27 C3,seam,61,39.113,0.080212,116.11,311.252
IO1,1,103.579,56,73 58 73 58 40 58 40 22 40 22 4 22 4 0 4 0,C71 S61 S43 S27 C3,seam,43,17.887,0.036681,261.169,-7.023
IO1,1,103.579,56,73 58 73 58 40 58 40 22 40 22 4 22 4 0 4 0,C71 S61 S43 S27 C3,seam,27,39.113,0.080212,55.703,7.741
IO1,1,103.579,56,73 58 73 58 40 58 40 22 40 22 4 22 4 0 4 0,C71 S61 S43 S27 C3,crease,3,41.943,0.086016,56.009,22.282
GND,1,340.346,183,0 1 19 37 55 73 67 73 67 73,C0 C14 S36 C52 C68 S84 S84,crease,0,17.6,0.036093,7.126,0.0
GND,1,340.346,183,0 1 19 37 55 73 67 73 67 73,C0 C14 S36 C52 C68 S84 S84,crease,14,48.373,0.099201,-17.814,-26.037
GND,1,340.346,183,0 1 19 37 55 73 67 73 67 73,C0 C14 S36 C52 C68 S84 S84,seam,36,48.054,0.098548,-27.999,-48.201
GND,1,340.346,183,0 1 19 37 55 73 67 73 67 73,C0 C14 S36 C52 C68 S84 S84,crease,52,48.373,0.099201,-84.017,145.38
GND,1,340.346,183,0 1 19 37 55 73 67 73 67 73,C0 C14 S36 C52 C68 S84 S84,crease,68,17.6,0.036093,-52.74,138.609
GND,1,340.346,183,0 1 19 37 55 73 67 73 67 73,C0 C14 S36 C52 C68 S84 S84,seam,84,43.658,0.089533,27.471,123.309
GND,1,340.346,183,0 1 19 37 55 73 67 73 67 73,C0 C14 S36 C52 C68 S84 S84,seam,84,43.658,0.089533,33.421,125.621
