net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,45.964,27,0 5 0 5 0,S5 S5,seam,5,-44.079,-0.090396,69.978,33.765
VBUS,1,45.964,27,0 5 0 5 0,S5 S5,seam,5,-44.079,-0.090396,60.69,26.075
V5,1,112.586,62,0 5 23 41 59 60 73 0,S5 S28 S44 S63 C54 S78,seam,5,-44.079,-0.090396,64.173,28.959
V5,1,112.586,62,0 5 23 41 59 60 73 0,S5 S28 S44 S63 C54 S78,seam,28,-37.612,-0.077134,78.194,13.862
V5,1,112.586,62,0 5 23 41 59 60 73 0,S5 S28 S44 S63 C54 S78,seam,44,-16.617,-0.034077,249.181,14.977
V5,1,112.586,62,0 5 23 41 59 60 73 0,S5 S28 S44 S63 C54 S78,seam,63,-37.612,-0.077134,122.936,283.13
V5,1,112.586,62,0 5 23 41 59 60 73 0,S5 S28 S44 S63 C54 S78,crease,54,-1.671,-0.003426,25.921,176.936
V5,1,112.586,62,0 5 23 41 59 60 73 0,S5 S28 S44 S63 C54 S78,seam,78,-43.658,-0.089533,26.702,167.831
USB_DM,1,128.393,74,0 14 32 50 68 69 73,S17 C30 S52 C63 C64 S86,seam,17,-44.079,-0.090396,40.491,46.593
USB_DM,1,128.393,74,0 14 32 50 68 69 73,S17 C30 S52 C63 C64 S86,crease,30,-37.612,-0.077134,27.508,64.883
USB_DM,1,128.393,74,0 14 32 50 68 69 73,S17 C30 S52 C63 C64 S86,seam,52,-16.617,-0.034077,14.217,81.48
USB_DM,1,128.393,74,0 14 32 50 68 69 73,S17 C30 S52 C63 C64 S86,crease,63,-37.612,-0.077134,12.823,105.524
USB_DM,1,128.393,74,0 14 32 50 68 69 73,S17 C30 S52 C63 C64 S86,crease,64,-3.968,-0.008137,8.366,111.226
USB_DM,1,128.393,74,0 14 32 50 68 69 73,S17 C30 S52 C63 C64 S86,seam,86,-41.943,-0.086016,6.016,115.291
