net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,175.635,108,54 37 54 37 38 56 73 57 73 57 73 58 73 58 59,S40 S38 C53 C69 C70 C70 C71 S64,seam,40,-96.014,-0.196902,-114.385,139.823
VBUS,1,175.635,108,54 37 54 37 38 56 73 57 73 57 73 58 73 58 59,S40 S38 C53 C69 C70 C70 C71 S64,seam,38,-16.455,-0.033746,-102.372,153.975
VBUS,1,175.635,108,54 37 54 37 38 56 73 57 73 57 73 58 73 58 59,S40 S38 C53 C69 C70 C70 C71 S64,crease,53,-47.933,-0.098298,-62.516,157.12
VBUS,1,175.635,108,54 37 54 37 38 56 73 57 73 57 73 58 73 58 59,S40 S38 C53 C69 C70 C70 C71 S64,crease,69,-25.676,-0.052656,-35.01,150.607
VBUS,1,175.635,108,54 37 54 37 38 56 73 57 73 57 73 58 73 58 59,S40 S38 C53 C69 C70 C70 C71 S64,crease,70,-35.692,-0.073196,-30.906,152.495
VBUS,1,175.635,108,54 37 54 37 38 56 73 57 73 57 73 58 73 58 59,S40 S38 C53 C69 C70 C70 C71 S64,crease,70,-35.692,-0.073196,-20.629,155.215
VBUS,1,175.635,108,54 37 54 37 38 56 73 57 73 57 73 58 73 58 59,S40 S38 C53 C69 C70 C70 C71 S64,crease,71,-41.943,-0.086016,-13.277,157.062
VBUS,1,175.635,108,54 37 54 37 38 56 73 57 73 57 73 58 73 58 59,S40 S38 C53 C69 C70 C70 C71 S64,seam,64,3.968,0.008137,2.451,161.117
V5,1,50.423,30,59 73 69 73 69 68 69 68,S77 S86 C64,seam,77,44.079,0.090396,6.965,169.592
V5,1,50.423,30,59 73 69 73 69 68 69 68,S77 S86 C64,seam,86,-41.943,-0.086016,6.016,115.291
V5,1,50.423,30,59 73 69 73 69 68 69 68,S77 S86 C64,crease,64,-3.968,-0.008137,8.72,112.707
