net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,148.148,85,54 72 71 72 71 73 57 73 57 58 59,S56 C67 S88 C70 S62 S64,seam,56,48.373,0.099201,-77.012,75.983
VBUS,1,148.148,85,54 72 71 72 71 73 57 73 57 58 59,S56 C67 S88 C70 S62 S64,crease,67,9.842,0.020183,-73.169,88.439
VBUS,1,148.148,85,54 72 71 72 71 73 57 73 57 58 59,S56 C67 S88 C70 S62 S64,seam,88,25.676,0.052656,-36.784,107.111
VBUS,1,148.148,85,54 72 71 72 71 73 57 73 57 58 59,S56 C67 S88 C70 S62 S64,crease,70,35.692,0.073196,-30.906,152.495
VBUS,1,148.148,85,54 72 71 72 71 73 57 73 57 58 59,S56 C67 S88 C70 S62 S64,seam,62,7.743,0.015878,-23.064,161.051
VBUS,1,148.148,85,54 72 71 72 71 73 57 73 57 58 59,S56 C67 S88 C70 S62 S64,seam,64,3.968,0.008137,2.451,161.117
V5,1,108.055,64,59 60 73 68 73 68,C54 S78 S85,crease,54,1.671,0.003426,25.921,176.936
V5,1,108.055,64,59 60 73 68 73 68,C54 S78 S85,seam,78,43.658,0.089533,36.218,166.756
V5,1,108.055,64,59 60 73 68 73 68,C54 S78 S85,seam,85,44.079,0.090396,11.717,117.216
USB_DM,1,163.724,82,54 36 54 36 35 36 35 34 35 34 52 51 52 51 69 73,S39 C35 C34 S54 C49 S73 S86,seam,39,48.054,0.098548,-84.674,32.669
USB_DM,1,163.724,82,54 36 54 36 35 36 35 34 35 34 52 51 52 51 69 73,S39 C35 C34 S54 C49 S73 S86,crease,35,16.455,0.033746,-69.111,38.693
USB_DM,1,163.724,82,54 36 54 36 35 36 35 34 35 34 52 51 52 51 69 73,S39 C35 C34 S54 C49 S73 S86,crease,34,12.65,0.025941,-46.288,52.028
USB_DM,1,163.724,82,54 36 54 36 35 36 35 34 35 34 52 51 52 51 69 73,S39 C35 C34 S54 C49 S73 S86,seam,54,22.273,0.045677,-37.817,58.233
USB_DM,1,163.724,82,54 36 54 36 35 36 35 34 35 34 52 51 52 51 69 73,S39 C35 C34 S54 C49 S73 S86,crease,49,7.526,0.015434,-20.299,84.696
USB_DM,1,163.724,82,54 36 54 36 35 36 35 34 35 34 52 51 52 51 69 73,S39 C35 C34 S54 C49 S73 S86,seam,73,39.113,0.080212,-5.705,98.629
USB_DM,1,163.724,82,54 36 54 36 35 36 35 34 35 34 52 51 52 51 69 73,S39 C35 C34 S54 C49 S73 S86,seam,86,41.943,0.086016,6.016,115.291
USB_DP,1,155.926,77,54 36 54 36 35 36 35 53 52 53 52 51 52 51 69 73,S39 C35 S55 C50 C49 S73 S86,seam,39,48.054,0.098548,-78.183,36.907
