net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,267.486,151,54 53 54 53 52 53 52 51 52 51 33 51 33 15 33 15 0 15 0 3 4 22 40 58 59,C51 C50 C49 S53 S33 S19 C2 S4 S27 S43 S61 S64,crease,51,16.455,0.033746,-72.023,74.806
VBUS,1,267.486,151,54 53 54 53 52 53 52 51 52 51 33 51 33 15 33 15 0 15 0 3 4 22 40 58 59,C51 C50 C49 S53 S33 S19 C2 S4 S27 S43 S61 S64,crease,50,12.65,0.025941,-48.551,81.42
VBUS,1,267.486,151,54 53 54 53 52 53 52 51 52 51 33 51 33 15 33 15 0 15 0 3 4 22 40 58 59,C51 C50 C49 S53 S33 S19 C2 S4 S27 S43 S61 S64,crease,49,7.526,0.015434,-20.438,87.764
VBUS,1,267.486,151,54 53 54 53 52 53 52 51 52 51 33 51 33 15 33 15 0 15 0 3 4 22 40 58 59,C51 C50 C49 S53 S33 S19 C2 S4 S27 S43 S61 S64,seam,53,17.887,0.036681,2.749,76.499
VBUS,1,267.486,151,54 53 54 53 52 53 52 51 52 51 33 51 33 15 33 15 0 15 0 3 4 22 40 58 59,C51 C50 C49 S53 S33 S19 C2 S4 S27 S43 S61 S64,seam,33,39.113,0.080212,16.475,59.763
VBUS,1,267.486,151,54 53 54 53 52 53 52 51 52 51 33 51 33 15 33 15 0 15 0 3 4 22 40 58 59,C51 C50 C49 S53 S33 S19 C2 S4 S27 S43 S61 S64,seam,19,41.943,0.086016,31.977,40.406
VBUS,1,267.486,151,54 53 54 53 52 53 52 51 52 51 33 51 33 15 33 15 0 15 0 3 4 22 40 58 59,C51 C50 C49 S53 S33 S19 C2 S4 S27 S43 S61 S64,crease,2,35.692,0.073196,33.032,7.89
VBUS,1,267.486,151,54 53 54 53 52 53 52 51 52 51 33 51 33 15 33 15 0 15 0 3 4 22 40 58 59,C51 C50 C49 S53 S33 S19 C2 S4 S27 S43 S61 S64,seam,4,7.743,0.015878,36.635,0.529
VBUS,1,267.486,151,54 53 54 53 52 53 52 51 52 51 33 51 33 15 33 15 0 15 0 3 4 22 40 58 59,C51 C50 C49 S53 S33 S19 C2 S4 S27 S43 S61 S64,seam,27,39.113,0.080212,38.218,-4.375
VBUS,1,267.486,151,54 53 54 53 52 53 52 51 52 51 33 51 33 15 33 15 0 15 0 3 4 22 40 58 59,C51 C50 C49 S53 S33 S19 C2 S4 S27 S43 S61 S64,seam,43,17.887,0.036681,270.664,-24.975
