net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,35.511,20,0,,,,,,,
V5,1,57.976,33,0,,,,,,,
USB_DM,1,40.938,18,0,,,,,,,
USB_DP,1,55.727,24,0,,,,,,,
DRV1,1,131.043,84,0 1 5,S0 S5,seam,0,90.0,0.184569,29.714,0.0
DRV1,1,131.043,84,0 1 5,S0 S5,seam,5,32.501,0.066652,-47.543,-32.762
LEDA1,1,16.332,10,5,,,,,,,
DRV2,1,117.437,71,0 2 6,S1 S7,seam,1,90.0,0.184569,35.81,88.381
DRV2,1,117.437,71,0 2 6,S1 S7,seam,7,32.501,0.066652,-47.543,124.191
LEDA2,1,16.268,10,6,,,,,,,
IO1,1,159.865,106,0 3 7,C0 C5,crease,0,-90.0,-0.184569,0.0,44.952
IO1,1,159.865,106,0 3 7,C0 C5,crease,5,-90.0,-0.184569,-85.333,44.964
GND,1,264.79,156,0 2 6 7 5 7 5,S1 S7 S9 S10,seam,1,90.0,0.184569,49.524,88.381
GND,1,264.79,156,0 2 6 7 5 7 5,S1 S7 S9 S10,seam,7,32.501,0.066652,-47.543,136.381
GND,1,264.79,156,0 2 6 7 5 7 5,S1 S7 S9 S10,seam,9,57.499,0.117917,-111.125,104.787
GND,1,264.79,156,0 2 6 7 5 7 5,S1 S7 S9 S10,seam,10,57.499,0.117917,-111.125,-16.406
