net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,152.51,82,6 3 6 3 7 5 7 5,C4 C5 S10,crease,4,90.0,0.184569,-71.651,73.022
VBUS,1,152.51,82,6 3 6 3 7 5 7 5,C4 C5 S10,crease,5,90.0,0.184569,-85.333,63.531
VBUS,1,152.51,82,6 3 6 3 7 5 7 5,C4 C5 S10,seam,10,57.499,0.117917,-115.218,-22.832
V5,1,327.55,199,5 4 5 4 1 4 1 4 0 4 0 3 5 7,S6 S4 S2 C0 C3 S10,seam,6,90.0,0.184569,-180.44,17.85
V5,1,327.55,199,5 4 5 4 1 4 1 4 0 4 0 3 5 7,S6 S4 S2 C0 C3 S10,seam,4,90.0,0.184569,-45.242,-85.333
V5,1,327.55,199,5 4 5 4 1 4 1 4 0 4 0 3 5 7,S6 S4 S2 C0 C3 S10,seam,2,90.0,0.184569,85.333,6.857
V5,1,327.55,199,5 4 5 4 1 4 1 4 0 4 0 3 5 7,S6 S4 S2 C0 C3 S10,crease,0,90.0,0.184569,0.0,6.857
V5,1,327.55,199,5 4 5 4 1 4 1 4 0 4 0 3 5 7,S6 S4 S2 C0 C3 S10,crease,3,90.0,0.184569,-57.316,6.227
V5,1,327.55,199,5 4 5 4 1 4 1 4 0 4 0 3 5 7,S6 S4 S2 C0 C3 S10,seam,10,57.499,0.117917,-111.125,-16.406
USB_DM,1,74.613,36,6 7,S9,seam,9,57.499,0.117917,-93.93,77.799
USB_DP,1,75.296,33,6 7,S9,seam,9,57.499,0.117917,-96.387,81.654
DRV1,1,119.25,66,7 6 7 6 2 6 2,S9 S7,seam,9,57.499,0.117917,-118.493,116.354
DRV1,1,119.25,66,7 6 7 6 2 6 2,S9 S7,seam,7,32.501,0.066652,-47.543,92.191
LEDA1,1,223.38,112,2 3 7 5 7 5 1 5 1 4,C2 C5 S10 S5 S4,crease,2,90.0,0.184569,-43.709,88.381
LEDA1,1,223.38,112,2 3 7 5 7 5 1 5 1 4,C2 C5 S10 S5 S4,crease,5,90.0,0.184569,-85.333,58.889
LEDA1,1,223.38,112,2 3 7 5 7 5 1 5 1 4,C2 C5 S10 S5 S4,seam,10,57.499,0.117917,-104.574,-6.125
LEDA1,1,223.38,112,2 3 7 5 7 5 1 5 1 4,C2 C5 S10 S5 S4,seam,5,32.501,0.066652,-47.543,-44.952
LEDA1,1,223.38,112,2 3 7 5 7 5 1 5 1 4,C2 C5 S10 S5 S4,seam,4,90.0,0.184569,-5.368,-85.333
DRV2,1,225.822,121,7 4 7 4 7 6 7 6 2 6 2 3,C6 C6 S9 S7 C2,crease,6,90.0,0.184569,-170.667,40.322
DRV2,1,225.822,121,7 4 7 4 7 6 7 6 2 6 2 3,C6 C6 S9 S7 C2,crease,6,90.0,0.184569,-170.667,54.248
DRV2,1,225.822,121,7 4 7 4 7 6 7 6 2 6 2 3,C6 C6 S9 S7 C2,seam,9,57.499,0.117917,-125.862,127.92
DRV2,1,225.822,121,7 4 7 4 7 6 7 6 2 6 2 3,C6 C6 S9 S7 C2,seam,7,32.501,0.066652,-47.543,112.0
DRV2,1,225.822,121,7 4 7 4 7 6 7 6 2 6 2 3,C6 C6 S9 S7 C2,crease,2,90.0,0.184569,-36.041,88.381
LEDA2,1,93.271,55,3 0 3 0,C0,crease,0,90.0,0.184569,0.0,5.333
IO1,1,324.753,177,7 4 7 4 6 2 6 2 3 5,C6 S8 S7 C2 C3,crease,6,90.0,0.184569,-170.667,35.681
IO1,1,324.753,177,7 4 7 4 6 2 6 2 3 5,C6 S8 S7 C2 C3,seam,8,90.0,0.184569,-179.137,69.701
IO1,1,324.753,177,7 4 7 4 6 2 6 2 3 5,C6 S8 S7 C2 C3,seam,7,32.501,0.066652,-47.543,118.095
IO1,1,324.753,177,7 4 7 4 6 2 6 2 3 5,C6 S8 S7 C2 C3,crease,2,90.0,0.184569,-32.973,88.381
IO1,1,324.753,177,7 4 7 4 6 2 6 2 3 5,C6 S8 S7 C2 C3,crease,3,90.0,0.184569,-79.469,20.34
DRV3,1,46.902,23,7 4 7 4 7,C6 C6,crease,6,90.0,0.184569,-170.667,31.039
DRV3,1,46.902,23,7 4 7 4 7,C6 C6,crease,6,90.0,0.184569,-170.667,57.342
LEDA3,1,68.718,37,7 6 7 6,S9,seam,9,57.499,0.117917,-98.843,85.51
IO2,1,280.644,165,7 4 7 4 0 4 0 3 1 3 1,C6 S2 C0 C1,crease,6,90.0,0.184569,-170.667,26.397
IO2,1,280.644,165,7 4 7 4 0 4 0 3 1 3 1,C6 S2 C0 C1,seam,2,90.0,0.184569,85.333,25.143
IO2,1,280.644,165,7 4 7 4 0 4 0 3 1 3 1,C6 S2 C0 C1,crease,0,90.0,0.184569,0.0,0.762
IO2,1,280.644,165,7 4 7 4 0 4 0 3 1 3 1,C6 S2 C0 C1,crease,1,90.0,0.184569,-0.767,0.0
IO3,1,289.994,171,7 4 7 4 0 4 0 3 1 3 1,C6 S2 C0 C1,crease,6,90.0,0.184569,-170.667,27.944
IO3,1,289.994,171,7 4 7 4 0 4 0 3 1 3 1,C6 S2 C0 C1,seam,2,90.0,0.184569,85.333,28.191
IO3,1,289.994,171,7 4 7 4 0 4 0 3 1 3 1,C6 S2 C0 C1,crease,0,90.0,0.184569,0.0,9.905
IO3,1,289.994,171,7 4 7 4 0 4 0 3 1 3 1,C6 S2 C0 C1,crease,1,90.0,0.184569,-3.834,0.0
IO4,1,74.662,41,7 4 7 4 1 4 1,C6 S4,crease,6,90.0,0.184569,-170.667,24.85
IO4,1,74.662,41,7 4 7 4 1 4 1,C6 S4,seam,4,90.0,0.184569,-40.642,-85.333
SWSIG,1,123.793,67,7 6 7 6 2 6 2,S9 S7,seam,9,57.499,0.117917,-95.568,80.369
SWSIG,1,123.793,67,7 6 7 6 2 6 2,S9 S7,seam,7,32.501,0.066652,-47.543,102.857
SWPU,1,115.599,59,2 6 7,S7 S9,seam,7,32.501,0.066652,-47.543,99.81
SWPU,1,115.599,59,2 6 7,S7 S9,seam,9,57.499,0.117917,-97.206,82.94
GND,1,379.195,218,6 3 6 3 6 3 6 3 2 3 2 6 7 5 7 5 1 5 1 4 1 0 1 0,C4 C4 C4 C2 S9 S10 S5 S4 S0,crease,4,90.0,0.184569,-78.166,68.871
GND,1,379.195,218,6 3 6 3 6 3 6 3 2 3 2 6 7 5 7 5 1 5 1 4 1 0 1 0,C4 C4 C4 C2 S9 S10 S5 S4 S0,crease,4,90.0,0.184569,-74.257,71.362
GND,1,379.195,218,6 3 6 3 6 3 6 3 2 3 2 6 7 5 7 5 1 5 1 4 1 0 1 0,C4 C4 C4 C2 S9 S10 S5 S4 S0,crease,4,90.0,0.184569,-57.316,82.154
GND,1,379.195,218,6 3 6 3 6 3 6 3 2 3 2 6 7 5 7 5 1 5 1 4 1 0 1 0,C4 C4 C4 C2 S9 S10 S5 S4 S0,crease,2,90.0,0.184569,-46.776,88.381
GND,1,379.195,218,6 3 6 3 6 3 6 3 2 3 2 6 7 5 7 5 1 5 1 4 1 0 1 0,C4 C4 C4 C2 S9 S10 S5 S4 S0,seam,9,57.499,0.117917,-107.85,99.647
GND,1,379.195,218,6 3 6 3 6 3 6 3 2 3 2 6 7 5 7 5 1 5 1 4 1 0 1 0,C4 C4 C4 C2 S9 S10 S5 S4 S0,seam,10,57.499,0.117917,-118.493,-27.973
GND,1,379.195,218,6 3 6 3 6 3 6 3 2 3 2 6 7 5 7 5 1 5 1 4 1 0 1 0,C4 C4 C4 C2 S9 S10 S5 S4 S0,seam,5,32.501,0.066652,-47.543,-76.952
GND,1,379.195,218,6 3 6 3 6 3 6 3 2 3 2 6 7 5 7 5 1 5 1 4 1 0 1 0,C4 C4 C4 C2 S9 S10 S5 S4 S0,seam,4,90.0,0.184569,-11.502,-85.333
GND,1,379.195,218,6 3 6 3 6 3 6 3 2 3 2 6 7 5 7 5 1 5 1 4 1 0 1 0,C4 C4 C4 C2 S9 S10 S5 S4 S0,seam,0,90.0,0.184569,6.857,0.0
