net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,154.631,83,6 3 6 3 7 5 7 5,C4 C5 S10,crease,4,90.0,0.184569,-71.651,73.022
VBUS,1,154.631,83,6 3 6 3 7 5 7 5,C4 C5 S10,crease,5,90.0,0.184569,-85.333,60.437
VBUS,1,154.631,83,6 3 6 3 7 5 7 5,C4 C5 S10,seam,10,57.499,0.117917,-115.218,-22.832
V5,1,349.851,215,5 1 5 1 5 4 5 4 0 4 0 3 7,S5 S6 S2 C0 C5,seam,5,32.501,0.066652,-47.543,-83.048
V5,1,349.851,215,5 1 5 1 5 4 5 4 0 4 0 3 7,S5 S6 S2 C0 C5,seam,6,90.0,0.184569,-207.806,0.415
V5,1,349.851,215,5 1 5 1 5 4 5 4 0 4 0 3 7,S5 S6 S2 C0 C5,seam,2,90.0,0.184569,85.333,37.333
V5,1,349.851,215,5 1 5 1 5 4 5 4 0 4 0 3 7,S5 S6 S2 C0 C5,crease,0,90.0,0.184569,0.0,37.333
V5,1,349.851,215,5 1 5 1 5 4 5 4 0 4 0 3 7,S5 S6 S2 C0 C5,crease,5,90.0,0.184569,-85.333,37.228
USB_DM,1,70.069,34,6 7,S9,seam,9,57.499,0.117917,-96.387,81.654
USB_DP,1,83.265,39,6 7,S9,seam,9,57.499,0.117917,-108.668,100.932
DRV1,1,119.25,66,7 6 7 6 2 6 2,S9 S7,seam,9,57.499,0.117917,-118.493,116.354
DRV1,1,119.25,66,7 6 7 6 2 6 2,S9 S7,seam,7,32.501,0.066652,-47.543,92.191
LEDA1,1,195.545,113,2 4,S3,seam,3,90.0,0.184569,-22.238,173.714
DRV2,1,268.555,171,7 4 7 4 0 4 0 3,C6 S2 C0,crease,6,90.0,0.184569,-170.667,38.775
DRV2,1,268.555,171,7 4 7 4 0 4 0 3,C6 S2 C0,seam,2,90.0,0.184569,85.333,34.286
DRV2,1,268.555,171,7 4 7 4 0 4 0 3,C6 S2 C0,crease,0,90.0,0.184569,0.0,34.286
LEDA2,1,109.844,65,3 0 3 0,C0,crease,0,90.0,0.184569,0.0,5.333
IO1,1,325.731,192,7 4 7 4 0 4 0 3 5,C6 S2 C0 C3,crease,6,90.0,0.184569,-170.667,35.681
IO1,1,325.731,192,7 4 7 4 0 4 0 3 5,C6 S2 C0 C3,seam,2,90.0,0.184569,85.333,31.238
IO1,1,325.731,192,7 4 7 4 0 4 0 3 5,C6 S2 C0 C3,crease,0,90.0,0.184569,0.0,31.238
IO1,1,325.731,192,7 4 7 4 0 4 0 3 5,C6 S2 C0 C3,crease,3,90.0,0.184569,-57.316,6.227
DRV3,1,33.914,17,7 4 7 4 7,C6 C6,crease,6,90.0,0.184569,-170.667,41.87
DRV3,1,33.914,17,7 4 7 4 7,C6 C6,crease,6,90.0,0.184569,-170.667,51.153
LEDA3,1,225.99,132,7 4 7 4 2 4 2 3 6,C6 S3 C2 C4,crease,6,90.0,0.184569,-170.667,54.248
LEDA3,1,225.99,132,7 4 7 4 2 4 2 3 6,C6 S3 C2 C4,seam,3,90.0,0.184569,-45.242,173.714
LEDA3,1,225.99,132,7 4 7 4 2 4 2 3 6,C6 S3 C2 C4,crease,2,90.0,0.184569,-37.574,88.381
LEDA3,1,225.99,132,7 4 7 4 2 4 2 3 6,C6 S3 C2 C4,crease,4,90.0,0.184569,-53.407,84.645
IO2,1,278.311,163,7 4 7 4 0 4 0 1,C6 S2 S0,crease,6,90.0,0.184569,-170.667,26.397
IO2,1,278.311,163,7 4 7 4 0 4 0 1,C6 S2 S0,seam,2,90.0,0.184569,85.333,22.095
IO2,1,278.311,163,7 4 7 4 0 4 0 1,C6 S2 S0,seam,0,90.0,0.184569,2.286,0.0
IO3,1,288.272,169,7 4 7 4 0 4 0 3 1 3 1,C6 S2 C0 C1,crease,6,90.0,0.184569,-170.667,29.492
IO3,1,288.272,169,7 4 7 4 0 4 0 3 1 3 1,C6 S2 C0 C1,seam,2,90.0,0.184569,85.333,26.667
IO3,1,288.272,169,7 4 7 4 0 4 0 3 1 3 1,C6 S2 C0 C1,crease,0,90.0,0.184569,0.0,8.381
IO3,1,288.272,169,7 4 7 4 0 4 0 3 1 3 1,C6 S2 C0 C1,crease,1,90.0,0.184569,-2.3,0.0
IO4,1,124.845,74,7 4 7 4 1 4 1,C6 S4,crease,6,90.0,0.184569,-170.667,27.944
IO4,1,124.845,74,7 4 7 4 1 4 1,C6 S4,seam,4,90.0,0.184569,-29.906,-85.333
SWSIG,1,112.361,65,7 6 7 6 2 6 2,S9 S7,seam,9,57.499,0.117917,-109.487,102.217
SWSIG,1,112.361,65,7 6 7 6 2 6 2,S9 S7,seam,7,32.501,0.066652,-47.543,104.381
SWPU,1,294.637,171,2 3 7,C2 C5,crease,2,90.0,0.184569,-34.507,88.381
SWPU,1,294.637,171,2 3 7,C2 C5,crease,5,90.0,0.184569,-85.333,63.531
GND,1,377.915,221,6 7 6 7 6 7 5 7 5 1 5 1 4 6 2 6 2 1 0 1 0,S9 S9 S10 S5 S4 S7 S0,seam,9,57.499,0.117917,-88.199,68.803
GND,1,377.915,221,6 7 6 7 6 7 5 7 5 1 5 1 4 6 2 6 2 1 0 1 0,S9 S9 S10 S5 S4 S7 S0,seam,9,57.499,0.117917,-97.206,82.94
GND,1,377.915,221,6 7 6 7 6 7 5 7 5 1 5 1 4 6 2 6 2 1 0 1 0,S9 S9 S10 S5 S4 S7 S0,seam,10,57.499,0.117917,-118.493,-27.973
GND,1,377.915,221,6 7 6 7 6 7 5 7 5 1 5 1 4 6 2 6 2 1 0 1 0,S9 S9 S10 S5 S4 S7 S0,seam,5,32.501,0.066652,-47.543,-76.952
GND,1,377.915,221,6 7 6 7 6 7 5 7 5 1 5 1 4 6 2 6 2 1 0 1 0,S9 S9 S10 S5 S4 S7 S0,seam,4,90.0,0.184569,-11.502,-85.333
GND,1,377.915,221,6 7 6 7 6 7 5 7 5 1 5 1 4 6 2 6 2 1 0 1 0,S9 S9 S10 S5 S4 S7 S0,seam,7,32.501,0.066652,-47.543,89.143
GND,1,377.915,221,6 7 6 7 6 7 5 7 5 1 5 1 4 6 2 6 2 1 0 1 0,S9 S9 S10 S5 S4 S7 S0,seam,0,90.0,0.184569,6.857,0.0
