net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,153.302,84,6 3 6 3 7 5 7 5,C4 C5 S10,crease,4,90.0,0.184569,-71.651,73.022
VBUS,1,153.302,84,6 3 6 3 7 5 7 5,C4 C5 S10,crease,5,90.0,0.184569,-85.333,57.342
VBUS,1,153.302,84,6 3 6 3 7 5 7 5,C4 C5 S10,seam,10,57.499,0.117917,-111.943,-17.691
V5,1,93.841,52,5 1 5 1 5 7,S5 S10,seam,5,32.501,0.066652,-47.543,-83.048
V5,1,93.841,52,5 1 5 1 5 7,S5 S10,seam,10,57.499,0.117917,-116.856,-25.402
USB_DM,1,70.069,34,6 7,S9,seam,9,57.499,0.117917,-96.387,81.654
USB_DP,1,79.057,35,6 7,S9,seam,9,57.499,0.117917,-93.112,76.514
DRV1,1,119.25,66,7 6 7 6 2 6 2,S9 S7,seam,9,57.499,0.117917,-118.493,116.354
DRV1,1,119.25,66,7 6 7 6 2 6 2,S9 S7,seam,7,32.501,0.066652,-47.543,92.191
LEDA1,1,189.332,113,2 4,S3,seam,3,90.0,0.184569,-22.238,173.714
DRV2,1,244.853,132,7 4 7 4 2 4 2 3,C6 S3 C2,crease,6,90.0,0.184569,-170.667,40.322
DRV2,1,244.853,132,7 4 7 4 2 4 2 3,C6 S3 C2,seam,3,90.0,0.184569,-37.574,173.714
DRV2,1,244.853,132,7 4 7 4 2 4 2 3,C6 S3 C2,crease,2,90.0,0.184569,-36.041,88.381
LEDA2,1,93.271,55,3 0 3 0,C0,crease,0,90.0,0.184569,0.0,5.333
IO1,1,304.27,178,7 4 7 4 0 4 0 1 5,C6 S2 S0 S5,crease,6,90.0,0.184569,-170.667,35.681
IO1,1,304.27,178,7 4 7 4 0 4 0 1 5,C6 S2 S0 S5,seam,2,90.0,0.184569,85.333,35.81
IO1,1,304.27,178,7 4 7 4 0 4 0 1 5,C6 S2 S0 S5,seam,0,90.0,0.184569,2.286,0.0
IO1,1,304.27,178,7 4 7 4 0 4 0 1 5,C6 S2 S0 S5,seam,5,32.501,0.066652,-47.543,-49.524
DRV3,1,29.671,15,7,,,,,,,
LEDA3,1,68.718,37,7 6 7 6,S9,seam,9,57.499,0.117917,-98.843,85.51
IO2,1,83.324,43,7 4 7 4 1 4 1,C6 S4,crease,6,90.0,0.184569,-170.667,26.397
IO2,1,83.324,43,7 4 7 4 1 4 1,C6 S4,seam,4,90.0,0.184569,-40.642,-85.333
IO3,1,103.509,55,7 4 7 4 1 4 1,C6 S4,crease,6,90.0,0.184569,-170.667,29.492
IO3,1,103.509,55,7 4 7 4 1 4 1,C6 S4,seam,4,90.0,0.184569,-37.574,-85.333
IO4,1,84.013,43,7 4 7 4 1 4 1,C6 S4,crease,6,90.0,0.184569,-170.667,27.944
IO4,1,84.013,43,7 4 7 4 1 4 1,C6 S4,seam,4,90.0,0.184569,-34.507,-85.333
SWSIG,1,140.245,75,7 3 7 3 6 2 6 2,C5 C4 S7,crease,5,90.0,0.184569,-85.333,60.437
SWSIG,1,140.245,75,7 3 7 3 6 2 6 2,C5 C4 S7,crease,4,90.0,0.184569,-74.257,71.362
SWSIG,1,140.245,75,7 3 7 3 6 2 6 2,C5 C4 S7,seam,7,32.501,0.066652,-47.543,104.381
SWPU,1,111.724,62,2 6 7,S7 S9,seam,7,32.501,0.066652,-47.543,101.333
SWPU,1,111.724,62,2 6 7,S7 S9,seam,9,57.499,0.117917,-109.487,102.217
GND,1,377.915,221,6 7 6 7 6 2 6 2 7 5 7 5 1 5 1 4 1 0 1 0,S9 S9 S7 S10 S5 S4 S0,seam,9,57.499,0.117917,-88.199,68.803
GND,1,377.915,221,6 7 6 7 6 2 6 2 7 5 7 5 1 5 1 4 1 0 1 0,S9 S9 S7 S10 S5 S4 S0,seam,9,57.499,0.117917,-97.206,82.94
GND,1,377.915,221,6 7 6 7 6 2 6 2 7 5 7 5 1 5 1 4 1 0 1 0,S9 S9 S7 S10 S5 S4 S0,seam,7,32.501,0.066652,-47.543,89.143
GND,1,377.915,221,6 7 6 7 6 2 6 2 7 5 7 5 1 5 1 4 1 0 1 0,S9 S9 S7 S10 S5 S4 S0,seam,10,57.499,0.117917,-118.493,-27.973
GND,1,377.915,221,6 7 6 7 6 2 6 2 7 5 7 5 1 5 1 4 1 0 1 0,S9 S9 S7 S10 S5 S4 S0,seam,5,32.501,0.066652,-47.543,-76.952
GND,1,377.915,221,6 7 6 7 6 2 6 2 7 5 7 5 1 5 1 4 1 0 1 0,S9 S9 S7 S10 S5 S4 S0,seam,4,90.0,0.184569,-11.502,-85.333
GND,1,377.915,221,6 7 6 7 6 2 6 2 7 5 7 5 1 5 1 4 1 0 1 0,S9 S9 S7 S10 S5 S4 S0,seam,0,90.0,0.184569,6.857,0.0
