net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,78.129,41,0,,,,,,,
V5,1,110.23,67,0,,,,,,,
USB_DM,1,10.355,3,0,,,,,,,
USB_DP,1,23.395,6,0,,,,,,,
DRV1,1,185.917,100,0 13 26 39 52 53,S2 S18 S28 S42 S59,seam,2,22.248,0.045625,45.507,1.331
DRV1,1,185.917,100,0 13 26 39 52 53,S2 S18 S28 S42 S59,seam,18,56.987,0.116866,53.446,-35.686
DRV1,1,185.917,100,0 13 26 39 52 53,S2 S18 S28 S42 S59,seam,28,21.531,0.044155,28.83,-91.04
DRV1,1,185.917,100,0 13 26 39 52 53,S2 S18 S28 S42 S59,seam,42,56.987,0.116866,-31.095,-126.143
DRV1,1,185.917,100,0 13 26 39 52 53,S2 S18 S28 S42 S59,seam,59,22.248,0.045625,-100.095,-101.969
LEDA1,1,24.851,13,53,,,,,,,
DRV2,1,184.742,95,0 7 20 33 46,S10 S20 S32 S47,seam,10,24.407,0.050053,27.254,80.035
DRV2,1,184.742,95,0 7 20 33 46,S10 S20 S32 S47,seam,20,55.867,0.114569,-32.474,119.945
DRV2,1,184.742,95,0 7 20 33 46,S10 S20 S32 S47,seam,32,19.452,0.039892,-94.713,117.29
DRV2,1,184.742,95,0 7 20 33 46,S10 S20 S32 S47,seam,47,55.867,0.114569,-137.666,83.584
LEDA2,1,9.499,5,46,,,,,,,
IO1,1,132.921,68,0 13 26 39 52,S2 S18 S28 S42,seam,2,22.248,0.045625,44.29,0.444
IO1,1,132.921,68,0 13 26 39 52,S2 S18 S28 S42,seam,18,56.987,0.116866,51.972,-36.058
IO1,1,132.921,68,0 13 26 39 52,S2 S18 S28 S42,seam,28,21.531,0.044155,24.294,-86.978
IO1,1,132.921,68,0 13 26 39 52,S2 S18 S28 S42,seam,42,56.987,0.116866,-32.282,-115.57
GND,1,235.618,124,0 7 20 33 46 53 52 53 52,S10 S20 S32 S47 S63 S59,seam,10,24.407,0.050053,17.078,76.719
GND,1,235.618,124,0 7 20 33 46 53 52 53 52,S10 S20 S32 S47 S63 S59,seam,20,55.867,0.114569,-38.355,111.099
GND,1,235.618,124,0 7 20 33 46 53 52 53 52,S10 S20 S32 S47 S63 S59,seam,32,19.452,0.039892,-93.635,112.899
GND,1,235.618,124,0 7 20 33 46 53 52 53 52,S10 S20 S32 S47 S63 S59,seam,47,55.867,0.114569,-135.365,81.605
GND,1,235.618,124,0 7 20 33 46 53 52 53 52,S10 S20 S32 S47 S63 S59,seam,63,24.407,0.050053,-143.714,29.278
GND,1,235.618,124,0 7 20 33 46 53 52 53 52,S10 S20 S32 S47 S63 S59,seam,59,22.248,0.045625,-97.801,-100.016
