net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,182.772,91,23 36 49 50 53 43 53 43 30 43 30,S35 C45 S53 C51 S60 C41,seam,35,26.193,0.053716,-105.153,226.125
VBUS,1,182.772,91,23 36 49 50 53 43 53 43 30 43 30,S35 C45 S53 C51 S60 C41,crease,45,58.418,0.119801,-181.396,-82.369
VBUS,1,182.772,91,23 36 49 50 53 43 53 43 30 43 30,S35 C45 S53 C51 S60 C41,seam,53,5.792,0.011879,-176.251,-81.095
VBUS,1,182.772,91,23 36 49 50 53 43 53 43 30 43 30,S35 C45 S53 C51 S60 C41,crease,51,18.152,0.037226,-163.544,-73.622
VBUS,1,182.772,91,23 36 49 50 53 43 53 43 30 43 30,S35 C45 S53 C51 S60 C41,seam,60,18.486,0.03791,-90.312,5.001
VBUS,1,182.772,91,23 36 49 50 53 43 53 43 30 43 30,S35 C45 S53 C51 S60 C41,crease,41,58.418,0.119801,-70.352,9.094
V5,1,303.022,167,30 43 53 42 53 42 29 42 29 16 29 16 3 16 3 0 3 0 53 49 53 49 36 49 36,C41 S60 C47 C40 C27 C12 C2 C50 C45,crease,41,58.418,0.119801,-71.974,11.736
V5,1,303.022,167,30 43 53 42 53 42 29 42 29 16 29 16 3 16 3 0 3 0 53 49 53 49 36 49 36,C41 S60 C47 C40 C27 C12 C2 C50 C45,seam,60,18.486,0.03791,-87.125,-0.192
V5,1,303.022,167,30 43 53 42 53 42 29 42 29 16 29 16 3 16 3 0 3 0 53 49 53 49 36 49 36,C41 S60 C47 C40 C27 C12 C2 C50 C45,crease,47,18.152,0.037226,-81.193,-10.779
V5,1,303.022,167,30 43 53 42 53 42 29 42 29 16 29 16 3 16 3 0 3 0 53 49 53 49 36 49 36,C41 S60 C47 C40 C27 C12 C2 C50 C45,crease,40,58.502,0.119974,-57.619,-13.964
V5,1,303.022,167,30 43 53 42 53 42 29 42 29 16 29 16 3 16 3 0 3 0 53 49 53 49 36 49 36,C41 S60 C47 C40 C27 C12 C2 C50 C45,crease,27,26.691,0.054737,-42.359,-8.541
V5,1,303.022,167,30 43 53 42 53 42 29 42 29 16 29 16 3 16 3 0 3 0 53 49 53 49 36 49 36,C41 S60 C47 C40 C27 C12 C2 C50 C45,crease,12,58.502,0.119974,-28.382,-0.63
V5,1,303.022,167,30 43 53 42 53 42 29 42 29 16 29 16 3 16 3 0 3 0 53 49 53 49 36 49 36,C41 S60 C47 C40 C27 C12 C2 C50 C45,crease,2,18.152,0.037226,-12.434,10.971
V5,1,303.022,167,30 43 53 42 53 42 29 42 29 16 29 16 3 16 3 0 3 0 53 49 53 49 36 49 36,C41 S60 C47 C40 C27 C12 C2 C50 C45,crease,50,18.486,0.03791,-166.926,-68.644
V5,1,303.022,167,30 43 53 42 53 42 29 42 29 16 29 16 3 16 3 0 3 0 53 49 53 49 36 49 36,C41 S60 C47 C40 C27 C12 C2 C50 C45,crease,45,58.418,0.119801,-183.528,-78.235
USB_DM,1,143.678,73,23 24 11 24 11 0 11 0,S25 S24 C7,seam,25,17.979,0.036871,-101.012,227.898
USB_DM,1,143.678,73,23 24 11 24 11 0 11 0,S25 S24 C7,seam,24,58.502,0.119974,100.148,55.73
USB_DM,1,143.678,73,23 24 11 24 11 0 11 0,S25 S24 C7,crease,7,18.152,0.037226,80.698,53.962
