net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,219.65,121,23 10 23 10 9 10 9 0 9 0 4 17 30,S23 S13 C5 S4 C14 C29,seam,23,58.418,0.119801,99.119,60.553
VBUS,1,219.65,121,23 10 23 10 9 10 9 0 9 0 4 17 30,S23 S13 C5 S4 C14 C29,seam,13,4.908,0.010064,87.372,74.603
VBUS,1,219.65,121,23 10 23 10 9 10 9 0 9 0 4 17 30,S23 S13 C5 S4 C14 C29,crease,5,18.902,0.038763,67.029,74.809
VBUS,1,219.65,121,23 10 23 10 9 10 9 0 9 0 4 17 30,S23 S13 C5 S4 C14 C29,seam,4,18.486,0.03791,-20.351,35.272
VBUS,1,219.65,121,23 10 23 10 9 10 9 0 9 0 4 17 30,S23 S13 C5 S4 C14 C29,crease,14,58.418,0.119801,-47.08,32.473
VBUS,1,219.65,121,23 10 23 10 9 10 9 0 9 0 4 17 30,S23 S13 C5 S4 C14 C29,crease,29,26.193,0.053716,-59.264,21.676
V5,1,275.684,149,30 17 30 17 4 17 4 0 4 0 30 43 53 49 53 49 36 49 36,C29 C14 S4 C41 S60 C50 C45,crease,29,26.193,0.053716,-52.96,11.405
V5,1,275.684,149,30 17 30 17 4 17 4 0 4 0 30 43 53 49 53 49 36 49 36,C29 C14 S4 C41 S60 C50 C45,crease,14,58.418,0.119801,-38.159,17.938
V5,1,275.684,149,30 17 30 17 4 17 4 0 4 0 30 43 53 49 53 49 36 49 36,C29 C14 S4 C41 S60 C50 C45,seam,4,18.486,0.03791,-18.485,23.231
V5,1,275.684,149,30 17 30 17 4 17 4 0 4 0 30 43 53 49 53 49 36 49 36,C29 C14 S4 C41 S60 C50 C45,crease,41,58.418,0.119801,-71.974,11.736
V5,1,275.684,149,30 17 30 17 4 17 4 0 4 0 30 43 53 49 53 49 36 49 36,C29 C14 S4 C41 S60 C50 C45,seam,60,18.486,0.03791,-90.312,5.001
V5,1,275.684,149,30 17 30 17 4 17 4 0 4 0 30 43 53 49 53 49 36 49 36,C29 C14 S4 C41 S60 C50 C45,crease,50,18.486,0.03791,-166.926,-68.644
V5,1,275.684,149,30 17 30 17 4 17 4 0 4 0 30 43 53 49 53 49 36 49 36,C29 C14 S4 C41 S60 C50 C45,crease,45,58.418,0.119801,-183.528,-78.235
USB_DM,1,126.809,68,23 24 11 24 11 0 11 0,S25 S24 C7,seam,25,17.979,0.036871,-94.637,227.127
USB_DM,1,126.809,68,23 24 11 24 11 0 11 0,S25 S24 C7,seam,24,58.502,0.119974,100.148,55.73
USB_DM,1,126.809,68,23 24 11 24 11 0 11 0,S25 S24 C7,crease,7,18.152,0.037226,80.698,53.962
USB_DP,1,127.457,64,23 22 23 9 22 9 10 0 10 0,C22 S22 S13 C6,crease,22,14.91,0.030578,-91.15,207.94
USB_DP,1,127.457,64,23 22 23 9 22 9 10 0 10 0,C22 S22 S13 C6,seam,22,58.301,0.119561,90.288,77.202
USB_DP,1,127.457,64,23 22 23 9 22 9 10 0 10 0,C22 S22 S13 C6,seam,13,4.908,0.010064,79.115,69.737
USB_DP,1,127.457,64,23 22 23 9 22 9 10 0 10 0,C22 S22 S13 C6,crease,6,18.486,0.03791,76.043,63.515
DRV1,1,179.723,105,0 3 0 3 0 11 24,C2 C2 C7 S24,crease,2,18.152,0.037226,-15.925,17.74
DRV1,1,179.723,105,0 3 0 3 0 11 24,C2 C2 C7 S24,crease,2,18.152,0.037226,-12.434,10.971
DRV1,1,179.723,105,0 3 0 3 0 11 24,C2 C2 C7 S24,crease,7,18.152,0.037226,82.564,41.921
DRV1,1,179.723,105,0 3 0 3 0 11 24,C2 C2 C7 S24,seam,24,58.502,0.119974,102.048,43.473
LEDA1,1,194.785,103,24 37 50 53 42 53 42 29 42 29,S37 C46 C51 C47 C40,seam,37,26.691,0.054737,85.392,-133.902
LEDA1,1,194.785,103,24 37 50 53 42 53 42 29 42 29,S37 C46 C51 C47 C40,crease,46,58.502,0.119974,-168.468,-96.037
LEDA1,1,194.785,103,24 37 50 53 42 53 42 29 42 29,S37 C46 C51 C47 C40,crease,51,18.152,0.037226,-155.906,-81.062
LEDA1,1,194.785,103,24 37 50 53 42 53 42 29 42 29,S37 C46 C51 C47 C40,crease,47,18.152,0.037226,-75.608,-21.609
LEDA1,1,194.785,103,24 37 50 53 42 53 42 29 42 29,S37 C46 C51 C47 C40,crease,40,58.502,0.119974,-56.909,-15.342
DRV2,1,51.219,23,0 3 16,C2 C12,crease,2,18.152,0.037226,-18.019,21.801
DRV2,1,51.219,23,0 3 16,C2 C12,crease,12,58.502,0.119974,-33.356,9.016
LEDA2,1,212.338,106,16 15 16 15 14 15 14 26 25 26 25 24 25 24 37,C13 C11 C9 C24 C23 S37,crease,13,21.693,0.044487,-31.523,-3.292
LEDA2,1,212.338,106,16 15 16 15 14 15 14 26 25 26 25 24 25 24 37,C13 C11 C9 C24 C23 S37,crease,11,39.579,0.081167,-22.485,-23.48
LEDA2,1,212.338,106,16 15 16 15 14 15 14 26 25 26 25 24 25 24 37,C13 C11 C9 C24 C23 S37,crease,9,35.434,0.072667,19.748,-66.906
LEDA2,1,212.338,106,16 15 16 15 14 15 14 26 25 26 25 24 25 24 37,C13 C11 C9 C24 C23 S37,crease,24,39.579,0.081167,61.793,-110.954
LEDA2,1,212.338,106,16 15 16 15 14 15 14 26 25 26 25 24 25 24 37,C13 C11 C9 C24 C23 S37,crease,23,21.693,0.044487,77.143,-128.621
LEDA2,1,212.338,106,16 15 16 15 14 15 14 26 25 26 25 24 25 24 37,C13 C11 C9 C24 C23 S37,seam,37,26.691,0.054737,77.406,-129.668
IO1,1,91.377,50,0 3 16 29 30 43,C2 C12 C27 C30 C41,crease,2,18.152,0.037226,-16.623,19.094
IO1,1,91.377,50,0 3 16 29 30 43,C2 C12 C27 C30 C41,crease,12,58.502,0.119974,-29.803,2.126
IO1,1,91.377,50,0 3 16 29 30 43,C2 C12 C27 C30 C41,crease,27,26.691,0.054737,-43.74,-5.863
IO1,1,91.377,50,0 3 16 29 30 43,C2 C12 C27 C30 C41,crease,30,17.979,0.036871,-60.149,3.196
IO1,1,91.377,50,0 3 16 29 30 43,C2 C12 C27 C30 C41,crease,41,58.418,0.119801,-66.297,2.487
DRV3,1,186.66,104,0 9 22 23 36 49,C5 S22 C22 S35 C45,crease,5,18.902,0.038763,72.62,68.724
DRV3,1,186.66,104,0 9 22 23 36 49,C5 S22 C22 S35 C45,seam,22,58.301,0.119561,88.186,79.489
DRV3,1,186.66,104,0 9 22 23 36 49,C5 S22 C22 S35 C45,crease,22,14.91,0.030578,-105.554,208.795
DRV3,1,186.66,104,0 9 22 23 36 49,C5 S22 C22 S35 C45,seam,35,26.193,0.053716,-106.302,209.594
DRV3,1,186.66,104,0 9 22 23 36 49,C5 S22 C22 S35 C45,crease,45,58.418,0.119801,-184.949,-75.479
LEDA3,1,184.9,95,49 53 43 53 43 30 43 30 17 30 17 4 17 4,C50 S60 C41 C29 C14,crease,50,18.486,0.03791,-165.529,-71.351
LEDA3,1,184.9,95,49 53 43 53 43 30 43 30 17 30 17 4 17 4,C50 S60 C41 C29 C14,seam,60,18.486,0.03791,-88.719,2.405
LEDA3,1,184.9,95,49 53 43 53 43 30 43 30 17 30 17 4 17 4,C50 S60 C41 C29 C14,crease,41,58.418,0.119801,-70.352,9.094
