net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,238.531,140,23 24 11 24 11 12 13 1 13 1 2 15 16 29 30,S25 S24 S15 S16 C1 C0 C10 C13 C27 C30,seam,25,17.979,0.036871,-96.231,227.32
VBUS,1,238.531,140,23 24 11 24 11 12 13 1 13 1 2 15 16 29 30,S25 S24 S15 S16 C1 C0 C10 C13 C27 C30,seam,24,58.502,0.119974,100.148,55.73
VBUS,1,238.531,140,23 24 11 24 11 12 13 1 13 1 2 15 16 29 30,S25 S24 S15 S16 C1 C0 C10 C13 C27 C30,seam,15,6.95,0.014254,84.957,41.169
VBUS,1,238.531,140,23 24 11 24 11 12 13 1 13 1 2 15 16 29 30,S25 S24 S15 S16 C1 C0 C10 C13 C27 C30,seam,16,14.252,0.029228,79.746,25.486
VBUS,1,238.531,140,23 24 11 24 11 12 13 1 13 1 2 15 16 29 30,S25 S24 S15 S16 C1 C0 C10 C13 C27 C30,crease,1,13.471,0.027625,40.18,-23.239
VBUS,1,238.531,140,23 24 11 24 11 12 13 1 13 1 2 15 16 29 30,S25 S24 S15 S16 C1 C0 C10 C13 C27 C30,crease,0,14.252,0.029228,-15.819,-19.017
VBUS,1,238.531,140,23 24 11 24 11 12 13 1 13 1 2 15 16 29 30,S25 S24 S15 S16 C1 C0 C10 C13 C27 C30,crease,10,58.446,0.11986,-16.878,-18.849
VBUS,1,238.531,140,23 24 11 24 11 12 13 1 13 1 2 15 16 29 30,S25 S24 S15 S16 C1 C0 C10 C13 C27 C30,crease,13,21.693,0.044487,-41.314,-8.816
VBUS,1,238.531,140,23 24 11 24 11 12 13 1 13 1 2 15 16 29 30,S25 S24 S15 S16 C1 C0 C10 C13 C27 C30,crease,27,26.691,0.054737,-43.74,-5.863
VBUS,1,238.531,140,23 24 11 24 11 12 13 1 13 1 2 15 16 29 30,S25 S24 S15 S16 C1 C0 C10 C13 C27 C30,crease,30,17.979,0.036871,-51.695,7.811
V5,1,275.684,149,30 17 30 17 4 17 4 0 4 0 30 43 53 49 53 49 36 49 36,C29 C14 S4 C41 S60 C50 C45,crease,29,26.193,0.053716,-56.112,16.54
V5,1,275.684,149,30 17 30 17 4 17 4 0 4 0 30 43 53 49 53 49 36 49 36,C29 C14 S4 C41 S60 C50 C45,crease,14,58.418,0.119801,-38.159,17.938
