net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,34.892,18,0,,,,,,,
V5,1,81.537,46,0,,,,,,,
USB_DM,1,66.49,32,0,,,,,,,
USB_DP,1,20.814,3,0,,,,,,,
DRV1,1,112.887,61,0 5 15 25 35 41,S6 S15 S24 S35 S47,seam,6,34.133,0.069999,-20.25,64.484
DRV1,1,112.887,61,0 5 15 25 35 41,S6 S15 S24 S35 S47,seam,15,49.322,0.101147,-76.242,39.802
DRV1,1,112.887,61,0 5 15 25 35 41,S6 S15 S24 S35 S47,seam,24,13.09,0.026845,-97.108,18.8
DRV1,1,112.887,61,0 5 15 25 35 41,S6 S15 S24 S35 S47,seam,35,49.322,0.101147,-109.175,-24.473
DRV1,1,112.887,61,0 5 15 25 35 41,S6 S15 S24 S35 S47,seam,47,34.133,0.069999,-106.616,-47.055
LEDA1,1,19.471,9,41,,,,,,,
DRV2,1,149.211,85,0 10 20 30 40,S2 S13 S21 S31,seam,2,24.32,0.049874,46.524,33.081
DRV2,1,149.211,85,0 10 20 30 40,S2 S13 S21 S31,seam,13,55.915,0.114669,82.593,-14.784
DRV2,1,149.211,85,0 10 20 30 40,S2 S13 S21 S31,seam,21,19.53,0.040051,91.584,-78.304
DRV2,1,149.211,85,0 10 20 30 40,S2 S13 S21 S31,seam,31,55.915,0.114669,62.049,-118.46
LEDA2,1,15.993,8,40,,,,,,,
IO1,1,155.913,82,0 5 6 16 26 27 37 41 39 41 39,S6 C4 S16 S25 C27 S37 C38 C40,seam,6,34.133,0.069999,-21.443,60.054
IO1,1,155.913,82,0 5 6 16 26 27 37 41 39 41 39,S6 C4 S16 S25 C27 S37 C38 C40,crease,4,14.886,0.030529,-78.064,52.106
IO1,1,155.913,82,0 5 6 16 26 27 37 41 39 41 39,S6 C4 S16 S25 C27 S37 C38 C40,seam,16,50.431,0.103421,-82.469,56.655
IO1,1,155.913,82,0 5 6 16 26 27 37 41 39 41 39,S6 C4 S16 S25 C27 S37 C38 C40,seam,25,13.843,0.028389,-124.163,41.005
IO1,1,155.913,82,0 5 6 16 26 27 37 41 39 41 39,S6 C4 S16 S25 C27 S37 C38 C40,crease,27,8.895,0.018241,-158.778,-14.124
IO1,1,155.913,82,0 5 6 16 26 27 37 41 39 41 39,S6 C4 S16 S25 C27 S37 C38 C40,seam,37,52.23,0.107111,-159.609,-14.764
IO1,1,155.913,82,0 5 6 16 26 27 37 41 39 41 39,S6 C4 S16 S25 C27 S37 C38 C40,crease,38,30.141,0.061812,-102.582,-144.342
IO1,1,155.913,82,0 5 6 16 26 27 37 41 39 41 39,S6 C4 S16 S25 C27 S37 C38 C40,crease,40,20.305,0.041641,-91.817,-156.273
GND,1,285.43,148,0 10 20 30 40 41 39 41 39,S2 S13 S21 S31 S44 C40,seam,2,24.32,0.049874,49.692,44.843
GND,1,285.43,148,0 10 20 30 40 41 39 41 39,S2 S13 S21 S31 S44 C40,seam,13,55.915,0.114669,91.804,-6.967
GND,1,285.43,148,0 10 20 30 40 41 39 41 39,S2 S13 S21 S31 S44 C40,seam,21,19.53,0.040051,103.32,-81.232
GND,1,285.43,148,0 10 20 30 40 41 39 41 39,S2 S13 S21 S31 S44 C40,seam,31,55.915,0.114669,70.326,-127.26
GND,1,285.43,148,0 10 20 30 40 41 39 41 39,S2 S13 S21 S31 S44 C40,seam,44,24.32,0.049874,-3.059,-135.413
GND,1,285.43,148,0 10 20 30 40 41 39 41 39,S2 S13 S21 S31 S44 C40,crease,40,20.305,0.041641,-65.003,-166.187
