net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,40.529,21,0,,,,,,,
V5,1,86.971,49,0,,,,,,,
USB_DM,1,66.49,32,0,,,,,,,
USB_DP,1,20.814,3,0,,,,,,,
DRV1,1,112.887,61,0 5 15 25 35 41,S6 S15 S24 S35 S47,seam,6,34.133,0.069999,-20.25,64.484
DRV1,1,112.887,61,0 5 15 25 35 41,S6 S15 S24 S35 S47,seam,15,49.322,0.101147,-76.242,39.802
DRV1,1,112.887,61,0 5 15 25 35 41,S6 S15 S24 S35 S47,seam,24,13.09,0.026845,-97.108,18.8
DRV1,1,112.887,61,0 5 15 25 35 41,S6 S15 S24 S35 S47,seam,35,49.322,0.101147,-109.175,-24.473
DRV1,1,112.887,61,0 5 15 25 35 41,S6 S15 S24 S35 S47,seam,47,34.133,0.069999,-106.616,-47.055
LEDA1,1,19.471,9,41,,,,,,,
DRV2,1,149.211,85,0 10 20 30 40,S2 S13 S21 S31,seam,2,24.32,0.049874,46.524,33.081
DRV2,1,149.211,85,0 10 20 30 40,S2 S13 S21 S31,seam,13,55.915,0.114669,82.593,-14.784
DRV2,1,149.211,85,0 10 20 30 40,S2 S13 S21 S31,seam,21,19.53,0.040051,91.584,-78.304
DRV2,1,149.211,85,0 10 20 30 40,S2 S13 S21 S31,seam,31,55.915,0.114669,62.049,-118.46
LEDA2,1,15.993,8,40,,,,,,,
IO1,1,170.873,91,0 9 19 29 39,C7 S19 S29 S40,crease,7,20.305,0.041641,28.306,102.316
IO1,1,170.873,91,0 9 19 29 39,C7 S19 S29 S40,seam,19,57.824,0.118583,40.276,118.808
IO1,1,170.873,91,0 9 19 29 39,C7 S19 S29 S40,seam,29,23.742,0.048689,203.655,-92.665
IO1,1,170.873,91,0 9 19 29 39,C7 S19 S29 S40,seam,40,57.824,0.118583,123.324,-199.364
GND,1,285.43,148,0 10 20 30 40 41 39 41 39,S2 S13 S21 S31 S44 C40,seam,2,24.32,0.049874,49.692,44.843
GND,1,285.43,148,0 10 20 30 40 41 39 41 39,S2 S13 S21 S31 S44 C40,seam,13,55.915,0.114669,91.804,-6.967
GND,1,285.43,148,0 10 20 30 40 41 39 41 39,S2 S13 S21 S31 S44 C40,seam,21,19.53,0.040051,103.32,-81.232
GND,1,285.43,148,0 10 20 30 40 41 39 41 39,S2 S13 S21 S31 S44 C40,seam,31,55.915,0.114669,70.326,-127.26
GND,1,285.43,148,0 10 20 30 40 41 39 41 39,S2 S13 S21 S31 S44 C40,seam,44,24.32,0.049874,-3.059,-135.413
GND,1,285.43,148,0 10 20 30 40 41 39 41 39,S2 S13 S21 S31 S44 C40,crease,40,20.305,0.041641,-65.003,-166.187
