net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,163.413,93,27 17 27 17 7 17 7 0 7 0 3 2 3 2,S26 S17 S8 S3 S4,seam,26,15.259,0.031293,-151.931,65.252
VBUS,1,163.413,93,27 17 27 17 7 17 7 0 7 0 3 2 3 2,S26 S17 S8 S3 S4,seam,17,52.23,0.107111,-84.193,94.359
VBUS,1,163.413,93,27 17 27 17 7 17 7 0 7 0 3 2 3 2,S26 S17 S8 S3 S4,seam,8,30.141,0.061812,-0.001,91.326
VBUS,1,163.413,93,27 17 27 17 7 17 7 0 7 0 3 2 3 2,S26 S17 S8 S3 S4,seam,3,30.141,0.061812,-15.375,16.328
VBUS,1,163.413,93,27 17 27 17 7 17 7 0 7 0 3 2 3 2,S26 S17 S8 S3 S4,seam,4,20.407,0.04185,-14.074,-2.513
V5,1,330.598,183,2 0 2 0 5 15 14 15 14 24 23 24 23 33 41 32 41 32 2 12 22 32 41,C0 S6 S15 C14 S23 C24 C32 S45 C37 C9 C20 C31 C37,crease,0,21.094,0.043258,-10.432,4.913
V5,1,330.598,183,2 0 2 0 5 15 14 15 14 24 23 24 23 33 41 32 41 32 2 12 22 32 41,C0 S6 S15 C14 S23 C24 C32 S45 C37 C9 C20 C31 C37,seam,6,34.133,0.069999,-23.034,54.147
V5,1,330.598,183,2 0 2 0 5 15 14 15 14 24 23 24 23 33 41 32 41 32 2 12 22 32 41,C0 S6 S15 C14 S23 C24 C32 S45 C37 C9 C20 C31 C37,seam,15,49.322,0.101147,-72.797,32.976
V5,1,330.598,183,2 0 2 0 5 15 14 15 14 24 23 24 23 33 41 32 41 32 2 12 22 32 41,C0 S6 S15 C14 S23 C24 C32 S45 C37 C9 C20 C31 C37,crease,14,26.91,0.055185,-75.381,16.596
V5,1,330.598,183,2 0 2 0 5 15 14 15 14 24 23 24 23 33 41 32 41 32 2 12 22 32 41,C0 S6 S15 C14 S23 C24 C32 S45 C37 C9 C20 C31 C37,seam,23,13.843,0.028389,-73.693,1.727
V5,1,330.598,183,2 0 2 0 5 15 14 15 14 24 23 24 23 33 41 32 41 32 2 12 22 32 41,C0 S6 S15 C14 S23 C24 C32 S45 C37 C9 C20 C31 C37,crease,24,8.895,0.018241,-59.598,-35.902
V5,1,330.598,183,2 0 2 0 5 15 14 15 14 24 23 24 23 33 41 32 41 32 2 12 22 32 41,C0 S6 S15 C14 S23 C24 C32 S45 C37 C9 C20 C31 C37,crease,32,52.23,0.107111,-58.221,-38.732
