net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,165.018,98,27 17 27 17 7 17 7 0 7 0 2 3 2 3 2,S26 S17 S8 C0 S4 S4,seam,26,15.259,0.031293,-151.931,65.252
VBUS,1,165.018,98,27 17 27 17 7 17 7 0 7 0 2 3 2 3 2,S26 S17 S8 C0 S4 S4,seam,17,52.23,0.107111,-84.193,94.359
VBUS,1,165.018,98,27 17 27 17 7 17 7 0 7 0 2 3 2 3 2,S26 S17 S8 C0 S4 S4,seam,8,30.141,0.061812,-0.001,91.326
VBUS,1,165.018,98,27 17 27 17 7 17 7 0 7 0 2 3 2 3 2,S26 S17 S8 C0 S4 S4,crease,0,21.094,0.043258,-9.041,4.258
VBUS,1,165.018,98,27 17 27 17 7 17 7 0 7 0 2 3 2 3 2,S26 S17 S8 C0 S4 S4,seam,4,20.407,0.04185,-11.931,3.126
VBUS,1,165.018,98,27 17 27 17 7 17 7 0 7 0 2 3 2 3 2,S26 S17 S8 C0 S4 S4,seam,4,20.407,0.04185,-14.074,-2.513
V5,1,350.044,195,2 0 2 0 5 15 25 35 41 32 41 32 2 12 22 32 41,C0 S6 S15 S24 S35 S47 C37 C9 C20 C31 C37,crease,0,21.094,0.043258,-10.432,4.913
V5,1,350.044,195,2 0 2 0 5 15 25 35 41 32 41 32 2 12 22 32 41,C0 S6 S15 S24 S35 S47 C37 C9 C20 C31 C37,seam,6,34.133,0.069999,-23.034,54.147
V5,1,350.044,195,2 0 2 0 5 15 25 35 41 32 41 32 2 12 22 32 41,C0 S6 S15 S24 S35 S47 C37 C9 C20 C31 C37,seam,15,49.322,0.101147,-72.797,32.976
V5,1,350.044,195,2 0 2 0 5 15 25 35 41 32 41 32 2 12 22 32 41,C0 S6 S15 S24 S35 S47 C37 C9 C20 C31 C37,seam,24,13.09,0.026845,-91.017,14.177
V5,1,350.044,195,2 0 2 0 5 15 25 35 41 32 41 32 2 12 22 32 41,C0 S6 S15 S24 S35 S47 C37 C9 C20 C31 C37,seam,35,49.322,0.101147,-100.242,-26.574
V5,1,350.044,195,2 0 2 0 5 15 25 35 41 32 41 32 2 12 22 32 41,C0 S6 S15 S24 S35 S47 C37 C9 C20 C31 C37,seam,47,34.133,0.069999,-97.668,-45.024
