net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,170.545,80,1 5 0 5 0,C5 C4,crease,5,90.0,0.184569,-46.482,136.924
VBUS,1,170.545,80,1 5 0 5 0,C5 C4,crease,4,90.0,0.184569,15.667,76.364
V5,1,72.999,43,0,,,,,,,
USB_DM,1,161.524,103,1 3 0 3 0,S7 C2,seam,7,90.0,0.184569,-92.038,194.005
USB_DM,1,161.524,103,1 3 0 3 0,S7 C2,crease,2,90.0,0.184569,78.84,38.662
USB_DP,1,168.994,105,1 3 0 3 0,S7 C2,seam,7,90.0,0.184569,-89.019,194.293
USB_DP,1,168.994,105,1 3 0 3 0,S7 C2,crease,2,90.0,0.184569,78.84,41.694
DRV1,1,178.924,87,0 5 1 5 1,C4 C5,crease,4,90.0,0.184569,12.635,73.028
DRV1,1,178.924,87,0 5 1 5 1,C4 C5,crease,5,90.0,0.184569,-48.504,134.701
LEDA1,1,14.19,6,1,,,,,,,
DRV2,1,102.232,59,0 2,C0,crease,0,90.0,0.184569,23.5,0.0
LEDA2,1,21.81,11,2,,,,,,,
IO1,1,77.014,45,0 6,C1,crease,1,90.0,0.184569,0.0,38.662
GND,1,277.37,165,1 6 2 6 2 0 2 0,S6 S0 C0,seam,6,90.0,0.184569,-78.509,116.098
GND,1,277.37,165,1 6 2 6 2 0 2 0,S6 S0 C0,seam,0,90.0,0.184569,0.0,-50.969
GND,1,277.37,165,1 6 2 6 2 0 2 0,S6 S0 C0,crease,0,90.0,0.184569,43.21,0.0
