net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,118.451,68,4 3 4 3 2 3 2 3,S2 S1 S1,seam,2,42.274,0.086693,97.858,59.13
VBUS,1,118.451,68,4 3 4 3 2 3 2 3,S2 S1 S1,seam,1,90.0,0.184569,78.84,-11.411
VBUS,1,118.451,68,4 3 4 3 2 3 2 3,S2 S1 S1,seam,1,90.0,0.184569,78.84,-3.804
V5,1,299.427,168,3 0 3 0 4 5 3 2 3 2 6,C2 C3 S3 S1 S0,crease,2,90.0,0.184569,78.84,47.759
V5,1,299.427,168,3 0 3 0 4 5 3 2 3 2 6,C2 C3 S3 S1 S0,crease,3,90.0,0.184569,78.335,59.686
V5,1,299.427,168,3 0 3 0 4 5 3 2 3 2 6,C2 C3 S3 S1 S0,seam,3,95.453,0.195751,78.26,137.801
V5,1,299.427,168,3 0 3 0 4 5 3 2 3 2 6,C2 C3 S3 S1 S0,seam,1,90.0,0.184569,78.84,-8.368
V5,1,299.427,168,3 0 3 0 4 5 3 2 3 2 6,C2 C3 S3 S1 S0,seam,0,90.0,0.184569,0.0,-81.399
USB_DM,1,97.678,59,4 5,S3,seam,3,95.453,0.195751,65.876,126.543
USB_DP,1,106.399,62,4 5,S3,seam,3,95.453,0.195751,62.499,123.473
DRV1,1,91.089,57,5 1 5 1,C5,crease,5,90.0,0.184569,-54.568,128.029
LEDA1,1,139.058,84,1 6 0 6 0 2 0 2 0,S6 C1 C0 C0,seam,6,90.0,0.184569,-108.695,113.217
LEDA1,1,139.058,84,1 6 0 6 0 2 0 2 0,S6 C1 C0 C0,crease,1,90.0,0.184569,0.0,17.436
LEDA1,1,139.058,84,1 6 0 6 0 2 0 2 0,S6 C1 C0 C0,crease,0,90.0,0.184569,8.339,0.0
LEDA1,1,139.058,84,1 6 0 6 0 2 0 2 0,S6 C1 C0 C0,crease,0,90.0,0.184569,3.79,0.0
DRV2,1,192.879,118,5 1 5 1 2,C5 S5,crease,5,90.0,0.184569,-47.493,135.812
DRV2,1,192.879,118,5 1 5 1 2,C5 S5,seam,5,90.0,0.184569,-124.834,130.714
