net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,98.594,59,4 3 4 3,S2,seam,2,-42.274,-0.086693,90.251,59.13
V5,1,215.696,117,3 2 3 2 6 5 6 5,S1 S0 S4,seam,1,-90.0,-0.184569,78.84,-8.368
V5,1,215.696,117,3 2 3 2 6 5 6 5,S1 S0 S4,seam,0,-90.0,-0.184569,0.0,-82.92
V5,1,215.696,117,3 2 3 2 6 5 6 5,S1 S0 S4,seam,4,-42.274,-0.086693,-48.972,103.65
USB_DM,1,97.678,61,4 5,S3,seam,3,-95.453,-0.195751,65.876,126.543
USB_DP,1,105.054,63,4 5,S3,seam,3,-95.453,-0.195751,64.75,125.52
DRV1,1,75.622,48,5 1 5 1,C5,crease,5,-90.0,-0.184569,-57.601,124.694
LEDA1,1,101.688,66,1 6 0 6 0,S6 C1,seam,6,-90.0,-0.184569,-113.223,112.785
LEDA1,1,101.688,66,1 6 0 6 0,S6 C1,crease,1,-90.0,-0.184569,0.0,0.758
DRV2,1,93.096,57,5 1 5 1 2,C5 S5,crease,5,-90.0,-0.184569,-55.579,126.918
DRV2,1,93.096,57,5 1 5 1 2,C5 S5,seam,5,-90.0,-0.184569,-123.969,121.659
LEDA2,1,104.285,65,2 1 2 1 5,S5 C5,seam,5,-90.0,-0.184569,-124.258,124.677
LEDA2,1,104.285,65,2 1 2 1 5,S5 C5,crease,5,-90.0,-0.184569,-53.557,129.141
IO1,1,64.907,41,5 6,S4,seam,4,-42.274,-0.086693,-57.979,111.838
DRV3,1,156.31,91,5 0 5 0 4,C4 C3,crease,4,-90.0,-0.184569,37.904,100.824
DRV3,1,156.31,91,5 0 5 0 4,C4 C3,crease,3,-90.0,-0.184569,40.936,100.824
LEDA3,1,65.029,42,4 3 4 3,S2,seam,2,-42.274,-0.086693,84.165,59.13
IO2,1,78.909,49,5 1 5 1,C5,crease,5,-90.0,-0.184569,-60.633,121.358
IO3,1,94.259,58,5 6 1 6 1,S4 S6,seam,4,-42.274,-0.086693,-55.727,109.791
IO3,1,94.259,58,5 6 1 6 1,S4 S6,seam,6,-90.0,-0.184569,-67.944,117.107
IO4,1,72.87,43,5 6 1 6 1,S4 S6,seam,4,-42.274,-0.086693,-53.475,107.744
IO4,1,72.87,43,5 6 1 6 1,S4 S6,seam,6,-90.0,-0.184569,-81.527,115.81
SWSIG,1,95.602,53,5 6 0 6 0,S4 C1,seam,4,-42.274,-0.086693,-28.708,85.228
SWSIG,1,95.602,53,5 6 0 6 0,S4 C1,crease,1,-90.0,-0.184569,0.0,20.468
SWPU,1,97.675,48,0 6 5 6 5,C1 S4,crease,1,-90.0,-0.184569,0.0,14.403
SWPU,1,97.675,48,0 6 5 6 5,C1 S4,seam,4,-42.274,-0.086693,-33.211,89.322
GND,1,387.061,241,4 0 4 0 3 0 3 0 6 1 6 1 5,C3 C2 C2 C1 S6 C5,crease,3,-90.0,-0.184569,78.335,59.686
GND,1,387.061,241,4 0 4 0 3 0 3 0 6 1 6 1 5,C3 C2 C2 C1 S6 C5,crease,2,-90.0,-0.184569,78.84,25.017
GND,1,387.061,241,4 0 4 0 3 0 3 0 6 1 6 1 5,C3 C2 C2 C1 S6 C5,crease,2,-90.0,-0.184569,78.84,14.403
GND,1,387.061,241,4 0 4 0 3 0 3 0 6 1 6 1 5,C3 C2 C2 C1 S6 C5,crease,1,-90.0,-0.184569,0.0,8.339
GND,1,387.061,241,4 0 4 0 3 0 3 0 6 1 6 1 5,C3 C2 C2 C1 S6 C5,seam,6,-90.0,-0.184569,-122.278,111.92
GND,1,387.061,241,4 0 4 0 3 0 3 0 6 1 6 1 5,C3 C2 C2 C1 S6 C5,crease,5,-90.0,-0.184569,-62.654,119.135
